,addrcode,actual,predicted
0,810103,0.7040639223888889,0.8007608250322842
1,810105,0.2519706758333334,0.7334634663568982
2,810106,0.5809514324444444,0.526843324539447
3,810111,0.19810946955555553,0.6131790580251479
4,810115,0.8058479230555555,0.9465059689141094
5,810116,0.3870268595555556,0.5649138631534101
6,810117,0.46287220361111114,0.7436604330278893
7,810118,0.3038036213333334,0.5577313948603758
8,810201,0.08923183277777777,0.07071730451786953
9,810202,0.06335449377777777,0.012233110379813875
10,810203,0.04496726383333333,0.06910157963288414
11,810204,0.18555629777777774,0.08264246377927739
12,810205,0.0,0.011632412274562957
13,810206,0.033467202111111115,-0.06886917907506357
14,810303,0.26949904873684205,0.4844285750715361
15,810304,0.021570319263157896,0.4667344889333882
16,810305,0.06241230573684211,0.24941597428258877
17,810401,0.6734781337631579,0.7344693352449904
18,810402,0.4668079270526317,0.6025802345031462
19,810403,1.3061384279210524,1.5822206581622078
20,810404,0.30819045473684215,0.33442844825941265
21,810405,0.4632102104210527,0.8632340901623264
22,810406,0.09900597978947369,0.2085840265236015
23,810407,0.0,0.3817165633626547
24,810501,0.088386043,0.22338577696103123
25,810503,0.10636939957894737,0.09330434644929965
26,810504,0.07556579894736842,0.23802730973539177
27,810505,0.0,0.2765779050195023
28,810506,0.3873697510526316,0.8083433576939761
29,810507,0.0,0.19653909559555247
30,810508,0.36988715094736835,0.19139063879716087
31,810509,0.0,0.20776456516076552
32,810601,0.0,0.24131297912053892
33,810602,0.0,-0.05458097661365532
34,810603,0.0,-0.019163969496455116
35,810604,0.0,-0.04208363545523082
36,810701,0.7989743101315787,1.052001128553618
37,810702,0.41233712694736835,0.5363235090969205
38,810703,5.404573709789472,2.7585066575982693
39,810704,0.06775434978947367,0.08776548403491849
40,810801,0.3144327622105263,0.7037123485538396
41,810803,0.0,0.2986492178316751
42,810804,0.0,0.05253074873167632
43,810805,0.0,0.06327193448834773
44,810806,0.0,0.13283774930805028
45,810807,0.07104290994444444,0.1865752673211443
46,810808,0.168554477,0.037596385309080764
