ลำดับที่,รหัสสถานี,ที่ตั้งสถานี,จังหวัด,วันที่ตรวจวัดสภาพอากาศ,ค่าตรวจวัด,ประเภทข้อมูล
1,552301,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2018,82.00,ความชื้นสัมพัทธ์
2,552301,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2018,8.00,ความเร็วลมสุงสุด
3,552301,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2018,0.00,ปริมาณฝน
4,552301,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2018,81.00,ความชื้นสัมพัทธ์
5,552301,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2018,10.00,ความเร็วลมสุงสุด
6,552301,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2018,0.00,ปริมาณฝน
7,552301,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2018,85.00,ความชื้นสัมพัทธ์
8,552301,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2018,20.00,ความเร็วลมสุงสุด
9,552301,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2018,13.20,ปริมาณฝน
10,552301,นครศรีธรรมราช,นครศรีธรรมราช,11/2/2018,83.00,ความชื้นสัมพัทธ์
11,552301,นครศรีธรรมราช,นครศรีธรรมราช,11/2/2018,6.00,ความเร็วลมสุงสุด
12,552301,นครศรีธรรมราช,นครศรีธรรมราช,11/2/2018,0.00,ปริมาณฝน
13,552301,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2018,83.00,ความชื้นสัมพัทธ์
14,552301,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2018,8.00,ความเร็วลมสุงสุด
15,552301,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2018,0.00,ปริมาณฝน
16,552301,นครศรีธรรมราช,นครศรีธรรมราช,14/1/2018,86.00,ความชื้นสัมพัทธ์
17,552301,นครศรีธรรมราช,นครศรีธรรมราช,14/1/2018,12.00,ความเร็วลมสุงสุด
18,552301,นครศรีธรรมราช,นครศรีธรรมราช,14/1/2018,8.60,ปริมาณฝน
19,552301,นครศรีธรรมราช,นครศรีธรรมราช,18/2/2018,83.00,ความชื้นสัมพัทธ์
20,552301,นครศรีธรรมราช,นครศรีธรรมราช,18/2/2018,4.00,ความเร็วลมสุงสุด
21,552301,นครศรีธรรมราช,นครศรีธรรมราช,18/2/2018,0.00,ปริมาณฝน
22,552301,นครศรีธรรมราช,นครศรีธรรมราช,21/3/2018,80.00,ความชื้นสัมพัทธ์
23,552301,นครศรีธรรมราช,นครศรีธรรมราช,21/3/2018,8.00,ความเร็วลมสุงสุด
24,552301,นครศรีธรรมราช,นครศรีธรรมราช,21/3/2018,0.00,ปริมาณฝน
25,552301,นครศรีธรรมราช,นครศรีธรรมราช,22/4/2018,83.00,ความชื้นสัมพัทธ์
26,552301,นครศรีธรรมราช,นครศรีธรรมราช,22/4/2018,12.00,ความเร็วลมสุงสุด
27,552301,นครศรีธรรมราช,นครศรีธรรมราช,22/4/2018,0.00,ปริมาณฝน
28,552301,นครศรีธรรมราช,นครศรีธรรมราช,24/1/2018,94.00,ความชื้นสัมพัทธ์
29,552301,นครศรีธรรมราช,นครศรีธรรมราช,24/1/2018,0.00,ความเร็วลมสุงสุด
30,552301,นครศรีธรรมราช,นครศรีธรรมราช,24/1/2018,52.50,ปริมาณฝน
31,552301,นครศรีธรรมราช,นครศรีธรรมราช,25/1/2018,91.00,ความชื้นสัมพัทธ์
32,552301,นครศรีธรรมราช,นครศรีธรรมราช,25/1/2018,4.00,ความเร็วลมสุงสุด
33,552301,นครศรีธรรมราช,นครศรีธรรมราช,25/1/2018,20.00,ปริมาณฝน
34,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/2/2018,87.00,ความชื้นสัมพัทธ์
35,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/2/2018,6.00,ความเร็วลมสุงสุด
36,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/2/2018,5.90,ปริมาณฝน
37,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/3/2018,84.00,ความชื้นสัมพัทธ์
38,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/3/2018,12.00,ความเร็วลมสุงสุด
39,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/3/2018,0.00,ปริมาณฝน
40,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/4/2018,85.00,ความชื้นสัมพัทธ์
41,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/4/2018,8.00,ความเร็วลมสุงสุด
42,552301,นครศรีธรรมราช,นครศรีธรรมราช,1/4/2018,0.00,ปริมาณฝน
43,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/1/2018,94.00,ความชื้นสัมพัทธ์
44,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/1/2018,6.00,ความเร็วลมสุงสุด
45,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/1/2018,9.50,ปริมาณฝน
46,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/2/2018,87.00,ความชื้นสัมพัทธ์
47,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/2/2018,16.00,ความเร็วลมสุงสุด
48,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/2/2018,7.80,ปริมาณฝน
49,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/3/2018,83.00,ความชื้นสัมพัทธ์
50,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/3/2018,8.00,ความเร็วลมสุงสุด
51,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/3/2018,0.00,ปริมาณฝน
52,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/4/2018,91.00,ความชื้นสัมพัทธ์
53,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/4/2018,4.00,ความเร็วลมสุงสุด
54,552301,นครศรีธรรมราช,นครศรีธรรมราช,2/4/2018,5.10,ปริมาณฝน
55,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/1/2018,91.00,ความชื้นสัมพัทธ์
56,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/1/2018,8.00,ความเร็วลมสุงสุด
57,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/1/2018,4.40,ปริมาณฝน
58,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/2/2018,85.00,ความชื้นสัมพัทธ์
59,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/2/2018,16.00,ความเร็วลมสุงสุด
60,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/2/2018,6.40,ปริมาณฝน
61,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/3/2018,84.00,ความชื้นสัมพัทธ์
62,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/3/2018,8.00,ความเร็วลมสุงสุด
63,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/3/2018,0.00,ปริมาณฝน
64,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/4/2018,84.00,ความชื้นสัมพัทธ์
65,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/4/2018,13.00,ความเร็วลมสุงสุด
66,552301,นครศรีธรรมราช,นครศรีธรรมราช,3/4/2018,0.00,ปริมาณฝน
67,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/1/2018,90.00,ความชื้นสัมพัทธ์
68,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/1/2018,8.00,ความเร็วลมสุงสุด
69,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/1/2018,1.90,ปริมาณฝน
70,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/2/2018,84.00,ความชื้นสัมพัทธ์
71,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/2/2018,6.00,ความเร็วลมสุงสุด
72,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/2/2018,0.10,ปริมาณฝน
73,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/3/2018,83.00,ความชื้นสัมพัทธ์
74,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/3/2018,10.00,ความเร็วลมสุงสุด
75,552301,นครศรีธรรมราช,นครศรีธรรมราช,4/3/2018,0.00,ปริมาณฝน
76,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/1/2018,87.00,ความชื้นสัมพัทธ์
77,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/1/2018,6.00,ความเร็วลมสุงสุด
78,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/1/2018,0.00,ปริมาณฝน
79,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/2/2018,84.00,ความชื้นสัมพัทธ์
80,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/2/2018,8.00,ความเร็วลมสุงสุด
81,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/2/2018,8.60,ปริมาณฝน
82,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/3/2018,84.00,ความชื้นสัมพัทธ์
83,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/3/2018,13.00,ความเร็วลมสุงสุด
84,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/3/2018,0.00,ปริมาณฝน
85,552301,นครศรีธรรมราช,นครศรีธรรมราช,5/4/2018,82.00,ความชื้นสัมพัทธ์
