ลำดับที่,รหัสสถานี,ที่ตั้งสถานี,จังหวัด,วันที่ตรวจวัดสภาพอากาศ,ค่าตรวจวัด,ประเภทข้อมูล
1,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2018,81.00,ความชื้นสัมพัทธ์
2,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2018,14.00,ความเร็วลมสุงสุด
3,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2018,0.00,ปริมาณฝน
4,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2018,80.00,ความชื้นสัมพัทธ์
5,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2018,15.00,ความเร็วลมสุงสุด
6,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2018,0.00,ปริมาณฝน
7,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2018,83.00,ความชื้นสัมพัทธ์
8,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2018,19.00,ความเร็วลมสุงสุด
9,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2018,16.50,ปริมาณฝน
10,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/2/2018,80.00,ความชื้นสัมพัทธ์
11,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/2/2018,10.00,ความเร็วลมสุงสุด
12,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/2/2018,0.00,ปริมาณฝน
13,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2018,80.00,ความชื้นสัมพัทธ์
14,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2018,14.00,ความเร็วลมสุงสุด
15,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2018,0.00,ปริมาณฝน
16,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/1/2018,83.00,ความชื้นสัมพัทธ์
17,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/1/2018,15.00,ความเร็วลมสุงสุด
18,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/1/2018,1.50,ปริมาณฝน
19,552201,นครศรีธรรมราช,นครศรีธรรมราช,18/2/2018,82.00,ความชื้นสัมพัทธ์
20,552201,นครศรีธรรมราช,นครศรีธรรมราช,18/2/2018,14.00,ความเร็วลมสุงสุด
21,552201,นครศรีธรรมราช,นครศรีธรรมราช,18/2/2018,0.00,ปริมาณฝน
22,552201,นครศรีธรรมราช,นครศรีธรรมราช,21/3/2018,78.00,ความชื้นสัมพัทธ์
23,552201,นครศรีธรรมราช,นครศรีธรรมราช,21/3/2018,14.00,ความเร็วลมสุงสุด
24,552201,นครศรีธรรมราช,นครศรีธรรมราช,21/3/2018,0.00,ปริมาณฝน
25,552201,นครศรีธรรมราช,นครศรีธรรมราช,22/4/2018,78.00,ความชื้นสัมพัทธ์
26,552201,นครศรีธรรมราช,นครศรีธรรมราช,22/4/2018,13.00,ความเร็วลมสุงสุด
27,552201,นครศรีธรรมราช,นครศรีธรรมราช,22/4/2018,0.00,ปริมาณฝน
28,552201,นครศรีธรรมราช,นครศรีธรรมราช,24/1/2018,93.00,ความชื้นสัมพัทธ์
29,552201,นครศรีธรรมราช,นครศรีธรรมราช,24/1/2018,11.00,ความเร็วลมสุงสุด
30,552201,นครศรีธรรมราช,นครศรีธรรมราช,24/1/2018,41.00,ปริมาณฝน
31,552201,นครศรีธรรมราช,นครศรีธรรมราช,25/1/2018,90.00,ความชื้นสัมพัทธ์
32,552201,นครศรีธรรมราช,นครศรีธรรมราช,25/1/2018,12.00,ความเร็วลมสุงสุด
33,552201,นครศรีธรรมราช,นครศรีธรรมราช,25/1/2018,3.80,ปริมาณฝน
34,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/2/2018,84.00,ความชื้นสัมพัทธ์
35,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/2/2018,19.00,ความเร็วลมสุงสุด
36,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/2/2018,1.00,ปริมาณฝน
