ลำดับที่,รหัสสถานี,ที่ตั้งสถานี,จังหวัด,วันที่ตรวจวัดสภาพอากาศ,ค่าตรวจวัด,ประเภทข้อมูล
51,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/7/2017,85.00,ความชื้นสัมพัทธ์
52,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/7/2017,1.60,ปริมาณฝน
53,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/8/2017,82.00,ความชื้นสัมพัทธ์
54,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/8/2017,37.20,ปริมาณฝน
55,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/10/2017,83.00,ความชื้นสัมพัทธ์
56,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/10/2017,0.00,ปริมาณฝน
57,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/12/2017,92.00,ความชื้นสัมพัทธ์
58,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/12/2017,24.60,ปริมาณฝน
59,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/11/2017,89.00,ความชื้นสัมพัทธ์
60,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/11/2017,0.00,ปริมาณฝน
61,552201,นครศรีธรรมราช,นครศรีธรรมราช,8/3/2017,82.00,ความชื้นสัมพัทธ์
62,552201,นครศรีธรรมราช,นครศรีธรรมราช,8/3/2017,14.00,ความเร็วลมสุงสุด
63,552201,นครศรีธรรมราช,นครศรีธรรมราช,8/3/2017,0.00,ปริมาณฝน
64,552201,นครศรีธรรมราช,นครศรีธรรมราช,8/8/2017,88.00,ความชื้นสัมพัทธ์
65,552201,นครศรีธรรมราช,นครศรีธรรมราช,8/8/2017,6.10,ปริมาณฝน
66,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/5/2017,83.00,ความชื้นสัมพัทธ์
67,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/5/2017,15.00,ความเร็วลมสุงสุด
68,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/5/2017,1.10,ปริมาณฝน
69,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/5/2017,87.00,ความชื้นสัมพัทธ์
70,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/5/2017,21.00,ความเร็วลมสุงสุด
71,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/5/2017,12.40,ปริมาณฝน
72,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/6/2017,79.00,ความชื้นสัมพัทธ์
73,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/6/2017,0.00,ปริมาณฝน
74,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/12/2017,84.00,ความชื้นสัมพัทธ์
75,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/12/2017,0.00,ปริมาณฝน
76,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/1/2017,86.00,ความชื้นสัมพัทธ์
77,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/1/2017,11.00,ความเร็วลมสุงสุด
78,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/1/2017,0.00,ปริมาณฝน
79,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2017,81.00,ความชื้นสัมพัทธ์
80,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2017,10.00,ความเร็วลมสุงสุด
81,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/3/2017,0.00,ปริมาณฝน
82,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/10/2017,84.00,ความชื้นสัมพัทธ์
83,552201,นครศรีธรรมราช,นครศรีธรรมราช,13/10/2017,0.00,ปริมาณฝน
84,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/5/2017,84.00,ความชื้นสัมพัทธ์
85,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/5/2017,0.00,ความเร็วลมสุงสุด
86,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/5/2017,0.00,ปริมาณฝน
