,addrcode,Week,Year,predicted,actual
0,8001,7,2017,0.6273534778790049,0.59705057
1,8001,8,2017,0.13841137441857376,0.522419249
2,8001,9,2017,0.28838774900002995,0.606379485
3,8001,10,2017,0.1264445126341156,0.634366231
4,8001,11,2017,0.44043680525435724,0.615708401
5,8001,12,2017,0.5327307923050097,0.681010807
6,8001,13,2017,0.4482100863294176,0.643695146
7,8001,14,2017,0.4817501377598814,0.643695146
8,8001,15,2017,0.5445263065682224,0.653024061
9,8001,16,2017,0.4702625727565459,0.699668637
10,8001,17,2017,0.5851939270557336,0.708997552
11,8001,18,2017,0.17516710761054077,0.643695146
12,8001,19,2017,0.46135954431309023,0.671681891
13,8001,20,2017,0.5068070922331385,0.606379485
14,8001,21,2017,0.5462074965523056,0.587721655
15,8001,22,2017,0.5909172106818728,0.59705057
16,8001,23,2017,0.23755470163239756,0.485103588
17,8001,24,2017,0.35059805925055065,0.541077079
18,8001,25,2017,0.45689339621974745,0.541077079
19,8001,26,2017,0.3608479216979317,0.681010807
20,8001,27,2017,0.32141542865945616,0.783628873
21,8001,28,2017,0.2780580126033596,0.727655383
22,8001,29,2017,0.4127094304473571,0.755642128
23,8001,30,2017,0.43468755449219265,0.6716818920000001
24,8001,31,2017,0.5723252386139206,0.6716818920000001
25,8001,32,2017,0.6068008566559724,0.643695146
26,8001,33,2017,0.53133700381084,0.55973491
27,8001,34,2017,0.46707935596867123,0.513090334
28,8001,35,2017,0.32234849373860874,0.494432504
29,8001,36,2017,0.5504887268231682,0.54107708
30,8001,37,2017,0.3513708036677412,0.550405995
31,8001,38,2017,0.33750614303215065,0.606379486
32,8001,39,2017,0.15739051776989021,0.615708401
33,8001,40,2017,0.22709226573868313,0.615708401
34,8001,41,2017,0.38351328450305977,0.727655382
35,8001,42,2017,0.2887484837607912,0.653024061
36,8001,43,2017,0.3265190288708977,0.615708401
37,8001,44,2017,0.4254076849953703,0.690339722
38,8001,45,2017,0.31043309683962383,0.653024061
39,8001,46,2017,0.42450541875376024,0.625037316
40,8002,7,2017,0.42951954308016815,0.26741543
41,8002,8,2017,0.35452310892804184,0.20056157300000002
42,8002,9,2017,0.3741939828084282,0.20056157300000002
43,8002,10,2017,0.2555540405498318,0.26741543
44,8002,11,2017,0.38536887767775574,0.20056157300000002
45,8002,12,2017,0.4339435674534611,0.26741543
46,8002,13,2017,0.35075074213607826,0.334269288
47,8002,14,2017,0.36786652880771675,0.46797700200000003
48,8002,15,2017,0.4337694138572983,0.46797700200000003
49,8002,16,2017,0.34118908050520935,0.668538575
50,8002,17,2017,0.4359361097501091,0.601684717
51,8002,18,2017,0.42094993743165054,0.401123145
52,8002,19,2017,0.5382021755264572,0.401123145
53,8002,20,2017,0.5074513793276123,0.334269288
54,8002,21,2017,0.7003477640734486,0.53483086
55,8002,22,2017,0.5989946291135124,0.601684718
56,8002,23,2017,0.38386714610322037,0.601684718
57,8002,24,2017,0.4513201579736046,0.53483086
58,8002,25,2017,0.4256330706463627,0.401123145
59,8002,26,2017,0.6072554305480293,0.334269288
60,8002,27,2017,0.5584020778821281,0.401123145
61,8002,28,2017,0.5809910834120087,0.334269288
62,8002,29,2017,0.537491606204348,0.668538575
63,8002,30,2017,0.4535498336242012,0.735392432
64,8002,31,2017,0.45075635763867417,0.735392432
65,8002,32,2017,0.515551028429108,0.80224629
66,8002,33,2017,0.4232253484712414,0.46797700299999995
67,8002,34,2017,0.7281827234016232,0.334269288
68,8002,35,2017,0.6447582371817402,0.334269288
69,8002,36,2017,0.7086668141470722,0.334269288
70,8002,37,2017,0.7257802091823391,0.46797700299999995
71,8002,38,2017,0.4235718600736431,0.46797700299999995
72,8002,39,2017,0.39205997961624184,0.53483086
73,8002,40,2017,0.41730953904851,0.869100147
74,8002,41,2017,0.41971370357139626,0.80224629
75,8002,42,2017,0.5262511872039608,0.935954005
76,8002,43,2017,0.4827622115896515,0.80224629
77,8002,44,2017,0.5716039367304615,0.53483086
78,8002,45,2017,0.8456299059377483,0.401123145
79,8002,46,2017,0.655031961976128,0.401123145
80,8003,7,2017,0.31343319977684536,0.183562583
81,8003,8,2017,0.20697466622157612,0.24475011
82,8003,9,2017,0.24431580270691433,0.305937637
83,8003,10,2017,0.08014904300733128,0.305937637
84,8003,11,2017,0.30562487955256024,0.856625385
85,8003,12,2017,0.3394840020970873,0.917812913
86,8003,13,2017,0.378919224842029,1.040187968
87,8003,14,2017,0.40236165712638416,1.346125606
88,8003,15,2017,0.4039495136873297,0.97900044
89,8003,16,2017,0.8920733813480906,1.162563023
90,8003,17,2017,0.7631624151305727,1.162563023
91,8003,18,2017,0.8277922231988482,1.101375496
92,8003,19,2017,1.109766978426414,1.284938078
93,8003,20,2017,0.7129099440114073,1.284938078
94,8003,21,2017,1.026106990529733,1.346125606
95,8003,22,2017,0.9496113803522162,1.040187968
96,8003,23,2017,0.8303818438486628,1.040187968
97,8003,24,2017,1.0342476886050276,0.7342503309999999
98,8003,25,2017,1.0027605142728857,0.8566253859999999
99,8003,26,2017,1.051276676012712,1.284938078
100,8003,27,2017,0.743590216739612,1.162563023
101,8003,28,2017,0.8778694752888254,1.223750551
102,8003,29,2017,0.5858789716200403,0.917812913
103,8003,30,2017,0.8133600574271254,0.48950022
104,8003,31,2017,1.1251041103438906,0.305937637
105,8003,32,2017,0.8774751607613138,0.24475011
106,8003,33,2017,1.0149491090611986,0.183562583
107,8003,34,2017,0.6823576163785032,0.183562583
108,8003,35,2017,0.3954924565093092,0.183562583
109,8003,36,2017,0.3958380479650072,0.305937637
110,8003,37,2017,0.3082490112916998,0.48950022
111,8003,38,2017,0.2718862813250593,0.73425033
112,8003,39,2017,0.24901184405251064,0.73425033
113,8003,40,2017,0.2572367076115183,0.795437858
114,8003,41,2017,0.4003306810097269,0.673062803
115,8003,42,2017,0.4901594218151144,0.73425033
116,8003,43,2017,0.6579783443646006,0.795437858
117,8003,44,2017,0.6310647983388475,0.73425033
118,8003,45,2017,0.6793190051154665,0.673062803
119,8003,46,2017,0.5474139821068815,0.367125165
120,8004,7,2017,0.2792044725553564,0.45585777299999997
121,8004,8,2017,0.17605880613489666,0.417869625
122,8004,9,2017,0.23424785177274265,0.265917034
123,8004,10,2017,0.16767327453060665,0.189940739
124,8004,11,2017,0.46401594917340794,0.22792888600000002
125,8004,12,2017,0.45849422703547993,0.34189333
126,8004,13,2017,0.4572207737998537,0.417869625
127,8004,14,2017,0.2871557470695547,0.645798511
128,8004,15,2017,0.30713260511918583,0.6837866579999999
129,8004,16,2017,0.33053226734562435,0.6837866579999999
130,8004,17,2017,0.40863261337442913,0.6837866579999999
131,8004,18,2017,0.2602968696789316,0.45585777200000005
132,8004,19,2017,0.5156900879280142,0.45585777200000005
133,8004,20,2017,0.5791343558864168,0.34189332899999997
134,8004,21,2017,0.5718416940705351,0.417869625
135,8004,22,2017,0.6273565288917593,0.45585777200000005
136,8004,23,2017,0.19886339048905888,0.569822216
137,8004,24,2017,0.3373598825470976,0.645798511
138,8004,25,2017,0.29025241325660267,0.531834068
139,8004,26,2017,0.36440730433030644,0.645798511
140,8004,27,2017,0.3138579387502245,0.645798511
141,8004,28,2017,0.48309109325571575,0.683786659
142,8004,29,2017,0.5351452861265711,0.83573925
143,8004,30,2017,0.4545776654319338,0.8357392490000001
144,8004,31,2017,0.6044698875681929,0.911715545
145,8004,32,2017,0.5244298536614946,1.101656283
146,8004,33,2017,0.5954768952266745,1.025679988
147,8004,34,2017,0.6809140961901716,0.873727397
148,8004,35,2017,0.6355110850469641,0.759762954
149,8004,36,2017,0.7764180112914614,0.417869625
150,8004,37,2017,0.7958324548141531,0.379881477
151,8004,38,2017,0.6789366077916197,0.45585777200000005
152,8004,39,2017,0.5019908357696108,0.34189332899999997
153,8004,40,2017,0.5319124978320173,0.34189332899999997
154,8004,41,2017,0.31431993062658825,0.34189332899999997
155,8004,42,2017,0.2771031778590254,0.22792888600000002
156,8004,43,2017,0.36054611544175663,0.22792888600000002
157,8004,44,2017,0.3058493096665911,0.22792888600000002
158,8004,45,2017,0.367009605868297,0.151952591
159,8004,46,2017,0.25931423123045483,0.151952591
160,8005,7,2017,1.0162323598103098,0.171927653
161,8005,8,2017,0.9816991422609858,0.25789148
162,8005,9,2017,0.6215463463501505,0.25789148
163,8005,10,2017,0.7669280801252893,0.25789148
164,8005,11,2017,0.26382667164369145,0.42981913200000005
165,8005,12,2017,0.33219157497449436,0.601746785
166,8005,13,2017,0.40876189212365666,0.773674438
167,8005,14,2017,0.353301409287887,1.461385049
168,8005,15,2017,0.3727827254967264,1.461385049
169,8005,16,2017,0.5183023546175531,1.461385049
170,8005,17,2017,0.6140398416952662,1.375421223
171,8005,18,2017,0.6495760117010645,0.687710612
172,8005,19,2017,1.2395199720100931,0.5157829589999999
173,8005,20,2017,1.061142954631286,0.5157829589999999
174,8005,21,2017,1.1351691518263392,0.601746785
175,8005,22,2017,1.0789053175882868,0.687710611
176,8005,23,2017,0.3831122104363016,0.8596382640000001
177,8005,24,2017,0.4767420623735956,0.9456020909999999
178,8005,25,2017,0.5148654464916758,0.773674438
179,8005,26,2017,0.5712095681862406,0.687710612
180,8005,27,2017,0.5948589775995783,0.601746785
181,8005,28,2017,0.7442672137455515,0.42981913200000005
182,8005,29,2017,0.7861563448147348,0.8596382640000001
183,8005,30,2017,0.6294901106791071,0.8596382640000001
184,8005,31,2017,0.6361497972445063,1.031565917
185,8005,32,2017,0.5622454617456965,0.9456020909999999
186,8005,33,2017,0.4330739114718012,0.5157829589999999
187,8005,34,2017,0.845634657545524,0.8596382640000001
188,8005,35,2017,0.6878269199566416,0.5157829589999999
