SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,5.36374521255,5.36374521255,0.0,5.36374521255,0.0,5.36374521255
100301,2,1,0.01,4.30001592636,4.30001592636,0.0,4.30001592636,0.0,4.30001592636
103001,3,1,0.01,10.1262569427,10.1262569427,0.0,10.1262569427,0.0,10.1262569427
103902,4,1,0.01,7.19266223907,7.19266223907,0.0,7.19266223907,0.0,7.19266223907
101104,5,1,0.01,4.94396924973,4.94396924973,0.0,4.94396924973,0.0,4.94396924973
101602,6,1,0.01,4.93687820435,4.93687820435,0.0,4.93687820435,0.0,4.93687820435
100308,7,1,0.01,3.3536734581,3.3536734581,0.0,3.3536734581,0.0,3.3536734581
103602,8,1,0.01,12.6125774384,12.6125774384,0.0,12.6125774384,0.0,12.6125774384
100304,9,1,0.01,8.10499477386,8.10499477386,0.0,8.10499477386,0.0,8.10499477386
104401,10,1,0.01,5.39879179001,5.39879179001,0.0,5.39879179001,0.0,5.39879179001
104003,11,1,0.01,5.94406032562,5.94406032562,0.0,5.94406032562,0.0,5.94406032562
105001,12,1,0.01,6.46360826492,6.46360826492,0.0,6.46360826492,0.0,6.46360826492
104301,13,1,0.01,8.50193119049,8.50193119049,0.0,8.50193119049,0.0,8.50193119049
104901,14,1,0.01,4.66544818878,4.66544818878,0.0,4.66544818878,0.0,4.66544818878
