,addrcode,rainfall
0,801904,2.8
1,800905,4.76
2,801701,6.11
3,800611,3.77
4,801204,4.15
5,801101,8.48
6,801302,2.99
7,800305,3.22
8,801105,7.33
9,801212,3.49
10,800302,3.26
11,801205,4.26
12,800911,3.71
13,801107,5.69
14,802302,5.71
15,800912,6.92
16,801218,3.38
17,802304,2.77
18,800407,8.54
19,802203,5.1
20,800118,4.75
21,800112,3.11
22,800106,4.33
23,801801,6.87
24,801106,10.27
25,802202,8.16
26,802004,2.96
27,802201,4.6
28,800301,6.21
29,810601,34.75
30,800120,3.01
31,810603,35.8
32,800205,3.84
33,800410,10.52
34,800406,7.37
35,800505,7.45
36,800504,4.56
37,800202,4.22
38,802101,3.32
39,800803,2.13
40,800503,4.51
41,800801,8.06
42,802104,4.06
43,801408,2.15
44,802102,3.37
45,801407,2.27
46,801405,2.58
47,800804,3.13
48,800409,14.42
49,800704,6.05
50,801702,6.19
51,801703,5.12
52,801603,6.43
53,800910,3.17
54,801905,2.77
55,800908,3.96
56,801501,0.58
57,801502,0.6
58,801406,1.63
59,801402,1.53
60,800705,2.75
61,801609,6.05
62,800708,3.59
63,800711,8.46
64,810405,5.56
65,810803,15.11
66,810403,5.85
67,810305,10.13
68,810303,9.68
69,810404,5.44
70,810115,29.08
71,810406,9.73
72,810702,6.3
73,810703,7.86
74,810117,32.49
75,810704,9.4
76,810402,9.49
77,810401,7.6
78,810118,21.78
79,810807,19.66
80,810204,13.45
81,810201,17.44
82,810111,30.06
83,810506,27.67
84,810501,27.21
85,810202,18.0
86,810502,32.5
87,810505,31.18
88,810504,28.7
89,810105,30.4
90,810407,10.09
91,810103,29.46
92,810206,8.9
93,810808,18.45
94,810503,42.72
95,810205,31.25
96,802303,6.55
97,801608,3.69
98,800606,3.63
99,800903,3.56
100,801305,2.85
101,800706,3.24
