,addrcode,rainfall
0,104605,66.56
1,100301,60.28
2,103001,58.14
3,103902,61.03
4,101104,64.38
5,101602,47.16
6,100308,65.52
7,103602,67.52
8,100304,72.71
9,104401,64.07
10,104003,41.66
11,105001,47.77
12,104301,62.43
13,104901,48.95
