,addrcode,rainfall
0,100508,62.43
1,104604,66.56
2,103704,61.03
3,100108,47.16
4,102005,47.16
5,100101,47.16
6,103701,61.03
7,100112,47.16
8,100110,61.03
9,103702,61.03
10,100109,47.16
11,102004,47.16
12,101702,61.03
13,100805,61.03
14,104601,66.56
15,104203,62.43
16,104202,62.43
17,104101,58.14
18,100302,60.28
19,100502,62.43
20,100306,60.28
21,104102,58.14
22,100111,61.03
23,100107,61.03
24,101904,47.16
25,101907,47.16
26,104603,66.56
27,103703,61.03
28,100305,60.28
29,103002,58.14
30,104302,62.43
31,101002,66.56
32,103802,62.43
33,102902,58.14
34,100303,72.71
35,103604,67.52
36,101601,47.16
37,100801,61.03
38,102208,47.16
39,101302,61.03
40,104502,64.07
41,104802,41.66
42,102601,61.03
43,104503,64.07
44,101903,47.16
45,100307,65.52
46,103004,58.14
47,102704,62.43
48,102901,58.14
49,101801,47.16
50,103201,64.07
51,100401,61.03
52,100204,61.03
53,103605,64.74
54,104201,64.74
55,100203,61.03
56,100608,64.07
57,101105,65.52
58,102007,47.16
59,101106,65.52
60,100405,61.03
61,101101,64.38
62,100404,61.03
63,104002,41.66
64,102705,62.43
65,103801,62.43
66,101001,66.56
67,103003,58.14
68,103005,58.14
69,100601,64.07
70,102701,64.07
71,102502,58.14
72,101704,61.03
73,102303,41.66
74,101802,61.03
75,101502,47.16
76,102206,47.16
77,103302,61.03
78,100702,61.03
79,100703,61.03
80,100704,61.03
81,103901,61.03
82,100102,47.16
83,102209,47.16
84,100403,61.03
85,104501,61.03
86,102202,47.16
87,100402,61.03
88,100206,61.03
89,101902,47.16
90,102501,47.16
91,101401,61.03
92,103102,61.03
93,103203,58.63
94,101701,61.03
95,102503,47.16
96,102105,36.75
97,101506,47.16
98,104001,48.95
99,104004,47.77
100,103501,48.95
101,100905,58.63
102,103103,71.98
103,102210,47.16
104,102207,47.16
105,100104,61.03
106,103301,61.03
107,102009,47.16
108,100202,61.03
109,102504,47.16
110,101103,64.38
111,100201,61.03
112,101901,47.16
113,101905,47.16
114,101102,64.38
115,102006,47.16
116,104801,41.66
117,100701,61.03
118,100802,61.03
119,100103,47.16
120,103401,64.07
121,101501,47.16
122,101303,61.03
123,102107,48.95
124,102802,61.03
125,101507,47.16
126,101803,61.03
127,101301,61.03
128,102801,61.03
129,100803,61.03
130,100105,47.16
131,100804,61.03
132,100106,61.03
133,103903,61.03
134,103303,61.03
135,102201,47.16
136,101505,47.16
137,103101,48.95
138,103202,58.63
139,103504,48.95
140,102302,47.77
141,101204,71.98
142,102402,48.95
143,103503,48.95
144,102401,71.98
145,104701,58.63
146,101504,47.16
147,101203,71.98
148,101804,61.03
149,101503,47.16
150,102803,61.03
151,103502,47.16
152,104902,48.95
153,104602,66.56
154,104504,64.07
