SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,29.9665584564,29.9665584564,0.0,29.9665584564,0.0,29.9665584564
100301,2,1,0.01,31.3290023804,31.3290023804,0.0,31.3290023804,0.0,31.3290023804
103001,3,1,0.01,27.421672821,27.421672821,0.0,27.421672821,0.0,27.421672821
103902,4,1,0.01,24.8713035583,24.8713035583,0.0,24.8713035583,0.0,24.8713035583
101104,5,1,0.01,27.500535965,27.500535965,0.0,27.500535965,0.0,27.500535965
101602,6,1,0.01,21.3773117065,21.3773117065,0.0,21.3773117065,0.0,21.3773117065
100308,7,1,0.01,28.337480545,28.337480545,0.0,28.337480545,0.0,28.337480545
103602,8,1,0.01,37.913772583,37.913772583,0.0,37.913772583,0.0,37.913772583
100304,9,1,0.01,47.5718193054,47.5718193054,0.0,47.5718193054,0.0,47.5718193054
104401,10,1,0.01,27.2155056,27.2155056,0.0,27.2155056,0.0,27.2155056
104003,11,1,0.01,18.2350101471,18.2350101471,0.0,18.2350101471,0.0,18.2350101471
105001,12,1,0.01,17.8185367584,17.8185367584,0.0,17.8185367584,0.0,17.8185367584
104301,13,1,0.01,29.7021045685,29.7021045685,0.0,29.7021045685,0.0,29.7021045685
104901,14,1,0.01,20.6754589081,20.6754589081,0.0,20.6754589081,0.0,20.6754589081
