,addrcode,rainfall
0,801403,39.97
1,801404,41.09
2,800802,32.11
3,801503,63.26
4,801409,48.01
5,801401,48.01
6,801304,41.5
7,800603,54.61
8,800909,55.85
9,801903,36.78
10,802003,49.82
11,801215,41.27
12,801206,75.54
13,801207,53.54
14,801217,41.27
15,802001,49.82
16,801003,62.46
17,801208,64.68
18,801213,53.54
19,802301,66.52
20,801301,41.5
21,800906,54.13
22,801216,41.27
23,801001,51.49
24,801303,52.43
25,801203,53.54
26,801104,65.77
27,801211,53.54
28,800102,34.57
29,801214,64.68
30,800103,34.57
31,800401,78.88
32,800304,46.09
33,800108,34.57
34,800405,74.99
35,800115,34.57
36,800303,42.32
37,801103,66.6
38,800114,49.82
39,802002,49.82
40,800122,82.55
41,801210,64.68
42,801002,74.71
43,801102,67.8
44,800101,34.57
45,800119,82.55
46,800416,78.88
47,800113,49.82
48,801202,64.68
49,810602,104.4
50,800807,40.97
51,800204,41.48
52,800501,113.29
53,800415,191.77
54,800810,40.97
55,810301,100.39
56,800201,40.97
57,800403,51.81
58,801209,56.64
59,800116,42.32
60,801803,77.09
61,800107,73.78
62,800121,60.46
63,801802,74.99
64,800203,40.97
65,800404,80.25
66,800806,31.39
67,802103,37.72
68,800502,98.77
69,800811,31.39
70,800813,37.49
71,800809,37.72
72,800709,54.21
73,801901,53.01
74,801604,71.48
75,800703,69.2
76,801605,44.42
77,801602,36.43
78,801704,62.12
79,801902,53.01
80,800701,89.34
81,801610,44.42
82,800710,53.9
83,800702,89.34
84,800707,90.56
85,810304,68.41
86,810802,51.38
87,810302,63.12
88,810106,76.62
89,810801,75.72
90,810101,75.72
91,810805,64.88
92,810701,62.2
93,810806,88.57
94,810116,80.02
95,810804,75.72
96,810203,61.27
97,810508,84.08
98,810509,70.92
99,810507,104.16
100,810604,122.0
101,800610,28.69
102,800904,47.21
103,800901,47.21
104,800607,54.61
105,800604,54.61
106,801611,28.69
107,800913,58.52
108,800601,54.61
109,801306,36.78
110,800902,47.21
111,800605,54.61
112,800612,59.0
113,801607,28.69
114,801906,54.21
115,800613,80.23
116,801606,45.0
117,800907,70.11
118,801601,45.0
