SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,94.349571228,94.349571228,0.0,94.349571228,0.0,94.349571228
100301,2,1,0.01,90.5390930176,90.5390930176,0.0,90.5390930176,0.0,90.5390930176
103001,3,1,0.01,96.6326751709,96.6326751709,0.0,96.6326751709,0.0,96.6326751709
103902,4,1,0.01,90.7270812988,90.7270812988,0.0,90.7270812988,0.0,90.7270812988
101104,5,1,0.01,88.4494018555,88.4494018555,0.0,88.4494018555,0.0,88.4494018555
101602,6,1,0.01,99.7761077881,99.7761077881,0.0,99.7761077881,0.0,99.7761077881
100308,7,1,0.01,86.6584243774,86.6584243774,0.0,86.6584243774,0.0,86.6584243774
103602,8,1,0.01,99.954460144,99.954460144,0.0,99.954460144,0.0,99.954460144
100304,9,1,0.01,98.8082962036,98.8082962036,0.0,98.8082962036,0.0,98.8082962036
104401,10,1,0.01,88.4496688843,88.4496688843,0.0,88.4496688843,0.0,88.4496688843
104003,11,1,0.01,100.264373779,100.264373779,0.0,100.264373779,0.0,100.264373779
105001,12,1,0.01,113.4114151,113.4114151,0.0,113.4114151,0.0,113.4114151
104301,13,1,0.01,95.6055908203,95.6055908203,0.0,95.6055908203,0.0,95.6055908203
104901,14,1,0.01,101.772949219,101.772949219,0.0,101.772949219,0.0,101.772949219
