,addrcode,rainfall
0,801403,0.14
1,801404,0.17
2,800802,0.13
3,801503,0.05
4,801409,0.14
5,801401,0.14
6,801304,0.27
7,800603,0.0
8,800909,0.72
9,801903,0.18
10,802003,0.23
11,801215,0.0
12,801206,0.0
13,801207,0.0
14,801217,0.0
15,802001,0.23
16,801003,1.06
17,801208,0.0
18,801213,0.0
19,802301,0.01
20,801301,0.27
21,800906,0.8
22,801216,0.0
23,801001,0.32
24,801303,0.2
25,801203,0.0
26,801104,1.41
27,801211,0.0
28,800102,0.2
29,801214,0.0
30,800103,0.2
31,800401,0.41
32,800304,0.25
33,800108,0.2
34,800405,4.23
35,800115,0.2
36,800303,0.25
37,801103,1.42
38,800114,0.23
39,802002,0.23
40,800122,0.02
41,801210,0.0
42,801002,1.21
43,801102,2.64
44,800101,0.2
45,800119,0.02
46,800416,0.41
47,800113,0.23
48,801202,0.0
49,810602,5.23
50,800807,0.47
51,800204,0.48
52,800501,0.34
53,800415,0.68
54,800810,0.47
55,810301,2.14
56,800201,0.47
57,800403,0.75
58,801209,0.0
59,800116,0.25
60,801803,2.13
61,800107,0.03
62,800121,0.01
63,801802,4.23
64,800203,0.47
65,800404,0.9
66,800806,0.15
67,802103,0.17
68,800502,0.42
69,800811,0.15
70,800813,0.13
71,800809,0.17
72,800709,0.26
73,801901,0.14
74,801604,0.0
75,800703,0.21
76,801605,0.0
77,801602,1.03
78,801704,0.87
79,801902,0.14
80,800701,0.0
81,801610,0.0
82,800710,0.13
83,800702,0.0
84,800707,0.0
85,810304,4.03
86,810802,2.77
87,810302,2.92
88,810106,5.52
89,810801,6.54
90,810101,6.54
91,810805,1.65
92,810701,1.7
93,810806,2.99
94,810116,4.25
95,810804,6.54
96,810203,1.67
97,810508,11.35
98,810509,5.76
99,810507,4.14
100,810604,6.21
101,800610,0.0
102,800904,0.3
103,800901,0.3
104,800607,0.0
105,800604,0.0
106,801611,0.0
107,800913,0.97
108,800601,0.0
109,801306,0.18
110,800902,0.3
111,800605,0.0
112,800612,0.0
113,801607,0.0
114,801906,0.26
115,800613,0.01
116,801606,0.0
117,800907,0.67
118,801601,0.0
