SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,15.4403276443,15.4403276443,0.0,15.4403276443,0.0,15.4403276443
100301,2,1,0.01,15.6373548508,15.6373548508,0.0,15.6373548508,0.0,15.6373548508
103001,3,1,0.01,28.0344810486,28.0344810486,0.0,28.0344810486,0.0,28.0344810486
103902,4,1,0.01,30.7080917358,30.7080917358,0.0,30.7080917358,0.0,30.7080917358
101104,5,1,0.01,18.4337844849,18.4337844849,0.0,18.4337844849,0.0,18.4337844849
101602,6,1,0.01,29.0745506287,29.0745506287,0.0,29.0745506287,0.0,29.0745506287
100308,7,1,0.01,17.0484390259,17.0484390259,0.0,17.0484390259,0.0,17.0484390259
103602,8,1,0.01,33.1882247925,33.1882247925,0.0,33.1882247925,0.0,33.1882247925
100304,9,1,0.01,15.5992765427,15.5992765427,0.0,15.5992765427,0.0,15.5992765427
104401,10,1,0.01,15.5954656601,15.5954656601,0.0,15.5954656601,0.0,15.5954656601
104003,11,1,0.01,16.0144081116,16.0144081116,0.0,16.0144081116,0.0,16.0144081116
105001,12,1,0.01,15.8988485336,15.8988485336,0.0,15.8988485336,0.0,15.8988485336
104301,13,1,0.01,20.9231300354,20.9231300354,0.0,20.9231300354,0.0,20.9231300354
104901,14,1,0.01,25.6249198914,25.6249198914,0.0,25.6249198914,0.0,25.6249198914
