SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,28.4207077026,28.4207077026,0.0,28.4207077026,0.0,28.4207077026
100301,2,1,0.01,30.6519546509,30.6519546509,0.0,30.6519546509,0.0,30.6519546509
103001,3,1,0.01,39.1375656128,39.1375656128,0.0,39.1375656128,0.0,39.1375656128
103902,4,1,0.01,27.319644928,27.319644928,0.0,27.319644928,0.0,27.319644928
101104,5,1,0.01,24.5358753204,24.5358753204,0.0,24.5358753204,0.0,24.5358753204
101602,6,1,0.01,32.1420097351,32.1420097351,0.0,32.1420097351,0.0,32.1420097351
100308,7,1,0.01,23.8166046143,23.8166046143,0.0,23.8166046143,0.0,23.8166046143
103602,8,1,0.01,44.1247940063,44.1247940063,0.0,44.1247940063,0.0,44.1247940063
100304,9,1,0.01,41.7450675964,41.7450675964,0.0,41.7450675964,0.0,41.7450675964
104401,10,1,0.01,24.1031208038,24.1031208038,0.0,24.1031208038,0.0,24.1031208038
104003,11,1,0.01,35.351184845,35.351184845,0.0,35.351184845,0.0,35.351184845
105001,12,1,0.01,32.9740943909,32.9740943909,0.0,32.9740943909,0.0,32.9740943909
104301,13,1,0.01,28.3824882507,28.3824882507,0.0,28.3824882507,0.0,28.3824882507
104901,14,1,0.01,31.6497402191,31.6497402191,0.0,31.6497402191,0.0,31.6497402191
