TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
801904,1,1,0.01,76.1465301514,76.1465301514,0.0,76.1465301514,0.0,76.1465301514
800905,2,2,0.02,78.486831665,93.9302902222,15.4434585571,86.2085609436,7.72172927856,172.417121887
801701,3,1,0.01,116.239517212,116.239517212,0.0,116.239517212,0.0,116.239517212
800611,4,1,0.01,59.958278656,59.958278656,0.0,59.958278656,0.0,59.958278656
801204,5,1,0.01,64.2661209106,64.2661209106,0.0,64.2661209106,0.0,64.2661209106
801101,6,1,0.01,122.400039673,122.400039673,0.0,122.400039673,0.0,122.400039673
801302,7,1,0.01,73.7290725708,73.7290725708,0.0,73.7290725708,0.0,73.7290725708
800305,8,1,0.01,73.0379104614,73.0379104614,0.0,73.0379104614,0.0,73.0379104614
801105,9,1,0.01,110.34261322,110.34261322,0.0,110.34261322,0.0,110.34261322
801212,10,1,0.01,55.4255065918,55.4255065918,0.0,55.4255065918,0.0,55.4255065918
800302,11,1,0.01,73.5079956055,73.5079956055,0.0,73.5079956055,0.0,73.5079956055
801205,12,1,0.01,57.4273490906,57.4273490906,0.0,57.4273490906,0.0,57.4273490906
800911,13,2,0.02,73.697013855,76.4017028809,2.70468902588,75.0493583679,1.35234451294,150.098716736
801107,14,2,0.02,112.61000061,123.993202209,11.3832015991,118.30160141,5.69160079956,236.60320282
802302,15,1,0.01,67.0003814697,67.0003814697,0.0,67.0003814697,0.0,67.0003814697
800912,16,1,0.01,89.6778182983,89.6778182983,0.0,89.6778182983,0.0,89.6778182983
801218,17,1,0.01,57.1135864258,57.1135864258,0.0,57.1135864258,0.0,57.1135864258
802304,18,1,0.01,68.6670074463,68.6670074463,0.0,68.6670074463,0.0,68.6670074463
800407,19,1,0.01,99.5405654907,99.5405654907,0.0,99.5405654907,0.0,99.5405654907
802203,20,1,0.01,69.9310684204,69.9310684204,0.0,69.9310684204,0.0,69.9310684204
800118,21,1,0.01,62.2976989746,62.2976989746,0.0,62.2976989746,0.0,62.2976989746
800112,22,1,0.01,67.079460144,67.079460144,0.0,67.079460144,0.0,67.079460144
800106,23,1,0.01,63.0482788086,63.0482788086,0.0,63.0482788086,0.0,63.0482788086
801801,24,1,0.01,111.079490662,111.079490662,0.0,111.079490662,0.0,111.079490662
801106,25,1,0.01,113.560821533,113.560821533,0.0,113.560821533,0.0,113.560821533
802202,26,1,0.01,89.4477844238,89.4477844238,0.0,89.4477844238,0.0,89.4477844238
802004,27,1,0.01,68.8535690308,68.8535690308,0.0,68.8535690308,0.0,68.8535690308
802201,28,1,0.01,76.1972427368,76.1972427368,0.0,76.1972427368,0.0,76.1972427368
800301,29,1,0.01,70.2943649292,70.2943649292,0.0,70.2943649292,0.0,70.2943649292
810601,30,2,0.02,181.18510437,186.186645508,5.0015411377,183.685874939,2.50077056885,367.371749878
800120,31,1,0.01,52.5485877991,52.5485877991,0.0,52.5485877991,0.0,52.5485877991
810603,32,1,0.01,187.384140015,187.384140015,0.0,187.384140015,0.0,187.384140015
800205,33,1,0.01,55.9173088074,55.9173088074,0.0,55.9173088074,0.0,55.9173088074
800410,34,1,0.01,80.8948135376,80.8948135376,0.0,80.8948135376,0.0,80.8948135376
800406,35,1,0.01,83.4886322021,83.4886322021,0.0,83.4886322021,0.0,83.4886322021
800505,36,1,0.01,62.4042778015,62.4042778015,0.0,62.4042778015,0.0,62.4042778015
800504,37,1,0.01,54.0826568604,54.0826568604,0.0,54.0826568604,0.0,54.0826568604
800202,38,1,0.01,55.0811233521,55.0811233521,0.0,55.0811233521,0.0,55.0811233521
802101,39,1,0.01,47.2504272461,47.2504272461,0.0,47.2504272461,0.0,47.2504272461
800803,40,1,0.01,46.7181854248,46.7181854248,0.0,46.7181854248,0.0,46.7181854248
800503,41,3,0.03,50.0161895752,59.2837600708,9.26757049561,55.7106552124,4.06997906532,167.131965637
800801,42,1,0.01,46.4465332031,46.4465332031,0.0,46.4465332031,0.0,46.4465332031
802104,43,1,0.01,48.9526443481,48.9526443481,0.0,48.9526443481,0.0,48.9526443481
801408,44,2,0.02,44.8814163208,46.1723442078,1.29092788696,45.5268802643,0.645463943481,91.0537605286
802102,45,3,0.03,48.4542274475,59.9130973816,11.4588699341,52.363881429,5.33924049201,157.091644287
801407,46,1,0.01,46.7202644348,46.7202644348,0.0,46.7202644348,0.0,46.7202644348
801405,47,1,0.01,46.7040596008,46.7040596008,0.0,46.7040596008,0.0,46.7040596008
800804,48,1,0.01,48.7309761047,48.7309761047,0.0,48.7309761047,0.0,48.7309761047
800409,49,1,0.01,76.6558227539,76.6558227539,0.0,76.6558227539,0.0,76.6558227539
800704,50,2,0.02,66.8295669556,76.9764633179,10.1468963623,71.9030151367,5.07344818115,143.806030273
801702,51,2,0.02,137.620864868,161.62677002,24.0059051514,149.623817444,12.0029525757,299.247634888
801703,52,1,0.01,110.347122192,110.347122192,0.0,110.347122192,0.0,110.347122192
801603,53,1,0.01,60.1466636658,60.1466636658,0.0,60.1466636658,0.0,60.1466636658
800910,54,2,0.02,91.2348251343,128.520492554,37.2856674194,109.877658844,18.6428337097,219.755317688
801905,55,1,0.01,91.0029296875,91.0029296875,0.0,91.0029296875,0.0,91.0029296875
800908,56,1,0.01,98.2639007568,98.2639007568,0.0,98.2639007568,0.0,98.2639007568
801501,57,2,0.02,35.11693573,38.4964599609,3.37952423096,36.8066978455,1.68976211548,73.6133956909
801502,58,2,0.02,35.7614898682,37.1487503052,1.38726043701,36.4551200867,0.693630218506,72.9102401733
801406,59,2,0.02,42.8838920593,43.3004722595,0.416580200195,43.0921821594,0.208290100098,86.1843643188
801402,60,1,0.01,44.2856178284,44.2856178284,0.0,44.2856178284,0.0,44.2856178284
800705,61,1,0.01,126.843574524,126.843574524,0.0,126.843574524,0.0,126.843574524
801609,62,2,0.02,76.2184906006,79.1826477051,2.96415710449,77.7005691528,1.48207855225,155.401138306
800708,63,1,0.01,113.310142517,113.310142517,0.0,113.310142517,0.0,113.310142517
800711,64,1,0.01,89.850769043,89.850769043,0.0,89.850769043,0.0,89.850769043
810405,65,1,0.01,183.93572998,183.93572998,0.0,183.93572998,0.0,183.93572998
810803,66,1,0.01,189.08770752,189.08770752,0.0,189.08770752,0.0,189.08770752
810403,67,2,0.02,181.702774048,183.238647461,1.53587341309,182.470710754,0.767936706543,364.941421509
810305,68,1,0.01,192.533584595,192.533584595,0.0,192.533584595,0.0,192.533584595
810303,69,1,0.01,193.935958862,193.935958862,0.0,193.935958862,0.0,193.935958862
810404,70,1,0.01,182.236740112,182.236740112,0.0,182.236740112,0.0,182.236740112
810115,71,1,0.01,219.4478302,219.4478302,0.0,219.4478302,0.0,219.4478302
810406,72,1,0.01,147.464416504,147.464416504,0.0,147.464416504,0.0,147.464416504
810702,73,1,0.01,124.995910645,124.995910645,0.0,124.995910645,0.0,124.995910645
810703,74,1,0.01,129.681411743,129.681411743,0.0,129.681411743,0.0,129.681411743
810117,75,1,0.01,215.729141235,215.729141235,0.0,215.729141235,0.0,215.729141235
810704,76,1,0.01,144.363464355,144.363464355,0.0,144.363464355,0.0,144.363464355
810402,77,1,0.01,171.548629761,171.548629761,0.0,171.548629761,0.0,171.548629761
810401,78,1,0.01,175.304077148,175.304077148,0.0,175.304077148,0.0,175.304077148
810118,79,1,0.01,199.990951538,199.990951538,0.0,199.990951538,0.0,199.990951538
810807,80,1,0.01,170.468948364,170.468948364,0.0,170.468948364,0.0,170.468948364
810204,81,2,0.02,128.839996338,133.35697937,4.51698303223,131.098487854,2.25849151611,262.196975708
810201,82,1,0.01,158.600616455,158.600616455,0.0,158.600616455,0.0,158.600616455
810111,83,1,0.01,209.636611938,209.636611938,0.0,209.636611938,0.0,209.636611938
810506,84,1,0.01,199.960784912,199.960784912,0.0,199.960784912,0.0,199.960784912
810501,85,2,0.02,210.4375,214.318237305,3.88073730469,212.377868652,1.94036865234,424.755737305
810202,86,1,0.01,147.265441895,147.265441895,0.0,147.265441895,0.0,147.265441895
810502,87,2,0.02,222.257797241,223.739257813,1.48146057129,222.998527527,0.740730285645,445.997055054
810505,88,1,0.01,217.710693359,217.710693359,0.0,217.710693359,0.0,217.710693359
810504,89,1,0.01,207.875549316,207.875549316,0.0,207.875549316,0.0,207.875549316
810105,90,1,0.01,212.882827759,212.882827759,0.0,212.882827759,0.0,212.882827759
810407,91,2,0.02,135.087234497,149.294967651,14.2077331543,142.191101074,7.10386657715,284.382202148
810103,92,2,0.02,198.298904419,200.60256958,2.30366516113,199.450737,1.15183258057,398.901473999
810206,93,1,0.01,126.062316895,126.062316895,0.0,126.062316895,0.0,126.062316895
810808,94,1,0.01,162.412780762,162.412780762,0.0,162.412780762,0.0,162.412780762
810503,95,1,0.01,191.785293579,191.785293579,0.0,191.785293579,0.0,191.785293579
810205,96,2,0.02,178.847885132,182.285568237,3.43768310547,180.566726685,1.71884155273,361.133453369
802303,97,1,0.01,67.7803115845,67.7803115845,0.0,67.7803115845,0.0,67.7803115845
801608,98,1,0.01,53.5905532837,53.5905532837,0.0,53.5905532837,0.0,53.5905532837
800606,99,1,0.01,59.805770874,59.805770874,0.0,59.805770874,0.0,59.805770874
800903,100,1,0.01,77.7321472168,77.7321472168,0.0,77.7321472168,0.0,77.7321472168
801305,101,1,0.01,70.4060668945,70.4060668945,0.0,70.4060668945,0.0,70.4060668945
800706,102,1,0.01,82.7093963623,82.7093963623,0.0,82.7093963623,0.0,82.7093963623
