SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,11.5261592865,11.5261592865,0.0,11.5261592865,0.0,11.5261592865
100301,2,1,0.01,10.0634899139,10.0634899139,0.0,10.0634899139,0.0,10.0634899139
103001,3,1,0.01,9.50928592682,9.50928592682,0.0,9.50928592682,0.0,9.50928592682
103902,4,1,0.01,9.13711929321,9.13711929321,0.0,9.13711929321,0.0,9.13711929321
101104,5,1,0.01,9.52639007568,9.52639007568,0.0,9.52639007568,0.0,9.52639007568
101602,6,1,0.01,9.24545383453,9.24545383453,0.0,9.24545383453,0.0,9.24545383453
100308,7,1,0.01,8.51853179932,8.51853179932,0.0,8.51853179932,0.0,8.51853179932
103602,8,1,0.01,13.3775110245,13.3775110245,0.0,13.3775110245,0.0,13.3775110245
100304,9,1,0.01,16.275188446,16.275188446,0.0,16.275188446,0.0,16.275188446
104401,10,1,0.01,9.98646736145,9.98646736145,0.0,9.98646736145,0.0,9.98646736145
104003,11,1,0.01,6.78900671005,6.78900671005,0.0,6.78900671005,0.0,6.78900671005
105001,12,1,0.01,6.62885379791,6.62885379791,0.0,6.62885379791,0.0,6.62885379791
104301,13,1,0.01,10.9508867264,10.9508867264,0.0,10.9508867264,0.0,10.9508867264
104901,14,1,0.01,7.33009910583,7.33009910583,0.0,7.33009910583,0.0,7.33009910583
