,addrcode,rainfall
0,801403,28.45
1,801404,29.11
2,800802,35.02
3,801503,42.54
4,801409,54.46
5,801401,54.46
6,801304,51.04
7,800603,50.48
8,800909,92.13
9,801903,61.75
10,802003,48.35
11,801215,59.94
12,801206,62.48
13,801207,45.97
14,801217,59.94
15,802001,48.35
16,801003,43.75
17,801208,50.58
18,801213,45.97
19,802301,52.79
20,801301,51.04
21,800906,51.75
22,801216,59.94
23,801001,84.1
24,801303,59.27
25,801203,45.97
26,801104,58.03
27,801211,45.97
28,800102,45.04
29,801214,50.58
30,800103,45.04
31,800401,98.23
32,800304,49.03
33,800108,45.04
34,800405,67.41
35,800115,45.04
36,800303,44.14
37,801103,66.42
38,800114,48.35
39,802002,48.35
40,800122,55.72
41,801210,50.58
42,801002,64.95
43,801102,57.95
44,800101,45.04
45,800119,55.72
46,800416,98.23
47,800113,48.35
48,801202,50.58
49,810602,113.96
50,800807,95.87
51,800204,88.08
52,800501,74.31
53,800415,37.15
54,800810,95.87
55,810301,118.55
56,800201,95.87
57,800403,41.03
58,801209,37.41
59,800116,44.14
60,801803,74.73
61,800107,41.94
62,800121,64.18
63,801802,67.41
64,800203,95.87
65,800404,50.41
66,800806,30.09
67,802103,39.11
68,800502,83.73
69,800811,30.09
70,800813,44.84
71,800809,39.11
72,800709,56.13
73,801901,71.41
74,801604,51.24
75,800703,58.53
76,801605,57.71
77,801602,51.46
78,801704,71.92
79,801902,71.41
80,800701,77.54
81,801610,57.71
82,800710,59.47
83,800702,77.54
84,800707,53.45
85,810304,91.91
86,810802,92.41
87,810302,131.06
88,810106,93.12
89,810801,114.3
90,810101,114.3
91,810805,171.71
92,810701,81.71
93,810806,87.56
94,810116,102.31
95,810804,114.3
96,810203,60.9
97,810508,78.76
98,810509,79.82
99,810507,84.64
100,810604,80.35
101,800610,57.1
102,800904,51.26
103,800901,51.26
104,800607,50.48
105,800604,50.48
106,801611,57.1
107,800913,63.33
108,800601,50.48
109,801306,61.75
110,800902,51.26
111,800605,50.48
112,800612,48.72
113,801607,57.1
114,801906,56.13
115,800613,41.45
116,801606,49.79
117,800907,87.9
118,801601,49.79
