POINT_BANG,X,Y,P_RAIN33_2
0,100.650034127,13.865927928,85.2345504761
1,100.745101685,13.8529962881,86.5264816284
2,100.547002765,13.7545254811,92.0824737549
3,100.497556366,13.7595788722,83.8816375732
4,100.475634063,13.7521615498,83.8816375732
5,100.492151394,13.7512280636,83.8816375732
6,100.529770716,13.7630430098,92.0824737549
7,100.499228357,13.7679029825,83.8816375732
8,100.503045965,13.761822636,92.0824737549
9,100.538408182,13.7573163195,92.0824737549
10,100.494662802,13.761895874,83.8816375732
11,100.481251675,13.7588328289,83.8816375732
12,100.585996523,13.7515581026,92.0824737549
13,100.510667602,13.7588747831,92.0824737549
14,100.708169637,13.8911411594,86.5264816284
15,100.629576885,13.8976550732,85.2345504761
16,100.672300751,13.8963130805,85.2345504761
17,100.563893467,13.8827841602,80.2355651855
18,100.872021917,13.8720997756,85.0393753052
19,100.605776678,13.8678984281,85.2345504761
20,100.811679778,13.8732427011,85.0393753052
21,100.5800601,13.8714663258,80.2355651855
22,100.505483589,13.764769074,92.0824737549
23,100.501439816,13.757277497,92.0824737549
24,100.441472717,13.7522748199,83.8816375732
25,100.418633297,13.7506263367,83.8816375732
26,100.706384042,13.8442969932,86.5264816284
27,100.527961506,13.7522245241,92.0824737549
28,100.828575304,13.8388436557,85.0393753052
29,100.583669608,13.8421016037,80.2355651855
30,100.668300128,13.8243118787,85.2345504761
31,100.774460621,13.8122749002,86.5264816284
32,100.60812621,13.8392281244,85.2345504761
33,100.526686536,13.829422278,80.2355651855
34,100.822299625,13.9135716162,88.0973358154
35,100.579764321,13.9169673853,82.2207794189
36,100.486477187,13.7427943514,83.8816375732
37,100.511837693,13.7437205042,92.0824737549
38,100.423065678,13.7380094564,83.8816375732
39,100.510977362,13.7382068339,92.0824737549
40,100.600737579,13.7934808191,90.7674255371
41,100.372648064,13.7856977068,73.1702957153
42,100.563266751,13.775071483,92.0824737549
43,100.620595798,13.7881933823,90.7674255371
44,100.428539617,13.7861848561,83.8816375732
45,100.836667625,13.7977538507,87.4968338013
46,100.565745619,13.8085226659,80.2355651855
47,100.638646785,13.8112652613,85.2345504761
48,100.53021961,13.8106105983,80.2355651855
49,100.498881145,13.7327783523,83.8816375732
50,100.679827921,13.7174530162,90.7674255371
51,100.520240658,13.7336035808,92.0824737549
52,100.517383748,13.7574561632,92.0824737549
53,100.609121981,13.9200704078,84.8656768799
54,100.652272341,13.9214167064,84.8656768799
55,100.520598024,13.767802731,92.0824737549
56,100.643832442,13.7551040065,90.7674255371
57,100.82440238,13.7237646609,87.4968338013
