POINT_NAKH,X,Y,P_RAIN34_2
63,99.7843495738,8.8989502351,13.8469419479
64,99.8909272668,8.89301842195,14.9435558319
65,99.9019268233,8.81222649824,13.796754837
78,99.8143726422,9.2798847122,9.05645561218
79,99.8606315579,9.07186117749,14.0209131241
80,99.877872103,9.0103030219,14.0209131241
0,99.8996068804,8.14044207504,24.4529953003
1,100.164679943,8.14045025554,14.0570344925
2,99.669483254,8.09858317981,25.1873397827
3,99.9349454428,8.1033900504,24.8629169464
4,99.9085303272,8.30200519156,29.5000419617
5,100.227060223,8.29377852123,22.274564743
6,100.089070524,8.2806622455,22.1356220245
7,100.149546132,8.27814400986,21.5867538452
8,100.212688964,8.24609469583,22.274564743
9,99.9109471056,8.3352212058,29.5000419617
10,99.5279660229,8.28190587835,28.9461421967
11,100.183975352,8.31398186234,41.3933792114
12,100.15291921,8.23165166418,21.5867538452
13,100.081289313,8.17690248172,16.006608963
14,99.8247355255,8.1747320445,24.4529953003
15,99.7012766744,8.24311992405,25.0634880066
16,100.256136117,8.26258513634,22.274564743
17,99.6118643628,8.25096723769,22.5659828186
18,99.9236238606,8.25220182276,23.4391918182
19,100.120488081,8.2442530761,21.5867538452
20,99.3366319744,8.19378919478,46.9401817322
21,100.184946737,8.24597145074,21.5867538452
22,99.9613538546,8.44909131242,32.2740325928
23,100.199619741,8.39705975156,41.3933792114
24,99.9663605763,8.43429046869,32.2740325928
25,99.504279774,8.39090578517,50.3881111145
26,99.7537186387,8.45446834779,39.6523132324
27,99.9139319362,8.47207797774,32.2740325928
28,99.4767986823,8.45834931128,57.8842849731
29,99.9193831928,8.45227063334,32.2740325928
30,99.8192094507,8.41408752564,34.0404243469
31,99.4286045433,8.36558987907,47.0885887146
32,99.9526069244,8.39847622667,29.5000419617
33,99.9179446213,8.37122022425,29.5000419617
34,100.012341183,8.32542449041,31.4302482605
35,100.165284197,8.35981667475,41.3933792114
36,99.4867736403,8.25516819972,41.2317619324
37,99.3418470359,8.37159772906,56.0504379272
38,99.9718522757,8.40750469109,32.2740325928
39,100.060596466,8.37636567618,31.4302482605
40,99.5538554519,8.39048935092,50.3881111145
41,99.9124551563,8.39946723757,29.5000419617
42,100.108299318,8.35824060298,41.3933792114
43,98.8033636451,8.56315513198,73.1261672974
44,99.8847252548,8.58896321248,25.069278717
45,99.7760535351,8.58009546134,23.7285461426
46,99.651809934,8.55782449393,24.7045917511
47,99.5004771487,8.5326942602,25.6742515564
48,99.8839685712,8.56156767713,25.069278717
49,99.0757645856,7.52460805864,59.536945343
50,99.8009469059,8.5042021206,25.069278717
51,99.6336246089,8.46582419442,43.2474594116
52,100.181310671,8.47360584005,42.1812057495
53,99.8611364533,8.46637636276,34.0404243469
54,99.347331262,8.46566447827,61.2133750916
55,100.012307606,8.44320042718,34.7989006042
56,100.032335522,8.51013125978,29.0198192596
57,99.4185800948,8.49096825319,57.8842849731
58,99.8997571016,8.53924920914,25.069278717
59,99.5206528024,8.48570708807,43.4938774109
60,99.8707747056,8.74996642616,17.3411483765
61,99.8273253692,8.6658061913,18.9131641388
62,99.525144591,8.63294436894,23.1371593475
66,99.8213932423,8.78321411643,17.3411483765
67,99.9217687009,8.61672251233,17.8533229828
68,99.8792246733,8.664989458,18.9131641388
69,99.8849907525,8.00915259593,28.0229663849
70,99.909545107,8.0351190874,31.7390022278
71,100.191794957,7.96951729775,54.0882949829
72,99.960160418,7.97349415485,42.8585090637
73,100.269118333,7.97575087416,43.1023483276
74,100.322345555,7.96735643975,42.4953994751
75,99.5065049615,7.93253162187,35.5721168518
76,99.9329972975,8.05849977339,31.7390022278
77,100.019807461,7.99577336717,48.8666725159
81,100.291003946,7.93304909085,43.1023483276
82,99.8799145896,7.98022837458,39.2936325073
83,100.000747472,7.94576096896,48.8666725159
84,100.039714184,7.87278518799,62.2811355591
85,99.0885545737,7.80693614332,65.7049102783
86,98.962972508,7.83620064015,81.5147705078
87,99.086515273,7.64591919012,64.5357818604
88,98.7424482523,8.14079930827,95.1718902588
89,98.9914739031,8.08126192991,94.8441238403
90,98.9064480901,8.0894902489,94.8441238403
91,99.0867384798,8.08954257043,67.2763671875
92,99.3023073467,8.09252650575,49.8226928711
93,98.9712323424,7.96699749899,92.0532150269
94,98.8320582422,8.05226076674,106.729507446
95,98.9761965864,8.03557493048,94.8441238403
96,99.2494736688,8.27514123302,56.5027770996
97,98.8913764556,8.38768797665,91.8422851563
98,98.7951249215,8.35878430825,103.307159424
99,98.7192835818,8.45918267644,88.3498077393
100,98.8308684698,8.45050342365,100.505729675
101,100.222057406,8.15728437627,28.2559814453
102,99.6322271047,8.149180586,24.6921977997
103,99.6885189229,8.16828189335,24.6921977997
104,100.116993764,8.14678872809,14.0570344925
105,100.197168301,8.15574993602,14.0570344925
106,100.291367362,8.11167234402,28.2559814453
107,99.500257118,8.17297578656,25.8137054443
108,100.116932532,8.19868236912,14.0570344925
109,99.9192016424,8.18264107046,24.8629169464
110,99.6726335781,8.14759861008,24.6921977997
111,100.193124146,8.18449327508,14.0570344925
112,100.190528385,8.08368048865,50.8809394836
113,100.246572214,8.10654372602,28.2559814453
114,99.8427351932,8.06783688099,28.0229663849
115,100.094136161,8.07477686129,42.3230781555
116,100.243786276,8.0824587503,29.9559345245
117,99.5936293786,8.04748477069,31.859670639
118,100.286330758,8.0367649157,29.9559345245
