,addrcode,rainfall
0,100508,0.1
1,104604,0.08
2,103704,0.06
3,100108,0.72
4,102005,0.72
5,100101,0.72
6,103701,0.06
7,100112,0.72
8,100110,0.06
9,103702,0.06
10,100109,0.72
11,102004,0.72
12,101702,0.06
13,100805,0.06
14,104601,0.08
15,104203,0.1
16,104202,0.1
17,104101,0.47
18,100302,0.28
19,100502,0.1
20,100306,0.28
21,104102,0.47
22,100111,0.06
23,100107,0.06
24,101904,0.72
25,101907,0.72
26,104603,0.08
27,103703,0.06
28,100305,0.28
29,103002,0.47
30,104302,0.1
31,101002,0.08
32,103802,0.1
33,102902,0.47
34,100303,0.18
35,103604,0.42
36,101601,0.72
37,100801,0.06
38,102208,0.72
39,101302,0.06
40,104502,0.0
41,104802,0.09
42,102601,0.06
43,104503,0.0
44,101903,0.72
45,100307,0.08
46,103004,0.47
47,102704,0.1
48,102901,0.47
49,101801,0.72
50,103201,0.0
51,100401,0.06
52,100204,0.06
53,103605,0.29
54,104201,0.29
55,100203,0.06
56,100608,0.0
57,101105,0.08
58,102007,0.72
59,101106,0.08
60,100405,0.06
61,101101,0.34
62,100404,0.06
63,104002,0.09
64,102705,0.1
65,103801,0.1
66,101001,0.08
67,103003,0.47
68,103005,0.47
69,100601,0.0
70,102701,0.0
71,102502,0.47
72,101704,0.06
73,102303,0.09
74,101802,0.06
75,101502,0.72
76,102206,0.72
77,103302,0.06
78,100702,0.06
79,100703,0.06
80,100704,0.06
81,103901,0.06
82,100102,0.72
83,102209,0.72
84,100403,0.06
85,104501,0.06
86,102202,0.72
87,100402,0.06
88,100206,0.06
89,101902,0.72
90,102501,0.72
91,101401,0.06
92,103102,0.06
93,103203,0.0
94,101701,0.06
95,102503,0.72
96,102105,0.86
97,101506,0.72
98,104001,0.16
99,104004,0.1
100,103501,0.16
101,100905,0.0
102,103103,0.0
103,102210,0.72
104,102207,0.72
105,100104,0.06
106,103301,0.06
107,102009,0.72
108,100202,0.06
109,102504,0.72
110,101103,0.34
111,100201,0.06
112,101901,0.72
113,101905,0.72
114,101102,0.34
115,102006,0.72
116,104801,0.09
117,100701,0.06
118,100802,0.06
119,100103,0.72
120,103401,0.0
121,101501,0.72
122,101303,0.06
123,102107,0.16
124,102802,0.06
125,101507,0.72
126,101803,0.06
127,101301,0.06
128,102801,0.06
129,100803,0.06
130,100105,0.72
131,100804,0.06
132,100106,0.06
133,103903,0.06
134,103303,0.06
135,102201,0.72
136,101505,0.72
137,103101,0.16
138,103202,0.0
139,103504,0.16
140,102302,0.1
141,101204,0.0
142,102402,0.16
143,103503,0.16
144,102401,0.0
145,104701,0.0
146,101504,0.72
147,101203,0.0
148,101804,0.06
149,101503,0.72
150,102803,0.06
151,103502,0.72
152,104902,0.16
153,104602,0.08
154,104504,0.0
