SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,26.3868732452,26.3868732452,0.0,26.3868732452,0.0,26.3868732452
100301,2,1,0.01,25.0669536591,25.0669536591,0.0,25.0669536591,0.0,25.0669536591
103001,3,1,0.01,27.1128501892,27.1128501892,0.0,27.1128501892,0.0,27.1128501892
103902,4,1,0.01,25.1955909729,25.1955909729,0.0,25.1955909729,0.0,25.1955909729
101104,5,1,0.01,43.9328842163,43.9328842163,0.0,43.9328842163,0.0,43.9328842163
101602,6,1,0.01,26.9455318451,26.9455318451,0.0,26.9455318451,0.0,26.9455318451
100308,7,1,0.01,28.0865287781,28.0865287781,0.0,28.0865287781,0.0,28.0865287781
103602,8,1,0.01,47.1367950439,47.1367950439,0.0,47.1367950439,0.0,47.1367950439
100304,9,1,0.01,24.8723468781,24.8723468781,0.0,24.8723468781,0.0,24.8723468781
104401,10,1,0.01,26.9233856201,26.9233856201,0.0,26.9233856201,0.0,26.9233856201
104003,11,1,0.01,28.4645633698,28.4645633698,0.0,28.4645633698,0.0,28.4645633698
105001,12,1,0.01,29.0667152405,29.0667152405,0.0,29.0667152405,0.0,29.0667152405
104301,13,1,0.01,26.8157272339,26.8157272339,0.0,26.8157272339,0.0,26.8157272339
104901,14,1,0.01,24.3766841888,24.3766841888,0.0,24.3766841888,0.0,24.3766841888
