SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,73.4501800537,73.4501800537,0.0,73.4501800537,0.0,73.4501800537
100301,2,1,0.01,72.2488555908,72.2488555908,0.0,72.2488555908,0.0,72.2488555908
103001,3,1,0.01,75.3943252563,75.3943252563,0.0,75.3943252563,0.0,75.3943252563
103902,4,1,0.01,69.7124710083,69.7124710083,0.0,69.7124710083,0.0,69.7124710083
101104,5,1,0.01,65.7555618286,65.7555618286,0.0,65.7555618286,0.0,65.7555618286
101602,6,1,0.01,57.2122154236,57.2122154236,0.0,57.2122154236,0.0,57.2122154236
100308,7,1,0.01,66.4041061401,66.4041061401,0.0,66.4041061401,0.0,66.4041061401
103602,8,1,0.01,80.9395751953,80.9395751953,0.0,80.9395751953,0.0,80.9395751953
100304,9,1,0.01,74.9615707397,74.9615707397,0.0,74.9615707397,0.0,74.9615707397
104401,10,1,0.01,73.7377090454,73.7377090454,0.0,73.7377090454,0.0,73.7377090454
104003,11,1,0.01,50.7857017517,50.7857017517,0.0,50.7857017517,0.0,50.7857017517
105001,12,1,0.01,48.3668174744,48.3668174744,0.0,48.3668174744,0.0,48.3668174744
104301,13,1,0.01,77.4178314209,77.4178314209,0.0,77.4178314209,0.0,77.4178314209
104901,14,1,0.01,56.7303771973,56.7303771973,0.0,56.7303771973,0.0,56.7303771973
