SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,54.9523620605,54.9523620605,0.0,54.9523620605,0.0,54.9523620605
100301,2,1,0.01,52.7724761963,52.7724761963,0.0,52.7724761963,0.0,52.7724761963
103001,3,1,0.01,50.6115531921,50.6115531921,0.0,50.6115531921,0.0,50.6115531921
103902,4,1,0.01,51.28956604,51.28956604,0.0,51.28956604,0.0,51.28956604
101104,5,1,0.01,49.7716522217,49.7716522217,0.0,49.7716522217,0.0,49.7716522217
101602,6,1,0.01,57.2594490051,57.2594490051,0.0,57.2594490051,0.0,57.2594490051
100308,7,1,0.01,54.0752906799,54.0752906799,0.0,54.0752906799,0.0,54.0752906799
103602,8,1,0.01,50.8447227478,50.8447227478,0.0,50.8447227478,0.0,50.8447227478
100304,9,1,0.01,52.4483146667,52.4483146667,0.0,52.4483146667,0.0,52.4483146667
104401,10,1,0.01,51.9613304138,51.9613304138,0.0,51.9613304138,0.0,51.9613304138
104003,11,1,0.01,55.8545875549,55.8545875549,0.0,55.8545875549,0.0,55.8545875549
105001,12,1,0.01,59.0698738098,59.0698738098,0.0,59.0698738098,0.0,59.0698738098
104301,13,1,0.01,53.078086853,53.078086853,0.0,53.078086853,0.0,53.078086853
104901,14,1,0.01,63.1193847656,63.1193847656,0.0,63.1193847656,0.0,63.1193847656
