TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
801904,1,1,0.01,49.2526245117,49.2526245117,0.0,49.2526245117,0.0,49.2526245117
800905,2,2,0.02,48.5342712402,62.4342727661,13.9000015259,55.4842720032,6.95000076294,110.968544006
801701,3,1,0.01,81.3535003662,81.3535003662,0.0,81.3535003662,0.0,81.3535003662
800611,4,1,0.01,46.7983093262,46.7983093262,0.0,46.7983093262,0.0,46.7983093262
801204,5,1,0.01,68.6899795532,68.6899795532,0.0,68.6899795532,0.0,68.6899795532
801101,6,1,0.01,92.991897583,92.991897583,0.0,92.991897583,0.0,92.991897583
801302,7,1,0.01,44.6409263611,44.6409263611,0.0,44.6409263611,0.0,44.6409263611
800305,8,1,0.01,49.1270523071,49.1270523071,0.0,49.1270523071,0.0,49.1270523071
801105,9,1,0.01,88.5465698242,88.5465698242,0.0,88.5465698242,0.0,88.5465698242
801212,10,1,0.01,34.8613014221,34.8613014221,0.0,34.8613014221,0.0,34.8613014221
800302,11,1,0.01,54.3086357117,54.3086357117,0.0,54.3086357117,0.0,54.3086357117
801205,12,1,0.01,36.6943855286,36.6943855286,0.0,36.6943855286,0.0,36.6943855286
800911,13,2,0.02,48.8799552917,49.1958847046,0.315929412842,49.0379199982,0.157964706421,98.0758399963
801107,14,2,0.02,82.28956604,94.1849822998,11.8954162598,88.2372741699,5.94770812988,176.47454834
802302,15,1,0.01,43.2711982727,43.2711982727,0.0,43.2711982727,0.0,43.2711982727
800912,16,1,0.01,61.062171936,61.062171936,0.0,61.062171936,0.0,61.062171936
801218,17,1,0.01,40.3060760498,40.3060760498,0.0,40.3060760498,0.0,40.3060760498
802304,18,1,0.01,45.2589263916,45.2589263916,0.0,45.2589263916,0.0,45.2589263916
800407,19,1,0.01,88.2936325073,88.2936325073,0.0,88.2936325073,0.0,88.2936325073
802203,20,1,0.01,58.8793945313,58.8793945313,0.0,58.8793945313,0.0,58.8793945313
800118,21,1,0.01,45.9920806885,45.9920806885,0.0,45.9920806885,0.0,45.9920806885
800112,22,1,0.01,51.9979705811,51.9979705811,0.0,51.9979705811,0.0,51.9979705811
800106,23,1,0.01,44.4864959717,44.4864959717,0.0,44.4864959717,0.0,44.4864959717
801801,24,1,0.01,82.6932754517,82.6932754517,0.0,82.6932754517,0.0,82.6932754517
801106,25,1,0.01,82.8201370239,82.8201370239,0.0,82.8201370239,0.0,82.8201370239
802202,26,1,0.01,76.4544296265,76.4544296265,0.0,76.4544296265,0.0,76.4544296265
802004,27,1,0.01,44.9073028564,44.9073028564,0.0,44.9073028564,0.0,44.9073028564
802201,28,1,0.01,55.8760528564,55.8760528564,0.0,55.8760528564,0.0,55.8760528564
800301,29,1,0.01,53.0515480042,53.0515480042,0.0,53.0515480042,0.0,53.0515480042
810601,30,2,0.02,151.132614136,157.249801636,6.1171875,154.191207886,3.05859375,308.382415771
800120,31,1,0.01,41.0415344238,41.0415344238,0.0,41.0415344238,0.0,41.0415344238
810603,32,1,0.01,159.132247925,159.132247925,0.0,159.132247925,0.0,159.132247925
800205,33,1,0.01,39.532951355,39.532951355,0.0,39.532951355,0.0,39.532951355
800410,34,1,0.01,75.7850952148,75.7850952148,0.0,75.7850952148,0.0,75.7850952148
800406,35,1,0.01,72.6293029785,72.6293029785,0.0,72.6293029785,0.0,72.6293029785
800505,36,1,0.01,57.0778312683,57.0778312683,0.0,57.0778312683,0.0,57.0778312683
800504,37,1,0.01,47.4660301208,47.4660301208,0.0,47.4660301208,0.0,47.4660301208
