POINT_NAKH,X,Y,P_RAIN51_2
63,99.7843495738,8.8989502351,0.813272476196
64,99.8909272668,8.89301842195,0.963129580021
65,99.9019268233,8.81222649824,1.55973899364
78,99.8143726422,9.2798847122,0.0
79,99.8606315579,9.07186117749,0.290189236403
80,99.877872103,9.0103030219,0.290189236403
0,99.8996068804,8.14044207504,8.21014499664
1,100.164679943,8.14045025554,15.5634918213
2,99.669483254,8.09858317981,8.58408260345
3,99.9349454428,8.1033900504,47.8380393982
4,99.9085303272,8.30200519156,9.26494026184
5,100.227060223,8.29377852123,13.6283607483
6,100.089070524,8.2806622455,13.0212469101
7,100.149546132,8.27814400986,14.5235099792
8,100.212688964,8.24609469583,13.6283607483
9,99.9109471056,8.3352212058,9.26494026184
10,99.5279660229,8.28190587835,6.43160820007
11,100.183975352,8.31398186234,11.229057312
12,100.15291921,8.23165166418,14.5235099792
13,100.081289313,8.17690248172,15.0217962265
14,99.8247355255,8.1747320445,8.21014499664
15,99.7012766744,8.24311992405,7.92330408096
16,100.256136117,8.26258513634,13.6283607483
17,99.6118643628,8.25096723769,7.4952378273
18,99.9236238606,8.25220182276,9.65764045715
19,100.120488081,8.2442530761,14.5235099792
20,99.3366319744,8.19378919478,7.73474979401
21,100.184946737,8.24597145074,14.5235099792
22,99.9613538546,8.44909131242,5.91499376297
23,100.199619741,8.39705975156,11.229057312
24,99.9663605763,8.43429046869,5.91499376297
25,99.504279774,8.39090578517,5.93581104279
26,99.7537186387,8.45446834779,5.21561908722
27,99.9139319362,8.47207797774,5.91499376297
28,99.4767986823,8.45834931128,2.79148721695
29,99.9193831928,8.45227063334,5.91499376297
30,99.8192094507,8.41408752564,4.44830942154
31,99.4286045433,8.36558987907,3.37760829926
32,99.9526069244,8.39847622667,9.26494026184
33,99.9179446213,8.37122022425,9.26494026184
34,100.012341183,8.32542449041,11.7614803314
35,100.165284197,8.35981667475,11.229057312
36,99.4867736403,8.25516819972,3.91074800491
37,99.3418470359,8.37159772906,1.7783561945
38,99.9718522757,8.40750469109,5.91499376297
39,100.060596466,8.37636567618,11.7614803314
40,99.5538554519,8.39048935092,5.93581104279
41,99.9124551563,8.39946723757,9.26494026184
42,100.108299318,8.35824060298,11.229057312
43,98.8033636451,8.56315513198,0.0108777005225
44,99.8847252548,8.58896321248,2.59690570831
45,99.7760535351,8.58009546134,2.79481959343
46,99.651809934,8.55782449393,3.19995617867
47,99.5004771487,8.5326942602,2.64565324783
48,99.8839685712,8.56156767713,2.59690570831
49,99.0757645856,7.52460805864,4.01648569107
50,99.8009469059,8.5042021206,2.59690570831
51,99.6336246089,8.46582419442,6.01091527939
52,100.181310671,8.47360584005,7.74098873138
53,99.8611364533,8.46637636276,4.44830942154
54,99.347331262,8.46566447827,1.55757915974
55,100.012307606,8.44320042718,7.28121614456
56,100.032335522,8.51013125978,8.41152381897
57,99.4185800948,8.49096825319,2.79148721695
58,99.8997571016,8.53924920914,2.59690570831
59,99.5206528024,8.48570708807,5.40085506439
60,99.8707747056,8.74996642616,0.951763510704
61,99.8273253692,8.6658061913,1.12677621841
62,99.525144591,8.63294436894,1.08870971203
66,99.8213932423,8.78321411643,0.951763510704
67,99.9217687009,8.61672251233,2.00010943413
68,99.8792246733,8.664989458,1.12677621841
69,99.8849907525,8.00915259593,9.14351463318
70,99.909545107,8.0351190874,45.6001319885
71,100.191794957,7.96951729775,24.7341918945
72,99.960160418,7.97349415485,20.4109745026
73,100.269118333,7.97575087416,24.359292984
74,100.322345555,7.96735643975,47.4466056824
75,99.5065049615,7.93253162187,9.56880378723
76,99.9329972975,8.05849977339,45.6001319885
77,100.019807461,7.99577336717,22.6251621246
81,100.291003946,7.93304909085,24.359292984
82,99.8799145896,7.98022837458,14.1018438339
83,100.000747472,7.94576096896,22.6251621246
84,100.039714184,7.87278518799,27.7593078613
85,99.0885545737,7.80693614332,5.54586410522
86,98.962972508,7.83620064015,2.08827233315
87,99.086515273,7.64591919012,4.66460752487
88,98.7424482523,8.14079930827,0.274311155081
89,98.9914739031,8.08126192991,0.99048024416
90,98.9064480901,8.0894902489,0.99048024416
91,99.0867384798,8.08954257043,6.58591032028
92,99.3023073467,8.09252650575,13.5673866272
93,98.9712323424,7.96699749899,2.11878967285
94,98.8320582422,8.05226076674,0.473353356123
95,98.9761965864,8.03557493048,0.99048024416
96,99.2494736688,8.27514123302,7.29246377945
97,98.8913764556,8.38768797665,0.188418135047
98,98.7951249215,8.35878430825,0.264371246099
99,98.7192835818,8.45918267644,0.0115026198328
100,98.8308684698,8.45050342365,0.269370228052
101,100.222057406,8.15728437627,15.2047319412
102,99.6322271047,8.149180586,7.47154378891
103,99.6885189229,8.16828189335,7.47154378891
104,100.116993764,8.14678872809,15.5634918213
105,100.197168301,8.15574993602,15.5634918213
106,100.291367362,8.11167234402,15.2047319412
107,99.500257118,8.17297578656,6.44880867004
108,100.116932532,8.19868236912,15.5634918213
109,99.9192016424,8.18264107046,47.8380393982
110,99.6726335781,8.14759861008,7.47154378891
111,100.193124146,8.18449327508,15.5634918213
112,100.190528385,8.08368048865,21.8074798584
113,100.246572214,8.10654372602,15.2047319412
114,99.8427351932,8.06783688099,9.14351463318
115,100.094136161,8.07477686129,90.1760025024
116,100.243786276,8.0824587503,59.823589325
117,99.5936293786,8.04748477069,76.9462280273
118,100.286330758,8.0367649157,59.823589325
