SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,12.9832801819,12.9832801819,0.0,12.9832801819,0.0,12.9832801819
100301,2,1,0.01,11.3237895966,11.3237895966,0.0,11.3237895966,0.0,11.3237895966
103001,3,1,0.01,20.3787765503,20.3787765503,0.0,20.3787765503,0.0,20.3787765503
103902,4,1,0.01,14.9393005371,14.9393005371,0.0,14.9393005371,0.0,14.9393005371
101104,5,1,0.01,14.8665752411,14.8665752411,0.0,14.8665752411,0.0,14.8665752411
101602,6,1,0.01,16.1018791199,16.1018791199,0.0,16.1018791199,0.0,16.1018791199
100308,7,1,0.01,13.8305492401,13.8305492401,0.0,13.8305492401,0.0,13.8305492401
103602,8,1,0.01,36.654258728,36.654258728,0.0,36.654258728,0.0,36.654258728
100304,9,1,0.01,13.5575313568,13.5575313568,0.0,13.5575313568,0.0,13.5575313568
104401,10,1,0.01,13.07467556,13.07467556,0.0,13.07467556,0.0,13.07467556
104003,11,1,0.01,17.3876495361,17.3876495361,0.0,17.3876495361,0.0,17.3876495361
105001,12,1,0.01,15.4777584076,15.4777584076,0.0,15.4777584076,0.0,15.4777584076
104301,13,1,0.01,13.2828788757,13.2828788757,0.0,13.2828788757,0.0,13.2828788757
104901,14,1,0.01,20.2484531403,20.2484531403,0.0,20.2484531403,0.0,20.2484531403
