POINT_BANG,X,Y,P_RAIN28_2
0,100.650034127,13.865927928,65.0295639038
1,100.745101685,13.8529962881,64.7294387817
2,100.547002765,13.7545254811,59.2122993469
3,100.497556366,13.7595788722,46.9999732971
4,100.475634063,13.7521615498,46.9999732971
5,100.492151394,13.7512280636,46.9999732971
6,100.529770716,13.7630430098,59.2122993469
7,100.499228357,13.7679029825,46.9999732971
8,100.503045965,13.761822636,59.2122993469
9,100.538408182,13.7573163195,59.2122993469
10,100.494662802,13.761895874,46.9999732971
11,100.481251675,13.7588328289,46.9999732971
12,100.585996523,13.7515581026,59.2122993469
13,100.510667602,13.7588747831,59.2122993469
14,100.708169637,13.8911411594,64.7294387817
15,100.629576885,13.8976550732,65.0295639038
16,100.672300751,13.8963130805,65.0295639038
17,100.563893467,13.8827841602,58.2121734619
18,100.872021917,13.8720997756,66.1262817383
19,100.605776678,13.8678984281,65.0295639038
20,100.811679778,13.8732427011,66.1262817383
21,100.5800601,13.8714663258,58.2121734619
22,100.505483589,13.764769074,59.2122993469
23,100.501439816,13.757277497,59.2122993469
24,100.441472717,13.7522748199,46.9999732971
25,100.418633297,13.7506263367,46.9999732971
26,100.706384042,13.8442969932,64.7294387817
27,100.527961506,13.7522245241,59.2122993469
28,100.828575304,13.8388436557,66.1262817383
29,100.583669608,13.8421016037,58.2121734619
30,100.668300128,13.8243118787,65.0295639038
31,100.774460621,13.8122749002,64.7294387817
32,100.60812621,13.8392281244,65.0295639038
33,100.526686536,13.829422278,58.2121734619
34,100.822299625,13.9135716162,67.6261444092
35,100.579764321,13.9169673853,56.9638214111
36,100.486477187,13.7427943514,46.9999732971
37,100.511837693,13.7437205042,59.2122993469
38,100.423065678,13.7380094564,46.9999732971
39,100.510977362,13.7382068339,59.2122993469
40,100.600737579,13.7934808191,66.7889862061
41,100.372648064,13.7856977068,39.1065063477
42,100.563266751,13.775071483,59.2122993469
43,100.620595798,13.7881933823,66.7889862061
44,100.428539617,13.7861848561,46.9999732971
45,100.836667625,13.7977538507,68.3224945068
46,100.565745619,13.8085226659,58.2121734619
47,100.638646785,13.8112652613,65.0295639038
48,100.53021961,13.8106105983,58.2121734619
49,100.498881145,13.7327783523,46.9999732971
50,100.679827921,13.7174530162,66.7889862061
51,100.520240658,13.7336035808,59.2122993469
52,100.517383748,13.7574561632,59.2122993469
53,100.609121981,13.9200704078,65.0111160278
54,100.652272341,13.9214167064,65.0111160278
55,100.520598024,13.767802731,59.2122993469
56,100.643832442,13.7551040065,66.7889862061
57,100.82440238,13.7237646609,68.3224945068
58,100.463129537,13.7598434125,46.9999732971
59,100.853805065,13.7274620425,68.3224945068
60,100.523239584,13.7294329607,59.2122993469
61,100.749717361,13.722808283,67.2968521118
62,100.514435465,13.7246085607,59.2122993469
63,100.397434355,13.7199086637,39.1065063477
64,100.645313807,13.8287250195,65.0295639038
65,100.600568279,13.8138021185,65.0295639038
66,100.723055462,13.8022867906,64.7294387817
67,100.581233511,13.8193746013,58.2121734619
68,100.552654141,13.8152995128,58.2121734619
69,100.635093523,13.7884470736,66.7889862061
70,100.660654297,13.7936094857,66.7889862061
71,100.508703275,13.8001458031,58.2121734619
72,100.585425012,13.7846089658,59.2122993469
73,100.351082261,13.7141059285,39.1065063477
74,100.505093404,13.731164719,59.2122993469
75,100.489966851,13.7305525625,46.9999732971
76,100.451837222,13.7285695496,46.9999732971
77,100.570753548,13.7228534241,59.2122993469
78,100.526549121,13.7417642048,59.2122993469
79,100.534862613,13.7403758155,59.2122993469
80,100.545509766,13.7362756101,59.2122993469
81,100.56093748,13.7429474334,59.2122993469
82,100.499016059,13.7439699805,46.9999732971
83,100.463278732,13.7217532981,46.9999732971
84,100.52542642,13.7266989228,59.2122993469
85,100.598853998,13.7797838931,59.2122993469
86,100.435247983,13.7235128788,46.9999732971
87,100.529100155,13.7239195509,59.2122993469
88,100.522621746,13.7890724785,59.2122993469
89,100.451589916,13.7908873626,46.9999732971
90,100.492534843,13.790006204,46.9999732971
91,100.544958214,13.7818865454,59.2122993469
92,100.508032368,13.7053301913,59.2122993469
93,100.689161824,13.6808165465,69.7593383789
94,100.576834796,13.7686950314,59.2122993469
95,100.481059963,13.7833887915,46.9999732971
96,100.437753208,13.5734451418,47.954158783
97,100.484048614,13.7004388412,46.9999732971
98,100.416504326,13.6964336911,47.8858413696
99,100.393565878,13.6919475895,40.7959403992
100,100.449475682,13.6974544868,47.8858413696
101,100.611847331,13.695262471,69.7593383789
102,100.515160712,13.6939969888,61.7233390808
103,100.459862079,13.733080791,46.9999732971
104,100.445116934,13.7365795311,46.9999732971
105,100.503377964,13.7511174599,59.2122993469
106,100.560189609,13.7219170128,59.2122993469
107,100.477539303,13.7721640218,46.9999732971
108,100.504814581,13.7781125777,59.2122993469
109,100.492479855,13.7743228027,46.9999732971
110,100.754458628,13.7523418891,67.2968521118
111,100.512323168,13.772860755,59.2122993469
112,100.455598012,13.7596681038,46.9999732971
113,100.428371726,13.7671510721,46.9999732971
114,100.724758346,13.7517055582,67.2968521118
115,100.466588454,13.7726659787,46.9999732971
116,100.348442514,13.7581884755,39.1065063477
117,100.519718068,13.7445387648,59.2122993469
118,100.512103222,13.7485519185,59.2122993469
119,100.499158189,13.7499474665,46.9999732971
120,100.628077493,13.7261563316,66.7889862061
121,100.493059194,13.7369182668,46.9999732971
122,100.513536164,13.7343560975,59.2122993469
123,100.412962354,13.6213077751,47.8858413696
124,100.514451544,13.7144691647,59.2122993469
125,100.491742507,13.7090301874,46.9999732971
126,100.500844526,13.7143803429,59.2122993469
127,100.504445335,13.7406006938,59.2122993469
128,100.526141963,13.7085286401,59.2122993469
129,100.513553471,13.7533301066,59.2122993469
130,100.497081401,13.7539650076,46.9999732971
131,100.506767949,13.751658507,59.2122993469
132,100.500224236,13.7534157783,59.2122993469
133,100.596319806,13.7191208366,59.2122993469
134,100.595281362,13.7070053136,59.2122993469
135,100.442999315,13.7140386452,46.9999732971
136,100.473382695,13.7150621001,46.9999732971
137,100.497435806,13.6959963973,47.8858413696
138,100.65581988,13.6868617778,69.7593383789
139,100.467796476,13.6929143136,47.8858413696
140,100.358747568,13.679635857,40.7959403992
141,100.533442629,13.6791546693,61.7233390808
142,100.492041031,13.6749132553,47.8858413696
143,100.468010078,13.6710579613,47.8858413696
144,100.510128893,13.6715444821,61.7233390808
145,100.618442305,13.6677005684,69.7593383789
146,100.484612424,13.7135228111,46.9999732971
147,100.544139651,13.6970352359,61.7233390808
148,100.50462847,13.7235647686,59.2122993469
149,100.486129323,13.7226820305,46.9999732971
150,100.541358231,13.7175890517,59.2122993469
151,100.462095424,13.7092817056,46.9999732971
152,100.497607731,13.6175571855,47.8858413696
153,100.760118563,13.8988193704,64.7294387817
154,100.613777112,13.7685481626,66.7889862061
