TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
801904,1,1,0.01,9.80151176453,9.80151176453,0.0,9.80151176453,0.0,9.80151176453
800905,2,2,0.02,7.98243713379,9.39102935791,1.40859222412,8.68673324585,0.704296112061,17.3734664917
801701,3,1,0.01,5.85531997681,5.85531997681,0.0,5.85531997681,0.0,5.85531997681
800611,4,1,0.01,13.0538158417,13.0538158417,0.0,13.0538158417,0.0,13.0538158417
801204,5,1,0.01,12.8848705292,12.8848705292,0.0,12.8848705292,0.0,12.8848705292
801101,6,1,0.01,4.36568450928,4.36568450928,0.0,4.36568450928,0.0,4.36568450928
801302,7,1,0.01,9.59383583069,9.59383583069,0.0,9.59383583069,0.0,9.59383583069
800305,8,1,0.01,10.8148078918,10.8148078918,0.0,10.8148078918,0.0,10.8148078918
801105,9,1,0.01,5.97211313248,5.97211313248,0.0,5.97211313248,0.0,5.97211313248
801212,10,1,0.01,14.3906459808,14.3906459808,0.0,14.3906459808,0.0,14.3906459808
800302,11,1,0.01,10.3590230942,10.3590230942,0.0,10.3590230942,0.0,10.3590230942
801205,12,1,0.01,13.5128498077,13.5128498077,0.0,13.5128498077,0.0,13.5128498077
800911,13,2,0.02,9.37287902832,10.0822525024,0.709373474121,9.72756576538,0.354686737061,19.4551315308
801107,14,2,0.02,4.60967350006,5.97159337997,1.36191987991,5.29063344002,0.680959939957,10.58126688
802302,15,1,0.01,22.2996349335,22.2996349335,0.0,22.2996349335,0.0,22.2996349335
800912,16,1,0.01,8.85830974579,8.85830974579,0.0,8.85830974579,0.0,8.85830974579
801218,17,1,0.01,14.1281118393,14.1281118393,0.0,14.1281118393,0.0,14.1281118393
802304,18,1,0.01,11.9573516846,11.9573516846,0.0,11.9573516846,0.0,11.9573516846
800407,19,1,0.01,7.3371181488,7.3371181488,0.0,7.3371181488,0.0,7.3371181488
802203,20,1,0.01,11.9630241394,11.9630241394,0.0,11.9630241394,0.0,11.9630241394
800118,21,1,0.01,11.8998804092,11.8998804092,0.0,11.8998804092,0.0,11.8998804092
800112,22,1,0.01,11.7038536072,11.7038536072,0.0,11.7038536072,0.0,11.7038536072
800106,23,1,0.01,17.6802959442,17.6802959442,0.0,17.6802959442,0.0,17.6802959442
801801,24,1,0.01,4.84458065033,4.84458065033,0.0,4.84458065033,0.0,4.84458065033
801106,25,1,0.01,5.24879693985,5.24879693985,0.0,5.24879693985,0.0,5.24879693985
802202,26,1,0.01,9.60072994232,9.60072994232,0.0,9.60072994232,0.0,9.60072994232
802004,27,1,0.01,11.4359750748,11.4359750748,0.0,11.4359750748,0.0,11.4359750748
802201,28,1,0.01,11.769659996,11.769659996,0.0,11.769659996,0.0,11.769659996
800301,29,1,0.01,11.9235401154,11.9235401154,0.0,11.9235401154,0.0,11.9235401154
810601,30,2,0.02,2.2708632946,7.19696235657,4.92609906197,4.73391282558,2.46304953098,9.46782565117
800120,31,1,0.01,15.0793523788,15.0793523788,0.0,15.0793523788,0.0,15.0793523788
810603,32,1,0.01,1.55499625206,1.55499625206,0.0,1.55499625206,0.0,1.55499625206
800205,33,1,0.01,12.3952226639,12.3952226639,0.0,12.3952226639,0.0,12.3952226639
800410,34,1,0.01,12.1397294998,12.1397294998,0.0,12.1397294998,0.0,12.1397294998
800406,35,1,0.01,9.50769329071,9.50769329071,0.0,9.50769329071,0.0,9.50769329071
800505,36,1,0.01,15.2441263199,15.2441263199,0.0,15.2441263199,0.0,15.2441263199
800504,37,1,0.01,14.6758146286,14.6758146286,0.0,14.6758146286,0.0,14.6758146286
800202,38,1,0.01,14.1948213577,14.1948213577,0.0,14.1948213577,0.0,14.1948213577
802101,39,1,0.01,16.9266338348,16.9266338348,0.0,16.9266338348,0.0,16.9266338348
800803,40,1,0.01,16.4457988739,16.4457988739,0.0,16.4457988739,0.0,16.4457988739
800503,41,3,0.03,14.8021974564,17.1358470917,2.33364963531,16.2115030289,1.01254494699,48.6345090866
800801,42,1,0.01,14.6127758026,14.6127758026,0.0,14.6127758026,0.0,14.6127758026
802104,43,1,0.01,14.6917610168,14.6917610168,0.0,14.6917610168,0.0,14.6917610168
801408,44,2,0.02,15.1102209091,17.4244594574,2.31423854828,16.2673401833,1.15711927414,32.5346803665
802102,45,3,0.03,12.4122400284,16.1182403564,3.70600032806,14.6172539393,1.59276502597,43.8517618179
801407,46,1,0.01,14.8744497299,14.8744497299,0.0,14.8744497299,0.0,14.8744497299
801405,47,1,0.01,14.5021038055,14.5021038055,0.0,14.5021038055,0.0,14.5021038055
800804,48,1,0.01,13.7648954391,13.7648954391,0.0,13.7648954391,0.0,13.7648954391
800409,49,1,0.01,10.6537408829,10.6537408829,0.0,10.6537408829,0.0,10.6537408829
800704,50,2,0.02,11.1116609573,11.8920402527,0.780379295349,11.501850605,0.390189647675,23.00370121
801702,51,2,0.02,3.42584133148,5.00030374527,1.57446241379,4.21307253838,0.787231206894,8.42614507675
801703,52,1,0.01,7.73374223709,7.73374223709,0.0,7.73374223709,0.0,7.73374223709
801603,53,1,0.01,13.1421031952,13.1421031952,0.0,13.1421031952,0.0,13.1421031952
800910,54,2,0.02,7.24771785736,9.30649662018,2.05877876282,8.27710723877,1.02938938141,16.5542144775
801905,55,1,0.01,9.27063274384,9.27063274384,0.0,9.27063274384,0.0,9.27063274384
800908,56,1,0.01,8.30183601379,8.30183601379,0.0,8.30183601379,0.0,8.30183601379
801501,57,2,0.02,21.4967918396,23.3414363861,1.84464454651,22.4191141129,0.922322273254,44.8382282257
