,addrcode,rainfall
0,801904,1.25
1,800905,0.66
2,801701,0.1
3,800611,1.05
4,801204,1.88
5,801101,2.82
6,801302,0.84
7,800305,1.74
8,801105,0.2
9,801212,1.29
10,800302,1.73
11,801205,1.83
12,800911,1.51
13,801107,4.39
14,802302,1.35
15,800912,1.24
16,801218,1.28
17,802304,2.13
18,800407,0.49
19,802203,2.11
20,800118,1.75
21,800112,1.68
22,800106,0.98
23,801801,0.39
24,801106,0.09
25,802202,1.61
26,802004,0.99
27,802201,2.01
28,800301,1.7
29,810601,0.02
30,800120,0.73
31,810603,0.0
32,800205,0.8
33,800410,1.67
34,800406,1.67
35,800505,2.18
36,800504,1.01
37,800202,0.56
38,802101,0.63
39,800803,0.19
40,800503,1.15
41,800801,0.27
42,802104,0.92
43,801408,1.62
44,802102,1.39
45,801407,4.39
46,801405,0.95
47,800804,0.38
48,800409,1.3
49,800704,1.7
50,801702,2.32
51,801703,2.4
52,801603,1.48
53,800910,3.39
54,801905,1.71
55,800908,3.49
56,801501,1.16
57,801502,2.48
58,801406,2.14
59,801402,1.27
60,800705,3.68
61,801609,2.98
62,800708,2.3
63,800711,1.91
64,810405,2.87
65,810803,0.59
66,810403,3.06
67,810305,1.69
68,810303,1.36
69,810404,1.35
70,810115,0.04
71,810406,1.66
72,810702,0.4
73,810703,0.51
74,810117,0.0
75,810704,1.05
76,810402,0.78
77,810401,2.36
78,810118,0.04
79,810807,0.08
80,810204,0.08
81,810201,0.0
82,810111,0.06
83,810506,0.01
84,810501,0.0
85,810202,0.0
86,810502,0.0
87,810505,0.0
88,810504,0.02
89,810105,0.0
90,810407,0.89
91,810103,0.0
92,810206,1.37
93,810808,0.06
94,810503,0.0
95,810205,0.0
96,802303,1.35
97,801608,0.73
98,800606,1.06
99,800903,1.39
100,801305,1.19
101,800706,2.34
