,addrcode,rainfall
0,100508,3.4
1,104604,3.48
2,103704,2.11
3,100108,3.4
4,102005,3.4
5,100101,3.4
6,103701,2.11
7,100112,3.4
8,100110,2.11
9,103702,2.11
10,100109,3.4
11,102004,3.4
12,101702,2.11
13,100805,2.11
14,104601,3.48
15,104203,3.4
16,104202,3.4
17,104101,4.03
18,100302,4.05
19,100502,3.4
20,100306,4.05
21,104102,4.03
22,100111,2.11
23,100107,2.11
24,101904,3.4
25,101907,3.4
26,104603,3.48
27,103703,2.11
28,100305,4.05
29,103002,4.03
30,104302,3.4
31,101002,3.48
32,103802,3.4
33,102902,4.03
34,100303,8.58
35,103604,7.75
36,101601,3.4
37,100801,2.11
38,102208,3.4
39,101302,2.11
40,104502,1.82
41,104802,4.04
42,102601,2.11
43,104503,1.82
44,101903,3.4
45,100307,2.35
46,103004,4.03
47,102704,3.4
48,102901,4.03
49,101801,3.4
50,103201,1.82
51,100401,2.11
52,100204,2.11
53,103605,8.29
54,104201,8.29
55,100203,2.11
56,100608,1.82
57,101105,2.35
58,102007,3.4
59,101106,2.35
60,100405,2.11
61,101101,2.11
62,100404,2.11
63,104002,4.04
64,102705,3.4
65,103801,3.4
66,101001,3.48
67,103003,4.03
68,103005,4.03
69,100601,1.82
70,102701,1.82
71,102502,4.03
72,101704,2.11
73,102303,4.04
74,101802,2.11
75,101502,3.4
76,102206,3.4
77,103302,2.11
78,100702,2.11
79,100703,2.11
80,100704,2.11
81,103901,2.11
82,100102,3.4
83,102209,3.4
84,100403,2.11
85,104501,2.11
86,102202,3.4
87,100402,2.11
88,100206,2.11
89,101902,3.4
90,102501,3.4
91,101401,2.11
92,103102,2.11
93,103203,1.64
94,101701,2.11
95,102503,3.4
96,102105,8.72
97,101506,3.4
98,104001,4.55
99,104004,4.2
100,103501,4.55
101,100905,1.64
102,103103,2.7
103,102210,3.4
104,102207,3.4
105,100104,2.11
106,103301,2.11
107,102009,3.4
108,100202,2.11
109,102504,3.4
110,101103,2.11
111,100201,2.11
112,101901,3.4
113,101905,3.4
114,101102,2.11
115,102006,3.4
116,104801,4.04
117,100701,2.11
118,100802,2.11
119,100103,3.4
120,103401,1.82
121,101501,3.4
122,101303,2.11
123,102107,4.55
124,102802,2.11
125,101507,3.4
126,101803,2.11
127,101301,2.11
128,102801,2.11
129,100803,2.11
130,100105,3.4
131,100804,2.11
132,100106,2.11
133,103903,2.11
134,103303,2.11
135,102201,3.4
136,101505,3.4
137,103101,4.55
138,103202,1.64
139,103504,4.55
140,102302,4.2
141,101204,2.7
142,102402,4.55
143,103503,4.55
144,102401,2.7
145,104701,1.64
146,101504,3.4
147,101203,2.7
148,101804,2.11
149,101503,3.4
150,102803,2.11
151,103502,3.4
152,104902,4.55
153,104602,3.48
154,104504,1.82
