,addrcode,rainfall
0,801403,92.93
1,801404,104.23
2,800802,126.61
3,801503,72.73
4,801409,95.34
5,801401,95.34
6,801304,89.66
7,800603,116.96
8,800909,72.59
9,801903,100.62
10,802003,95.34
11,801215,116.96
12,801206,112.26
13,801207,134.12
14,801217,116.96
15,802001,95.34
16,801003,71.51
17,801208,127.73
18,801213,134.12
19,802301,121.73
20,801301,89.66
21,800906,89.27
22,801216,116.96
23,801001,86.3
24,801303,103.59
25,801203,134.12
26,801104,26.72
27,801211,134.12
28,800102,100.77
29,801214,127.73
30,800103,100.77
31,800401,86.39
32,800304,94.56
33,800108,100.77
34,800405,57.12
35,800115,100.77
36,800303,100.06
37,801103,55.32
38,800114,95.34
39,802002,95.34
40,800122,112.06
41,801210,127.73
42,801002,46.36
43,801102,32.49
44,800101,100.77
45,800119,112.06
46,800416,86.39
47,800113,95.34
48,801202,127.73
49,810602,12.17
50,800807,94.37
51,800204,94.87
52,800501,107.64
53,800415,113.25
54,800810,94.37
55,810301,6.79
56,800201,94.37
57,800403,100.39
58,801209,111.68
59,800116,100.06
60,801803,35.73
61,800107,109.56
62,800121,145.77
63,801802,57.12
64,800203,94.37
65,800404,85.99
66,800806,101.65
67,802103,90.55
68,800502,93.34
69,800811,101.65
70,800813,140.07
71,800809,90.55
72,800709,73.1
73,801901,81.23
74,801604,74.51
75,800703,61.04
76,801605,73.93
77,801602,57.73
78,801704,35.42
79,801902,81.23
80,800701,71.81
81,801610,73.93
82,800710,49.86
83,800702,71.81
84,800707,51.28
85,810304,10.23
86,810802,8.38
87,810302,10.83
88,810106,6.82
89,810801,11.63
90,810101,11.63
91,810805,20.08
92,810701,24.76
93,810806,12.41
94,810116,6.06
95,810804,11.63
96,810203,24.79
97,810508,9.61
98,810509,7.49
99,810507,8.83
100,810604,9.04
101,800610,108.1
102,800904,82.1
103,800901,82.1
104,800607,116.96
105,800604,116.96
106,801611,108.1
107,800913,73.57
108,800601,116.96
109,801306,100.62
110,800902,82.1
111,800605,116.96
112,800612,104.16
113,801607,108.1
114,801906,73.1
115,800613,100.96
116,801606,105.94
117,800907,63.39
118,801601,105.94
