POINT_BANG,X,Y,P_RAIN32_2
0,100.650034127,13.865927928,31.8243350983
1,100.745101685,13.8529962881,30.3890476227
2,100.547002765,13.7545254811,31.6021461487
3,100.497556366,13.7595788722,28.8742332458
4,100.475634063,13.7521615498,28.8742332458
5,100.492151394,13.7512280636,28.8742332458
6,100.529770716,13.7630430098,31.6021461487
7,100.499228357,13.7679029825,28.8742332458
8,100.503045965,13.761822636,31.6021461487
9,100.538408182,13.7573163195,31.6021461487
10,100.494662802,13.761895874,28.8742332458
11,100.481251675,13.7588328289,28.8742332458
12,100.585996523,13.7515581026,31.6021461487
13,100.510667602,13.7588747831,31.6021461487
14,100.708169637,13.8911411594,30.3890476227
15,100.629576885,13.8976550732,31.8243350983
16,100.672300751,13.8963130805,31.8243350983
17,100.563893467,13.8827841602,30.49609375
18,100.872021917,13.8720997756,29.5330467224
19,100.605776678,13.8678984281,31.8243350983
20,100.811679778,13.8732427011,29.5330467224
21,100.5800601,13.8714663258,30.49609375
22,100.505483589,13.764769074,31.6021461487
23,100.501439816,13.757277497,31.6021461487
24,100.441472717,13.7522748199,28.8742332458
25,100.418633297,13.7506263367,28.8742332458
26,100.706384042,13.8442969932,30.3890476227
27,100.527961506,13.7522245241,31.6021461487
28,100.828575304,13.8388436557,29.5330467224
29,100.583669608,13.8421016037,30.49609375
30,100.668300128,13.8243118787,31.8243350983
31,100.774460621,13.8122749002,30.3890476227
32,100.60812621,13.8392281244,31.8243350983
33,100.526686536,13.829422278,30.49609375
34,100.822299625,13.9135716162,32.9940261841
35,100.579764321,13.9169673853,30.4388217926
36,100.486477187,13.7427943514,28.8742332458
37,100.511837693,13.7437205042,31.6021461487
38,100.423065678,13.7380094564,28.8742332458
39,100.510977362,13.7382068339,31.6021461487
40,100.600737579,13.7934808191,31.7223415375
41,100.372648064,13.7856977068,27.9375228882
42,100.563266751,13.775071483,31.6021461487
43,100.620595798,13.7881933823,31.7223415375
44,100.428539617,13.7861848561,28.8742332458
45,100.836667625,13.7977538507,30.7871208191
46,100.565745619,13.8085226659,30.49609375
47,100.638646785,13.8112652613,31.8243350983
48,100.53021961,13.8106105983,30.49609375
49,100.498881145,13.7327783523,28.8742332458
50,100.679827921,13.7174530162,31.7223415375
51,100.520240658,13.7336035808,31.6021461487
52,100.517383748,13.7574561632,31.6021461487
53,100.609121981,13.9200704078,31.6401920319
54,100.652272341,13.9214167064,31.6401920319
55,100.520598024,13.767802731,31.6021461487
56,100.643832442,13.7551040065,31.7223415375
57,100.82440238,13.7237646609,30.7871208191
58,100.463129537,13.7598434125,28.8742332458
59,100.853805065,13.7274620425,30.7871208191
60,100.523239584,13.7294329607,31.6021461487
61,100.749717361,13.722808283,29.2963733673
62,100.514435465,13.7246085607,31.6021461487
63,100.397434355,13.7199086637,27.9375228882
64,100.645313807,13.8287250195,31.8243350983
65,100.600568279,13.8138021185,31.8243350983
66,100.723055462,13.8022867906,30.3890476227
67,100.581233511,13.8193746013,30.49609375
68,100.552654141,13.8152995128,30.49609375
69,100.635093523,13.7884470736,31.7223415375
70,100.660654297,13.7936094857,31.7223415375
71,100.508703275,13.8001458031,30.49609375
72,100.585425012,13.7846089658,31.6021461487
73,100.351082261,13.7141059285,27.9375228882
74,100.505093404,13.731164719,31.6021461487
75,100.489966851,13.7305525625,28.8742332458
76,100.451837222,13.7285695496,28.8742332458
77,100.570753548,13.7228534241,31.6021461487
78,100.526549121,13.7417642048,31.6021461487
79,100.534862613,13.7403758155,31.6021461487
80,100.545509766,13.7362756101,31.6021461487
81,100.56093748,13.7429474334,31.6021461487
82,100.499016059,13.7439699805,28.8742332458
83,100.463278732,13.7217532981,28.8742332458
84,100.52542642,13.7266989228,31.6021461487
85,100.598853998,13.7797838931,31.6021461487
86,100.435247983,13.7235128788,28.8742332458
87,100.529100155,13.7239195509,31.6021461487
88,100.522621746,13.7890724785,31.6021461487
89,100.451589916,13.7908873626,28.8742332458
90,100.492534843,13.790006204,28.8742332458
91,100.544958214,13.7818865454,31.6021461487
92,100.508032368,13.7053301913,31.6021461487
93,100.689161824,13.6808165465,29.6317329407
94,100.576834796,13.7686950314,31.6021461487
95,100.481059963,13.7833887915,28.8742332458
96,100.437753208,13.5734451418,25.1079368591
97,100.484048614,13.7004388412,28.8742332458
98,100.416504326,13.6964336911,28.7008228302
99,100.393565878,13.6919475895,28.7302474976
100,100.449475682,13.6974544868,28.7008228302
101,100.611847331,13.695262471,29.6317329407
102,100.515160712,13.6939969888,31.9082946777
103,100.459862079,13.733080791,28.8742332458
104,100.445116934,13.7365795311,28.8742332458
105,100.503377964,13.7511174599,31.6021461487
106,100.560189609,13.7219170128,31.6021461487
107,100.477539303,13.7721640218,28.8742332458
108,100.504814581,13.7781125777,31.6021461487
