SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,17.5449981689,17.5449981689,0.0,17.5449981689,0.0,17.5449981689
100301,2,1,0.01,14.3620414734,14.3620414734,0.0,14.3620414734,0.0,14.3620414734
103001,3,1,0.01,10.8392124176,10.8392124176,0.0,10.8392124176,0.0,10.8392124176
103902,4,1,0.01,9.56403923035,9.56403923035,0.0,9.56403923035,0.0,9.56403923035
101104,5,1,0.01,11.9834432602,11.9834432602,0.0,11.9834432602,0.0,11.9834432602
101602,6,1,0.01,14.8504810333,14.8504810333,0.0,14.8504810333,0.0,14.8504810333
100308,7,1,0.01,12.7327709198,12.7327709198,0.0,12.7327709198,0.0,12.7327709198
103602,8,1,0.01,14.9915237427,14.9915237427,0.0,14.9915237427,0.0,14.9915237427
100304,9,1,0.01,15.0806188583,15.0806188583,0.0,15.0806188583,0.0,15.0806188583
104401,10,1,0.01,10.4119081497,10.4119081497,0.0,10.4119081497,0.0,10.4119081497
104003,11,1,0.01,9.82321739197,9.82321739197,0.0,9.82321739197,0.0,9.82321739197
105001,12,1,0.01,9.87763977051,9.87763977051,0.0,9.87763977051,0.0,9.87763977051
104301,13,1,0.01,13.8361024857,13.8361024857,0.0,13.8361024857,0.0,13.8361024857
104901,14,1,0.01,10.0852003098,10.0852003098,0.0,10.0852003098,0.0,10.0852003098
