,addrcode,rainfall
0,801403,103.22
1,801404,104.2
2,800802,109.63
3,801503,82.22
4,801409,89.19
5,801401,89.19
6,801304,109.05
7,800603,111.5
8,800909,98.93
9,801903,107.16
10,802003,105.55
11,801215,112.65
12,801206,133.17
13,801207,111.12
14,801217,112.65
15,802001,105.55
16,801003,100.89
17,801208,113.53
18,801213,111.12
19,802301,121.11
20,801301,109.05
21,800906,106.51
22,801216,112.65
23,801001,108.27
24,801303,104.5
25,801203,111.12
26,801104,80.56
27,801211,111.12
28,800102,108.03
29,801214,113.53
30,800103,108.03
31,800401,103.61
32,800304,108.58
33,800108,108.03
34,800405,82.02
35,800115,108.03
36,800303,106.75
37,801103,111.33
38,800114,105.55
39,802002,105.55
40,800122,117.47
41,801210,113.53
42,801002,85.68
43,801102,79.45
44,800101,108.03
45,800119,117.47
46,800416,103.61
47,800113,105.55
48,801202,113.53
49,810602,59.77
50,800807,104.27
51,800204,101.3
52,800501,102.24
53,800415,96.28
54,800810,104.27
55,810301,61.07
56,800201,104.27
57,800403,106.82
58,801209,122.08
59,800116,106.75
60,801803,79.5
61,800107,128.91
62,800121,125.41
63,801802,82.02
64,800203,104.27
65,800404,97.5
66,800806,103.18
67,802103,101.4
68,800502,99.95
69,800811,103.18
70,800813,108.56
71,800809,101.4
72,800709,102.65
73,801901,103.35
74,801604,105.78
75,800703,89.86
76,801605,99.76
77,801602,92.25
78,801704,80.63
79,801902,103.35
80,800701,119.86
81,801610,99.76
82,800710,88.62
83,800702,119.86
84,800707,95.1
85,810304,62.25
86,810802,76.91
87,810302,59.29
88,810106,82.54
89,810801,75.84
90,810101,75.84
91,810805,68.63
92,810701,97.74
93,810806,85.7
94,810116,75.86
95,810804,75.84
96,810203,78.37
97,810508,68.57
98,810509,67.69
99,810507,68.1
100,810604,67.41
101,800610,111.74
102,800904,106.84
103,800901,106.84
104,800607,111.5
105,800604,111.5
106,801611,111.74
107,800913,97.96
108,800601,111.5
109,801306,107.16
110,800902,106.84
111,800605,111.5
112,800612,110.79
113,801607,111.74
114,801906,102.65
115,800613,121.56
116,801606,115.94
117,800907,92.76
118,801601,115.94
