SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
104605,1,1,0.01,77.4526290894,77.4526290894,0.0,77.4526290894,0.0,77.4526290894
100301,2,1,0.01,71.3127593994,71.3127593994,0.0,71.3127593994,0.0,71.3127593994
103001,3,1,0.01,67.4604110718,67.4604110718,0.0,67.4604110718,0.0,67.4604110718
103902,4,1,0.01,66.7906494141,66.7906494141,0.0,66.7906494141,0.0,66.7906494141
101104,5,1,0.01,74.2717132568,74.2717132568,0.0,74.2717132568,0.0,74.2717132568
101602,6,1,0.01,54.6533164978,54.6533164978,0.0,54.6533164978,0.0,54.6533164978
100308,7,1,0.01,72.4836273193,72.4836273193,0.0,72.4836273193,0.0,72.4836273193
103602,8,1,0.01,63.9570045471,63.9570045471,0.0,63.9570045471,0.0,63.9570045471
100304,9,1,0.01,69.4426574707,69.4426574707,0.0,69.4426574707,0.0,69.4426574707
104401,10,1,0.01,71.1730651855,71.1730651855,0.0,71.1730651855,0.0,71.1730651855
104003,11,1,0.01,48.1392669678,48.1392669678,0.0,48.1392669678,0.0,48.1392669678
105001,12,1,0.01,44.9069061279,44.9069061279,0.0,44.9069061279,0.0,44.9069061279
104301,13,1,0.01,74.4560012817,74.4560012817,0.0,74.4560012817,0.0,74.4560012817
104901,14,1,0.01,49.5339050293,49.5339050293,0.0,49.5339050293,0.0,49.5339050293
