addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
8001,31.81118262143962,29.101752998636503,0.08517223817315918,0.21469807520356124,0.22687754322740405,-0.056728352186181094,0.17895000678044493,0.1849255722393607,-0.03339237347024662
8002,49.59500377133938,36.87442682034362,0.2564890812317448,0.3238400016172177,0.23387081995439105,0.27781985305561846,0.2571832831575779,0.18413474999449764,0.28403297549601203
8003,75.47172433752078,71.80537634206398,0.048579094059920364,0.4942223051882166,0.47585780907108033,0.03715837169700876,0.40541390864693316,0.38348330249669105,0.05409436055964484
8004,48.09138467629249,54.9928823257515,-0.14350798372543486,0.30563290178317565,0.30246065915689274,0.010379257624996741,0.23433385838030096,0.24783192659487988,-0.057601869008075075
8005,52.33547046902494,64.25686306646934,-0.22778800860307816,0.3951863121727429,0.48823148408296807,-0.2354463427608633,0.30711883595322303,0.37312141161631673,-0.21490891451915534
8006,51.18697055110315,57.49657952796542,-0.12326591921596522,0.17889170456960504,0.18608529800774612,-0.04021200119618805,0.13556386706457796,0.15316815974636178,-0.1298597706230801
8007,54.08028197374086,65.21628680417723,-0.20591617543421004,0.1515143172876981,0.16377199813060467,-0.08090113899686105,0.11464558153648376,0.13153977891420934,-0.14736021354952378
8008,45.81401354173368,51.19022486305786,-0.11734862121230195,0.13996004099016635,0.14706235422326092,-0.050745292605291405,0.11504028197569706,0.11104146367122612,0.03476015736223343
8009,62.08038990429058,66.61501303455438,-0.0730443725829499,0.2649536614931572,0.26649260836532834,-0.005808362350980002,0.21606129340302793,0.22203368389696534,-0.027642112105646197
8010,53.778695951652715,71.42443747154611,-0.32811769061408624,0.3872443494469186,0.5210918674132747,-0.34564098393565645,0.2885040885936195,0.4150908534857659,-0.43876939668073045
8011,67.19383586151848,56.73332460806063,0.15567664978996276,0.14572177119122787,0.13696610511255794,0.060084817849077855,0.12072216910041811,0.098163897377176,0.18686105370156061
8012,58.15213807787422,70.64249235404996,-0.2147875329957659,0.2017037472955724,0.2792606473267972,-0.3845089695709746,0.16453801301886237,0.21795134262241972,-0.3246260765129948
8013,62.20848426120856,80.46263581572393,-0.293435079978281,0.18634952348695322,0.21578677363946175,-0.15796793896588368,0.1435001133364536,0.1646061626763898,-0.14708036704089902
8014,89.81881532654563,80.84040575523326,0.09996134483259915,0.32589691518294867,0.19084692901806022,0.41439479747476426,0.21146182274692882,0.14432063112301216,0.3175097554335812
8015,82.40966295003984,63.24138355984282,0.23259747345184065,0.5892005569556071,0.4192799410440175,0.2883918114225275,0.4459196605824453,0.3318734739282574,0.25575500866058387
8016,64.83752601262515,74.77959280314857,-0.15333815772963807,0.24067972587200673,0.2797635331223197,-0.16238927939903725,0.18946253962545426,0.2361779537324607,-0.24656807725346375
8017,98.98787322048432,90.22887714562383,0.08848554666237565,0.3094910382881897,0.2913825456483222,0.058510555717627366,0.24449893121811295,0.2189602804158986,0.10445301611331705
8018,141.8020413587702,166.98842824667457,-0.1776165325023838,0.12247692220534412,0.1770680148535767,-0.44572554294518824,0.10270051358807676,0.13819613216891388,-0.3456226005179205
8019,88.5716766007391,109.65188862031019,-0.23800172728575386,0.3243771084523504,0.34003676677720784,-0.048276089516834,0.23216844144561696,0.2699659453561139,-0.16280207454186063
8020,57.270963490213454,61.759981683606114,-0.07838209661270584,0.4794084949656757,0.7322091746501167,-0.5273178976574889,0.37892098274030117,0.5681847862807,-0.4994809265289842
8021,60.71332020176733,71.85774906893919,-0.1835582180341283,0.3069164379710227,0.3026867319642607,0.013781295113171242,0.2314615889690136,0.245114309587803,-0.05898482197241437
8022,65.34215843683798,59.96830537228461,0.08224174396913932,0.34055018225629474,0.29959748085434473,0.12025452792484312,0.27209063719534377,0.24385770403377044,0.1037629719735776
8023,87.88071216681168,102.11830928183001,-0.16201048858130657,0.28661542852584854,0.30275982313881994,-0.05632772351442139,0.20666027396054254,0.24917394799359838,-0.20571768931832993
