,addrcode,Week,Year,DF_6,DF_5,DF_4,DF_3,DF_2,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DFma_6,DFma_5,DFma_4,DFma_3,DFma_2,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,1001,15,2014,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.098603771,0.197207541,0.010977774,4.410540847,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
1,1001,16,2014,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.098603771,0.07040312,4.347273658,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
2,1001,17,2014,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.0,4.421014514,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
3,1001,18,2014,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.098603771,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,0.0,0.87990115,4.620772444,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
4,1001,19,2014,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.098603771,0.098603771,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,2.640455352,4.728712164,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
5,1001,20,2014,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.098603771,0.098603771,0.098603771,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,4.595013457,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
6,1001,21,2014,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.0,0.098603771,0.098603771,0.098603771,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.197207541,1.24515023,4.398338102,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
7,1001,22,2014,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.0,0.098603771,0.098603771,0.098603771,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.0,4.55581161,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
8,1001,23,2014,0.0,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.0,0.098603771,0.098603771,0.098603771,0.197207541,0.197207541,0.394415082,0.295811312,0.7617772970000001,4.655137837,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
9,1001,24,2014,0.0,0.0,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.0,0.0,0.0,0.0,0.098603771,0.098603771,0.098603771,0.197207541,0.197207541,0.394415082,0.21892889,4.49830919,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
10,1001,25,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.0,0.0,0.098603771,0.098603771,0.098603771,0.197207541,0.197207541,0.628891094,4.5821304210000005,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
11,1001,26,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.098603771,0.098603771,0.098603771,0.197207541,0.315097196,4.640019048,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
12,1001,27,2014,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.0,0.098603771,0.0,0.0,0.0,0.0,0.0,0.0,0.098603771,0.098603771,0.098603771,0.17677223399999994,4.569258014,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
13,1001,28,2014,0.394415082,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.295811312,0.098603771,0.0,0.0,0.0,0.0,0.0,0.0,0.098603771,0.098603771,0.247877129,4.554699049,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
14,1001,29,2014,0.0,0.394415082,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.295811312,0.098603771,0.0,0.0,0.0,0.0,0.0,0.0,0.098603771,2.143122099,4.65522996,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
15,1001,30,2014,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.295811312,0.098603771,0.0,0.0,0.0,0.0,0.0,0.0,2.252699329,4.677378437,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
16,1001,31,2014,0.0,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.295811312,0.098603771,0.0,0.0,0.0,0.0,0.0,2.262298615,4.568506857,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
17,1001,32,2014,0.197207541,0.0,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.0,0.0,0.098603771,0.0,0.0,0.197207541,0.295811312,0.098603771,0.0,0.0,0.0,0.0,0.297101667,4.370315018,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
18,1001,33,2014,0.197207541,0.197207541,0.0,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.0,0.197207541,0.098603771,0.0,0.0,0.197207541,0.295811312,0.098603771,0.0,0.0,0.0,0.008170672,4.301913747,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
19,1001,34,2014,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,0.0,0.197207541,0.295811312,0.098603771,0.0,0.0,0.163463563,4.400329375,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
20,1001,35,2014,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,0.0,0.197207541,0.295811312,0.098603771,0.0,0.952710357,4.3308828639999986,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
21,1001,36,2014,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,0.0,0.197207541,0.295811312,0.098603771,0.247375861,4.006542853,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
22,1001,37,2014,0.394415082,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,0.0,0.197207541,0.295811312,2.8508376189999995,3.945217332,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
23,1001,38,2014,0.0,0.394415082,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,0.0,0.197207541,0.059274966,4.270386449,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
24,1001,39,2014,0.197207541,0.0,0.394415082,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.098603771,0.197207541,0.197207541,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,0.0,1.04687359,4.427413514,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
