,addrcode,actual,predicted
0,1001,0.25169909868421053,0.22827200873570205
1,1002,0.6696488360526316,0.5691844704678308
2,1003,0.23227825531578947,0.1335875572553402
3,1004,0.6775399015789474,0.5209737816844546
4,1005,0.18248923178947365,0.12123935081864866
5,1006,0.4915854993684211,0.3744694084173681
6,1007,0.2735158198421052,0.18721706567629381
7,1008,0.4190507662105263,0.373459265643503
8,1010,0.34775403952631584,0.18992141727461137
9,1011,0.21033422289473683,0.21338954565974227
10,1012,0.35868397826315784,0.34415221214803915
11,1013,0.31431220615789474,0.216737096875913
12,1014,0.4625993476666666,0.4131034985351101
13,1015,0.2604182703333333,0.25865017266637913
14,1016,0.48721102688888884,0.230568464196964
15,1017,0.48358650522222224,0.23482218349413708
16,1018,0.2523920248888889,0.16423267691693902
17,1019,0.39903089505555545,0.2930646713430184
18,1020,0.4023651257222222,0.33948833135696105
19,1021,0.31587335538888894,0.18415236242027241
20,1022,0.2710930471666667,0.24575542801276842
21,1023,0.2563979906111111,0.15065060704971553
22,1024,0.25917195927777775,0.21315043136840262
23,1025,0.49264735144444444,0.3237049570736359
24,1026,0.5778930801111111,0.3900730390878983
25,1027,0.5516552916666666,0.49649714686526436
26,1028,0.06564436522222222,0.12552076976543936
27,1029,0.22089024763157897,0.1476074298905898
28,1030,0.6649352273684211,0.4617283962215621
29,1031,0.11917261389473684,0.12873300661128464
30,1032,0.23236763410526318,0.18272392783651265
31,1033,0.44715190552631584,0.35657007341594954
32,1034,0.36040848647368423,0.26389182666026584
33,1035,0.3265930661052632,0.2699343833652575
34,1036,0.1542098334736842,0.11952048619596964
35,1037,0.4182761360526316,0.37891543147117707
36,1038,0.3849175836842105,0.30552643231340076
37,1039,0.5734215987894737,0.4489120421502677
38,1040,0.3318245175263158,0.17743243628675814
39,1041,0.2731224168947369,0.211238057693594
40,1042,0.11105628157894736,0.10974762976852298
41,1043,0.3233867858421053,0.18773270472255374
42,1044,0.47511038268421035,0.16211015210026533
43,1045,0.6637605274210526,0.489679478405577
44,1046,0.3352606270526316,0.14592206174771
45,1047,0.21168351905263155,0.2050613526016733
46,1048,0.399474196368421,0.14950209481452648
47,1049,0.1443246904736842,0.17658678257892044
48,1050,0.3739832960526316,0.27001997857241844
