,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s,DF_AVG,DF_SD,AVG_1SD,AVG_2SD,OB1,OB2,DF_AVGs,DF_SDs,AVG_1SDs,AVG_2SDs,OB1s,OB2s
0,1001,15,2014,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,0.0,0.010977774,4.410540847,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
1,1001,16,2014,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.197207541,0.0,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,0.07040312,4.347273658,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
2,1001,17,2014,0.0,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.197207541,0.197207541,0.0,0.0,0.0,0.098603771,0.197207541,0.098603771,0.0,4.421014514,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
3,1001,18,2014,0.0,0.0,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.098603771,0.197207541,0.87990115,4.620772444,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
4,1001,19,2014,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.0,0.295811312,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.098603771,2.640455352,4.728712164,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
5,1001,20,2014,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.0,4.595013457,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
6,1001,21,2014,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,0.0,1.24515023,4.398338102,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
7,1001,22,2014,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.0,0.0,4.55581161,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
8,1001,23,2014,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.098603771,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.197207541,0.7617772970000001,4.655137837,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
9,1001,24,2014,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.098603771,0.098603771,0.197207541,0.197207541,0.394415082,0.295811312,0.0,0.197207541,0.21892889,4.49830919,0.032933659,0.017157056,0.100378638,0.014396151,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.4983434570000001,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.4930396138069848,0.8091392289410624,1.3021788427480472,2.1113180716891096,0,0
