,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,DF_AVG,DF_SD,AVG_1SD,AVG_2SD,OB1,OB2,DF_AVGs,DF_SDs,AVG_1SDs,AVG_2SDs,OB1s,OB2s
0,1001,15,2014,0.0,0.0,0.0,0.0,0.19720754100000001,0.19720754100000001,0.0,0.0,0.131471694,0.0,0.0,0.065735847,0.131471694,0.131471694,0.065735847,0.0,0.010977774,4.410540847,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
1,1001,16,2014,0.39441508200000003,0.0,0.0,0.0,0.0,0.19720754100000001,0.19720754100000001,0.0,0.131471694,0.131471694,0.0,0.0,0.065735847,0.131471694,0.131471694,0.065735847,0.07040312,4.347273658,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
2,1001,17,2014,0.0,0.39441508200000003,0.0,0.0,0.0,0.0,0.19720754100000001,0.19720754100000001,0.131471694,0.131471694,0.131471694,0.0,0.0,0.065735847,0.131471694,0.131471694,0.0,4.4210145139999995,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
3,1001,18,2014,0.0,0.0,0.39441508200000003,0.0,0.0,0.0,0.0,0.19720754100000001,0.19720754100000001,0.131471694,0.131471694,0.131471694,0.0,0.0,0.065735847,0.131471694,0.87990115,4.620772444,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
4,1001,19,2014,0.591622624,0.0,0.0,0.39441508200000003,0.0,0.0,0.0,0.0,0.262943388,0.19720754100000001,0.131471694,0.131471694,0.131471694,0.0,0.0,0.065735847,2.640455352,4.728712164,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
5,1001,20,2014,0.19720754100000001,0.591622624,0.0,0.0,0.39441508200000003,0.0,0.0,0.0,0.328679235,0.262943388,0.19720754100000001,0.131471694,0.131471694,0.131471694,0.0,0.0,0.0,4.595013457,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
6,1001,21,2014,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.0,0.39441508200000003,0.0,0.0,0.19720754100000001,0.328679235,0.262943388,0.19720754100000001,0.131471694,0.131471694,0.131471694,0.0,1.24515023,4.398338102,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
7,1001,22,2014,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.0,0.39441508200000003,0.0,0.131471694,0.19720754100000001,0.328679235,0.262943388,0.19720754100000001,0.131471694,0.131471694,0.131471694,0.0,4.55581161,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
8,1001,23,2014,0.0,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.0,0.39441508200000003,0.131471694,0.131471694,0.19720754100000001,0.328679235,0.262943388,0.19720754100000001,0.131471694,0.131471694,0.7617772970000001,4.655137837,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
9,1001,24,2014,0.19720754100000001,0.0,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.0,0.065735847,0.131471694,0.131471694,0.19720754100000001,0.328679235,0.262943388,0.19720754100000001,0.131471694,0.21892889,4.49830919,33.527,17.465999999999998,102.188,14.656,4.417,309.777,20.277,5.019,507.328,0.4936348647065249,0.8374962001291208,1.3311310648356458,2.1686272649647664,0,0,0.49369989021356714,0.7891664567775526,1.2828663469911197,2.072032803768672,0,0
