,addrcode,Week,Year,predicted,actual,different
0,8001,7,2017,0.5926188392087575,0.541077079,0.05154176020875745
1,8001,8,2017,0.4170937393118449,0.578392739,0.1612989996881551
2,8001,9,2017,0.492938036626576,0.559734909,0.06679687237342402
3,8001,10,2017,0.30003845663807305,0.615708401,0.31566994436192697
4,8001,11,2017,0.5143088385710755,0.485103588,0.02920525057107548
5,8001,12,2017,0.4840505836962475,0.59705057,0.11299998630375246
6,8001,13,2017,0.4674903276692979,0.783628874,0.31613854633070215
7,8001,14,2017,0.4646575559845171,0.634366231,0.16970867501548292
8,8001,15,2017,0.4302941567112459,0.57839274,0.14809858328875408
9,8001,16,2017,0.4912144819131674,0.653024061,0.16180957908683258
10,8001,17,2017,0.5707835395606212,0.708997552,0.1382140124393788
11,8001,18,2017,0.2666033919157146,0.6530240620000001,0.3864206700842855
12,8001,19,2017,0.4776933065028691,0.690339722,0.21264641549713093
13,8001,20,2017,0.5099524387693739,0.764971043,0.25501860423062606
14,8001,21,2017,0.5159964539417328,0.59705057,0.08105411605826718
15,8001,22,2017,0.5322020237509606,0.578392739,0.046190715249039394
16,8001,23,2017,0.3845152317154821,0.615708401,0.23119316928451794
17,8001,24,2017,0.4458063428886271,0.597050571,0.15124422811137295
18,8001,25,2017,0.4722658241611384,0.57839274,0.10612691583886158
19,8001,26,2017,0.4380667489681624,0.373156607,0.06491014196816242
20,8001,27,2017,0.3839639568600057,0.5037614189999999,0.11979746213999426
21,8001,28,2017,0.40454270498185096,0.708997552,0.30445484701814907
22,8001,29,2017,0.4364285585845472,0.858260195,0.42183163641545274
23,8001,30,2017,0.3559495200222705,0.858260195,0.5023106749777295
24,8001,31,2017,0.4528121565075819,0.597050571,0.14423841449241814
25,8001,32,2017,0.4805751939814934,0.6530240620000001,0.17244886801850667
26,8001,33,2017,0.5656453408196023,0.746313213,0.1806678721803977
27,8001,34,2017,0.5278043976695431,0.690339722,0.16253532433045692
28,8001,35,2017,0.3961002243251387,0.54107708,0.1449768556748613
29,8001,36,2017,0.5883999355075795,0.429130098,0.1592698375075795
30,8001,37,2017,0.4501514454026248,0.485103589,0.034952143597375196
31,8001,38,2017,0.4551433306711729,0.55973491,0.10459157932882707
32,8001,39,2017,0.30513763929393434,0.597050571,0.2919129317060657
33,8001,40,2017,0.3012357656491421,0.54107708,0.23984131435085787
34,8001,41,2017,0.37570021273216303,0.615708401,0.24000818826783699
35,8001,42,2017,0.3223122488919189,0.690339722,0.36802747310808115
36,8001,43,2017,0.3403118057109873,0.615708401,0.2753965952890127
37,8001,44,2017,0.3944327429257465,0.764971043,0.3705383000742535
38,8001,45,2017,0.3760565985457398,0.690339722,0.31428312345426024
39,8001,46,2017,0.3996281451105557,0.466445758,0.06681761288944427
40,8002,7,2017,0.31900382488145324,0.26741543,0.051588394881453226
41,8002,8,2017,0.30183895020241075,0.133707715,0.16813123520241074
42,8002,9,2017,0.32894170615403,0.133707715,0.19523399115403
43,8002,10,2017,0.2947772258238909,0.401123145,0.10634591917610914
44,8002,11,2017,0.36719860925831904,0.26741543,0.09978317925831903
45,8002,12,2017,0.2593736556298871,0.0,0.2593736556298871
46,8002,13,2017,0.2766025048405154,0.26741543,0.009187074840515397
47,8002,14,2017,0.3747754975457826,0.401123145,0.026347647454217415
48,8002,15,2017,0.2754448868422638,0.26741543,0.008029456842263805
49,8002,16,2017,0.219550340791346,0.26741543,0.04786508920865401
50,8002,17,2017,0.3659918304471905,0.668538575,0.3025467445528095
51,8002,18,2017,0.2963499805180969,0.668538575,0.3721885944819031
52,8002,19,2017,0.2890095684002444,0.668538575,0.37952900659975564
53,8002,20,2017,0.349065670850339,0.53483086,0.185765189149661
54,8002,21,2017,0.5273037165226258,0.133707715,0.39359600152262575
55,8002,22,2017,0.4898518581558061,0.26741543,0.2224364281558061
56,8002,23,2017,0.5515156157245491,0.53483086,0.016684755724549083
57,8002,24,2017,0.4840563845480411,0.80224629,0.3181899054519589
58,8002,25,2017,0.3221203585691672,0.668538575,0.3464182164308328
59,8002,26,2017,0.3978702856488848,0.401123145,0.0032528593511151893
60,8002,27,2017,0.3890443243010865,0.401123145,0.012078820698913528
61,8002,28,2017,0.5497112986716215,0.401123145,0.14858815367162148
62,8002,29,2017,0.5224545192434451,0.26741543,0.2550390892434451
63,8002,30,2017,0.4799429435117432,0.401123145,0.0788197985117432
64,8002,31,2017,0.490659426817968,0.401123145,0.08953628181796797
65,8002,32,2017,0.4130740453280881,0.935954005,0.5228799596719119
66,8002,33,2017,0.3392108682856313,1.06966172,0.7304508517143687
67,8002,34,2017,0.4146144428106066,0.53483086,0.12021641718939341
68,8002,35,2017,0.3440469365965272,0.53483086,0.19078392340347283
69,8002,36,2017,0.7025144401787722,0.401123145,0.30139129517877217
70,8002,37,2017,0.6700457601937251,0.133707715,0.5363380451937251
71,8002,38,2017,0.526117613800415,0.26741543,0.258702183800415
72,8002,39,2017,0.6158288532213969,0.53483086,0.08099799322139689
73,8002,40,2017,0.4037802748569376,0.668538575,0.2647583001430624
74,8002,41,2017,0.2880916128158177,0.401123145,0.11303153218418233
75,8002,42,2017,0.35053529143577244,0.401123145,0.05058785356422757
76,8002,43,2017,0.40280322127166135,1.33707715,0.9342739287283387
77,8002,44,2017,0.4853425332250841,1.203369435,0.7180269017749159
78,8002,45,2017,0.3966397617027762,0.53483086,0.1381910982972238
79,8002,46,2017,0.4547088379266233,0.401123145,0.053585692926623296
80,8003,7,2017,0.21528964513434196,0.0,0.21528964513434196
