,addrcode,land_area,image_area,area/image,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,bin_ai,bowl_ai,bucket_ai,misc_short_ai,jar_ai,pottedplant_ai,tire_ai,misc_tall_ai,total_ai
42,101002,336.68,69.66,4.83,161,7,417,7,45,369,194,0,1200,777.63,33.81,2014.11,33.81,217.35,1782.27,937.02,0.0,5796.0
43,101102,149.9,16.66,9.0,14,2,87,0,4,59,33,0,199,126.0,18.0,783.0,0.0,36.0,531.0,297.0,0.0,1791.0
44,101103,163.3,88.07,1.85,83,3,452,14,24,360,408,1,1345,153.55,5.55,836.2,25.9,44.4,666.0,754.8,1.85,2488.25
45,101104,305.59,141.85,2.15,114,22,1195,18,74,899,211,3,2536,245.1,47.3,2569.25,38.7,159.1,1932.85,453.65,6.45,5452.4
46,101105,258.47,87.09,2.97,77,9,485,13,37,518,130,3,1272,228.69,26.73,1440.45,38.61,109.89,1538.46,386.1,8.91,3777.84
47,101106,215.2,29.43,7.31,32,3,102,2,8,75,43,0,265,233.92,21.93,745.62,14.62,58.48,548.25,314.33,0.0,1937.15
48,101203,67.96,74.88,0.91,209,34,558,23,27,1141,156,5,2153,190.19,30.94,507.78,20.93,24.57,1038.31,141.96,4.55,1959.23
49,101204,48.15,29.01,1.66,35,11,165,5,7,266,57,1,547,58.1,18.26,273.9,8.3,11.62,441.56,94.62,1.66,908.02
50,101301,4.62,5.65,0.82,10,5,51,4,2,85,15,2,174,8.2,4.1,41.82,3.28,1.64,69.7,12.3,1.64,142.68
51,101302,4.62,6.07,0.76,25,10,80,8,0,179,22,2,326,19.0,7.6,60.8,6.08,0.0,136.04,16.72,1.52,247.76
52,101303,3.69,3.81,0.97,23,10,32,8,1,94,12,3,183,22.31,9.7,31.04,7.76,0.97,91.18,11.64,2.91,177.51
53,101401,85.59,137.12,0.62,270,50,621,38,23,1672,213,17,2904,167.4,31.0,385.02,23.56,14.26,1036.64,132.06,10.54,1800.48
54,101501,6.97,8.33,0.84,7,3,67,1,1,118,15,7,219,5.88,2.52,56.28,0.84,0.84,99.12,12.6,5.88,183.96
55,101502,6.04,4.45,1.36,6,4,48,1,3,74,10,0,146,8.16,5.44,65.28,1.36,4.08,100.64,13.6,0.0,198.56
56,101503,9.53,9.1,1.05,18,19,158,5,2,241,36,1,480,18.9,19.95,165.9,5.25,2.1,253.05,37.8,1.05,504.0
57,101504,12.85,17.78,0.72,32,15,204,10,9,327,33,1,631,23.04,10.8,146.88,7.2,6.48,235.44,23.76,0.72,454.32
58,101505,13.94,13.83,1.01,25,12,108,8,12,341,21,0,527,25.25,12.12,109.08,8.08,12.12,344.41,21.21,0.0,532.27
59,101506,15.98,18.35,0.87,29,11,120,11,7,316,50,0,544,25.23,9.57,104.4,9.57,6.09,274.92,43.5,0.0,473.28
60,101507,13.27,10.09,1.32,25,19,136,13,12,235,30,1,471,33.0,25.08,179.52,17.16,15.84,310.2,39.6,1.32,621.72
61,101601,8.15,5.29,1.54,12,3,19,0,4,150,6,5,199,18.48,4.62,29.26,0.0,6.16,231.0,9.24,7.7,306.46
62,101602,50.34,32.46,1.55,47,20,253,13,18,648,48,3,1050,72.85,31.0,392.15,20.15,27.9,1004.4,74.4,4.65,1627.5
63,101701,44.92,48.91,0.92,197,34,628,26,24,1210,189,6,2314,181.24,31.28,577.76,23.92,22.08,1113.2,173.88,5.52,2128.88
64,101702,56.76,92.31,0.61,153,23,364,23,25,959,204,3,1754,93.33,14.03,222.04,14.03,15.25,584.99,124.44,1.83,1069.94
65,101704,49.88,67.26,0.74,308,15,826,13,31,1716,156,14,3079,227.92,11.1,611.24,9.62,22.94,1269.84,115.44,10.36,2278.46
66,101801,8.48,9.17,0.92,6,14,111,2,14,267,28,1,443,5.52,12.88,102.12,1.84,12.88,245.64,25.76,0.92,407.56
67,101802,9.72,7.97,1.22,19,12,119,8,5,200,36,1,400,23.18,14.64,145.18,9.76,6.1,244.0,43.92,1.22,488.0
68,101803,21.21,14.4,1.47,48,14,193,6,13,372,37,0,683,70.56,20.58,283.71,8.82,19.11,546.84,54.39,0.0,1004.01
69,101804,15.99,16.66,0.96,31,13,87,5,4,185,29,1,355,29.76,12.48,83.52,4.8,3.84,177.6,27.84,0.96,340.8
70,101901,11.54,4.66,2.48,24,5,183,6,7,383,37,1,646,59.52,12.4,453.84,14.88,17.36,949.84,91.76,2.48,1602.08
71,101902,58.03,68.95,0.84,69,3,319,9,8,603,113,2,1126,57.96,2.52,267.96,7.56,6.72,506.52,94.92,1.68,945.84
72,101904,47.51,33.8,1.41,51,9,190,4,15,379,56,1,705,71.91,12.69,267.9,5.64,21.15,534.39,78.96,1.41,994.05
73,101905,91.4,35.92,2.54,78,10,196,7,8,382,52,0,733,198.12,25.4,497.84,17.78,20.32,970.28,132.08,0.0,1861.82
74,101907,39.12,18.21,2.15,24,5,87,0,12,101,34,0,263,51.6,10.75,187.05,0.0,25.8,217.15,73.1,0.0,565.45
75,102004,13.08,11.15,1.17,28,3,53,6,5,213,19,0,327,32.76,3.51,62.01,7.02,5.85,249.21,22.23,0.0,382.59
76,102005,21.41,17.64,1.21,57,10,188,14,5,359,48,3,684,68.97,12.1,227.48,16.94,6.05,434.39,58.08,3.63,827.64
77,102006,15.24,6.92,2.2,18,1,50,1,4,168,9,0,251,39.6,2.2,110.0,2.2,8.8,369.6,19.8,0.0,552.2
78,102007,36.72,29.5,1.24,113,12,418,8,23,962,77,3,1616,140.12,14.88,518.32,9.92,28.52,1192.88,95.48,3.72,2003.84
79,102009,28.02,36.77,0.76,72,7,227,9,12,539,73,2,941,54.72,5.32,172.52,6.84,9.12,409.64,55.48,1.52,715.16
80,102105,677.63,93.23,7.27,255,16,824,16,26,853,184,5,2179,1853.85,116.32,5990.48,116.32,189.02,6201.31,1337.68,36.35,15841.33
81,102107,456.7,183.21,2.49,355,55,1744,43,118,2368,390,12,5085,883.95,136.95,4342.56,107.07,293.82,5896.32,971.1,29.88,12661.65
82,102201,57.8,38.96,1.48,122,26,711,20,43,1068,123,7,2120,180.56,38.48,1052.28,29.6,63.64,1580.64,182.04,10.36,3137.6
83,102202,30.9,18.42,1.68,27,17,255,3,11,452,47,2,814,45.36,28.56,428.4,5.04,18.48,759.36,78.96,3.36,1367.52
84,102206,13.57,7.48,1.81,18,1,74,2,5,155,20,1,276,32.58,1.81,133.94,3.62,9.05,280.55,36.2,1.81,499.56
85,102207,27.1,20.04,1.35,44,12,381,7,29,640,72,3,1188,59.4,16.2,514.35,9.45,39.15,864.0,97.2,4.05,1603.8
86,102208,25.04,17.08,1.47,41,9,250,3,16,362,32,0,713,60.27,13.23,367.5,4.41,23.52,532.14,47.04,0.0,1048.11
87,102209,16.62,14.54,1.14,40,15,155,7,6,310,50,0,583,45.6,17.1,176.7,7.98,6.84,353.4,57.0,0.0,664.62
88,102210,7.11,4.66,1.53,18,5,60,1,5,166,18,1,274,27.54,7.65,91.8,1.53,7.65,253.98,27.54,1.53,419.22
89,102302,179.83,101.62,1.77,289,28,1353,24,136,2298,250,5,4383,511.53,49.56,2394.81,42.48,240.72,4067.46,442.5,8.85,7757.91
90,102303,156.35,100.14,1.56,269,49,1378,28,142,2196,293,7,4362,419.64,76.44,2149.68,43.68,221.52,3425.76,457.08,10.92,6804.72
91,102401,47.44,32.11,1.48,101,9,294,5,11,485,100,3,1008,149.48,13.32,435.12,7.4,16.28,717.8,148.0,4.44,1491.84
92,102402,67.07,46.51,1.44,128,21,611,20,41,934,95,4,1854,184.32,30.24,879.84,28.8,59.04,1344.96,136.8,5.76,2669.76
93,102501,30.91,48.77,0.63,113,10,341,14,30,803,105,2,1418,71.19,6.3,214.83,8.82,18.9,505.89,66.15,1.26,893.34
94,102502,28.77,15.24,1.89,35,5,79,4,8,189,26,0,346,66.15,9.45,149.31,7.56,15.12,357.21,49.14,0.0,653.94
95,102503,22.1,23.01,0.96,36,11,218,11,14,461,43,2,796,34.56,10.56,209.28,10.56,13.44,442.56,41.28,1.92,764.16
96,102504,27.88,26.32,1.06,48,14,185,12,18,468,48,3,796,50.88,14.84,196.1,12.72,19.08,496.08,50.88,3.18,843.76
