addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
801701,96.36,107.21,-0.11,0.39,0.40,-0.04,0.29,0.28,0.02
801702,122.38,139.66,-0.14,0.22,0.28,-0.23,0.19,0.21,-0.13
801703,146.82,159.55,-0.09,0.20,0.35,-0.76,0.17,0.25,-0.49
801704,150.42,159.65,-0.06,0.27,0.39,-0.42,0.20,0.30,-0.47
801801,187.31,189.92,-0.01,0.23,0.29,-0.23,0.17,0.23,-0.34
801802,200.00,200.00,0.00,0.10,0.13,-0.28,0.10,0.10,0.03
801803,178.48,170.94,0.04,0.20,0.28,-0.38,0.16,0.21,-0.28
801901,197.85,200.00,-0.01,0.47,0.80,-0.69,0.27,0.51,-0.88
801902,189.56,185.48,0.02,0.44,0.58,-0.30,0.32,0.47,-0.45
801903,191.67,182.26,0.05,0.41,0.54,-0.34,0.31,0.41,-0.31
801904,170.02,139.13,0.18,0.26,0.26,-0.01,0.19,0.20,-0.05
801905,159.51,171.12,-0.07,0.21,0.34,-0.62,0.19,0.29,-0.51
801906,162.94,161.14,0.01,0.45,0.55,-0.22,0.29,0.38,-0.33
802001,93.57,81.17,0.13,0.84,0.71,0.16,0.68,0.58,0.14
802002,75.14,71.52,0.05,0.54,0.49,0.09,0.38,0.36,0.06
802003,96.15,72.37,0.25,0.97,0.67,0.31,0.68,0.49,0.27
802004,76.61,79.46,-0.04,0.48,0.69,-0.43,0.40,0.55,-0.37
802101,159.54,157.82,0.01,0.94,1.31,-0.39,0.62,0.75,-0.21
802102,112.66,115.17,-0.02,0.28,0.44,-0.60,0.23,0.33,-0.39
802103,162.00,138.91,0.14,0.50,0.58,-0.17,0.34,0.40,-0.16
802104,131.17,122.94,0.06,1.17,0.79,0.32,0.74,0.53,0.29
802201,86.45,115.28,-0.33,0.40,0.51,-0.27,0.30,0.40,-0.32
802202,128.48,134.78,-0.05,0.40,0.47,-0.17,0.31,0.37,-0.18
802203,168.69,153.09,0.09,0.37,0.38,-0.03,0.31,0.31,-0.02
802301,140.51,138.66,0.01,0.24,0.44,-0.81,0.22,0.38,-0.68
802302,106.86,110.17,-0.03,0.43,0.66,-0.51,0.34,0.51,-0.50
802303,130.78,133.74,-0.02,0.26,0.39,-0.52,0.21,0.28,-0.35
802304,143.69,147.13,-0.02,0.19,0.33,-0.77,0.17,0.25,-0.48
,144.85,144.34,0%,0.45,0.55,-36%,0.33,0.40,-32%
