addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
103103,72.72,68.69,0.06,0.19,0.20,-0.04,0.15,0.15,0.01
103201,68.61,51.39,0.25,0.22,0.21,0.06,0.16,0.14,0.11
103203,106.09,90.88,0.14,0.12,0.15,-0.20,0.10,0.12,-0.18
103301,87.71,83.30,0.05,0.52,0.46,0.13,0.38,0.34,0.09
103302,86.49,95.10,-0.10,0.25,0.26,-0.04,0.21,0.21,0.01
103303,84.61,93.99,-0.11,0.47,0.50,-0.07,0.30,0.35,-0.16
103401,82.13,67.17,0.18,0.43,0.36,0.16,0.31,0.27,0.13
103501,112.97,95.64,0.15,0.18,0.28,-0.57,0.15,0.18,-0.19
103502,101.64,76.20,0.25,0.14,0.16,-0.11,0.11,0.13,-0.09
103503,86.50,71.86,0.17,0.32,0.33,-0.05,0.25,0.25,-0.01
103504,70.15,67.76,0.03,0.85,0.61,0.28,0.53,0.46,0.12
103602,72.34,59.93,0.17,0.14,0.13,0.00,0.10,0.10,-0.01
103604,116.99,69.04,0.41,0.13,0.11,0.16,0.11,0.08,0.22
103605,125.08,146.86,-0.17,0.10,0.17,-0.74,0.08,0.14,-0.88
103701,120.85,101.40,0.16,0.49,0.44,0.09,0.33,0.29,0.10
103702,156.77,142.38,0.09,0.47,0.54,-0.16,0.40,0.41,-0.02
103703,114.09,89.40,0.22,0.51,0.33,0.36,0.36,0.23,0.35
103704,80.61,74.95,0.07,0.31,0.31,0.00,0.24,0.23,0.05
103801,77.77,59.44,0.24,0.47,0.41,0.13,0.32,0.29,0.08
103802,111.75,88.52,0.21,0.31,0.30,0.04,0.24,0.22,0.10
103901,105.48,100.61,0.05,1.06,0.82,0.22,0.80,0.65,0.18
103902,94.00,78.48,0.17,0.45,0.39,0.13,0.36,0.31,0.13
103903,80.38,78.18,0.03,0.65,0.51,0.22,0.49,0.41,0.16
104001,83.76,96.76,-0.16,0.56,0.66,-0.17,0.40,0.47,-0.17
