X,Y,SCODE_BMA,BMA_CODE
100.50444533,13.74060069,101301,101301.0
100.52614196,13.70852864,102801,102801.0
100.51355347,13.75333011,100803,100803.0
100.4970814,13.75396501,100105,100105.0
100.50676795,13.75165851,100804,100804.0
100.50022424,13.75341578,100106,100106.0
100.59631981,13.71912084,103903,103903.0
100.59528136,13.70700531,103303,103303.0
100.44299932,13.71403865,102201,102201.0
100.47338269,13.7150621,101505,101505.0
100.49743581,13.6959964,103101,103101.0
100.65581988,13.68686178,103202,103202.0
100.46779648,13.69291431,103504,103504.0
100.35874757,13.67963586,102301,102301.0
100.53344263,13.67915467,101202,101202.0
100.49204103,13.67491326,102402,102402.0
100.38995587,13.65575807,105001,105001.0
100.46801008,13.67105796,103503,103503.0
100.51012889,13.67154448,102401,102401.0
100.61844231,13.66770057,104701,104701.0
100.48461242,13.71352281,101504,101504.0
100.54413965,13.69703524,101201,101201.0
100.50462847,13.72356477,101804,101804.0
100.48612932,13.72268203,101503,101503.0
100.54135823,13.71758905,102803,102803.0
100.46209542,13.70928171,103502,103502.0
100.49760773,13.61755719,104902,104902.0
100.68653403,13.81788103,104301,104301.0
100.76011856,13.89881937,104602,104602.0
100.61377711,13.76854816,104504,104504.0
100.4931066,13.64953556,104901,104901.0
