X,Y,addrcode,TB_EN,N_TB_IDN
98.96582188,8.34342826,810205,Na Khao,810205
98.83086847,8.45050342,810604,Khiri Wong,810604
100.0505846,8.12430549,802303,Suan Luang,802303
100.2220574,8.15728438,800610,Suea Hueng,800610
99.6322271,8.14918059,800904,Khuan Krot,800904
99.68851892,8.16828189,800901,Pak Phraek,800901
100.1169938,8.14678873,800607,Thong Lamchiak,800607
100.1971683,8.15574994,800604,Ban Klang,800604
100.2913674,8.11167234,801611,Ko Phet,801611
100.2472147,8.14229051,801608,Tha Som,801608
100.1629479,8.20269545,800606,Sai Mak,800606
99.50025712,8.17297579,800913,Khao Khao,800913
100.1169325,8.19868237,800601,Chian Yai,800601
99.63052771,8.18833115,800903,Nong Hong,800903
99.97747284,8.15944115,801305,Khuan Phang,801305
99.91920164,8.18264107,801306,Khuan Chum,801306
99.67263358,8.14759861,800902,Chamai,800902
100.1931242,8.18449328,800605,Ban Noen,800605
100.1905284,8.08368049,800612,Khao Phrabat,800612
100.2465722,8.10654373,801607,Bang Nop,801607
99.84273519,8.06783688,801906,Sam Tambon,801906
100.0941362,8.07477686,800613,Mae Chao Yu Hua,800613
100.2437863,8.08245875,801606,Ban Ram,801606
99.99976071,8.07002804,800706,Ban Tun,800706
99.59362938,8.04748477,800907,Khao Ro,800907
100.2863308,8.03676492,801601,Hua Sai,801601
