addrcode,SMAPE without ST,SMAPE with ST,% improve SMAPE,RMSE without ST,RMSE with ST,% improvve RMSE,MAE without ST,MAE with ST,% improve MAE
1001,72.2424841877538,77.39773301100628,-0.07136034815544688,0.20607481907207145,0.20826336478087532,-0.010620151062893586,0.15716540868336623,0.16923790528620447,-0.07681395482615473
1002,88.17265583965639,95.58429097348059,-0.08405820447670763,0.620096101411103,0.5988843461459941,0.03420720629728053,0.41455040268334437,0.4251379908357039,-0.02553992972585993
1003,72.26076673257839,72.43117310344255,-0.002358214264384911,0.29228624588931984,0.3041164776956751,-0.040474815263237,0.18932631761371918,0.20654322635031394,-0.09093774681511668
1004,83.11991674831201,84.24096115477597,-0.013487073258969933,0.9791939309322302,0.8554612984686581,0.12636172320407849,0.6557157923938639,0.6257256210749876,0.04573653962090682
1005,63.132544218136076,57.468080081563414,0.08972336228048658,0.19261548598357417,0.16988596001698034,0.11800466535973207,0.13171821925688146,0.11840838352731055,0.10104779585285469
1006,78.67293489101898,77.7104346500388,0.012234197723950072,0.5098918740606297,0.45054891708509825,0.1163834138068166,0.36382988396406524,0.3574735520895347,0.017470615127256436
1007,73.60308867823703,70.7037742775932,0.03939120562342788,0.2161664500083705,0.190219637772439,0.1200316341177217,0.17484565964782836,0.15713057555752993,0.10131840919574382
1008,62.0664470511313,62.01112173868597,0.0008913884244050332,0.35034726388743814,0.4098995616446757,-0.16998077021195443,0.23178865897547007,0.252197383727745,-0.08804884951008207
1010,74.18132315002086,75.57491377638028,-0.018786273514441003,0.3601047805593046,0.36922297357508554,-0.025320944091935707,0.2324533439298563,0.2677279789934005,-0.15174931221548033
1011,56.79083800424071,47.77770992668173,0.1587074322954338,0.17861364796532558,0.17850763515264131,0.0005935314232250046,0.11997135488543048,0.11548065274789418,0.03743145304831145
1012,66.9343751811325,57.43372311878896,0.14193980352597035,0.4448377792503399,0.3662523721756558,0.1766608205065668,0.2797359622614346,0.23142282737340839,0.17270977423658496
1013,108.67480394280247,106.6885753586565,0.01827680853412319,0.5884625694216212,0.6869752227596881,-0.16740683002980372,0.40479310755496917,0.4401858897674318,-0.08743425110729294
