addrcode,SMAPE without ST,SMAPE with ST,% improve SMAPE,RMSE without ST,RMSE with ST,% improvve RMSE,MAE without ST,MAE with ST,% improve MAE
8001,31.820383715187166,21.522620710354026,0.32362158473652364,0.21461748684756646,0.1475829844055362,0.3123440844764061,0.1787933543587163,0.11786472425582879,0.340776816461787
8002,50.00607936177914,54.048389055052056,-0.08083636519527959,0.32523327926032625,0.369781385575642,-0.13697277971255253,0.25779370164830034,0.3011528638096671,-0.1681932564067072
8003,75.57328592482321,80.28655181733525,-0.062366824928064904,0.49509125287764777,0.505933980447835,-0.021900462807947847,0.406302893725119,0.4342059819748612,-0.06867558336569417
8004,48.09243884296079,54.91509860540217,-0.14186553908650454,0.3053685690807544,0.32992041138071754,-0.08040068555146698,0.2342280992635653,0.25835897677285175,-0.10302298308851987
8005,52.30997241591834,55.77708351541779,-0.06628011714348345,0.3944755712174654,0.427694917021786,-0.08421141441482964,0.30750245311188956,0.33462214752877145,-0.08819342461314923
8006,51.37033496092355,47.758967839873975,0.0703006340876826,0.18006182431323128,0.1682476702292595,0.06561165382518935,0.13580238588296759,0.12425026037441733,0.08506570362103726
8007,54.00003401595188,58.258903250640834,-0.07886789910967204,0.15118266736265026,0.14976791986772964,0.009357868329753653,0.1144269574800612,0.11921451365660524,-0.04183940814277326
8008,44.923278401678346,46.2258024949336,-0.028994413132737772,0.13876512774464264,0.1370477132733019,0.0123764125703192,0.11338876774359967,0.11070174866895593,0.023697400792993498
8009,62.01366570325365,62.66606605671005,-0.01052026752584263,0.2648778366487656,0.25803011614113797,0.025852372528653092,0.21591225937430952,0.21036179127996218,0.025707053922885144
8010,53.80869099412039,50.729905160579385,0.057217259454934895,0.38682382924309056,0.3786668205842868,0.0210871410759901,0.28833331757638786,0.27214932552615706,0.05612945526471526
8011,67.08071065079676,72.52902129041003,-0.08122022838988148,0.1454268796817769,0.1458387797992555,-0.0028323520272175466,0.12049055435325928,0.12039349497020067,0.0008055352021540741
8012,58.04512894566831,58.8239184767582,-0.013416966164703644,0.20131136790677034,0.20849763997687829,-0.03569729888992651,0.1641978629894322,0.16720402296344208,-0.01830815529068949
8013,62.12281403988609,64.64748141684784,-0.04063993906233519,0.1859353836143695,0.18112939652712254,0.025847619715108135,0.14316413488148727,0.14549262871254767,-0.016264505303566098
8014,89.62688117992192,94.46165294096026,-0.05394332255445499,0.32503854488413086,0.40541571351927475,-0.2472850371139724,0.21096260961387941,0.25985946562499734,-0.23177972675164027
8015,82.32232602829309,88.47179241792901,-0.07469986194902253,0.5878690766955256,0.5023968017221935,0.14539338495874085,0.44492013187696305,0.4108492698347679,0.07657747897012902
8016,64.84405916209217,67.74665923727616,-0.04476277569126729,0.24043267221066106,0.23219530760325197,0.034260587513629266,0.18940663935897123,0.1923756096832517,-0.015675112204771052
8017,98.91049397445144,104.29876677556351,-0.05447625003777512,0.3088514579998882,0.3476531292392115,-0.12563214527333494,0.2440620720479331,0.28235744335026813,-0.1569083265621622
8018,142.32804919503386,136.45516890406515,0.04126298592711708,0.12324718585063783,0.1194726249798945,0.030625939608208915,0.10404800194568103,0.10094505414983979,0.029822271815091304
8019,88.52078863946774,90.05961295368502,-0.017383761914782376,0.3236347268270643,0.3045062690127936,0.05910508430849596,0.23172384265148216,0.22033221164156214,0.0491603750376835
8020,57.233091208756825,57.306972267469924,-0.0012908801036732131,0.47836331103467983,0.5022439786997752,-0.049921612118292484,0.3783997408702622,0.3823365136257839,-0.010403740622199559
8021,60.628408932320255,64.98067693731537,-0.07178595120075748,0.30616045615313503,0.3383427158341079,-0.10511566413683415,0.23090016892269777,0.2581012303523526,-0.11780442412219015
8022,65.31694288206418,65.30762425350612,0.00014266786145959894,0.3400817021367222,0.3530875897981402,-0.038243420859465416,0.27177785737915294,0.28074654446055136,-0.033000065450094214
8023,87.98638274578707,91.6015597525654,-0.04108791490182525,0.28598467533192234,0.2846251228237997,0.004753934827258503,0.20683210338937164,0.21204297457091603,-0.02519372523004649
