,addrcode,Week,Year,predicted,actual
0,8001,6,2017,4.043760349243063,6.035913959
1,8001,7,2017,5.424842532571895,9.347126811
2,8001,8,2017,9.826561246813956,10.572250752
3,8001,9,2017,6.294948273811223,5.858679559
4,8001,10,2017,7.177885526126709,8.532258291
5,8001,11,2017,7.839215945697682,6.4809901110000006
6,8001,12,2017,5.4415313355222645,6.694784391000001
7,8001,13,2017,6.814899311954044,6.6588129989999985
8,8001,14,2017,5.779672738421788,5.120440411000001
9,8001,15,2017,5.903882284271355,10.956459150999999
10,8001,16,2017,5.883269096781327,9.001490526
11,8001,17,2017,5.0793196086745604,6.322977316
12,8001,18,2017,7.989148885573834,6.678640328999999
13,8001,19,2017,6.994975388979335,8.868935363
14,8001,20,2017,5.68560872067058,9.70189319
15,8001,21,2017,5.900396069133557,5.020391977
16,8001,22,2017,7.021917207907827,11.426090025
17,8001,23,2017,7.413686745531018,9.833113181
18,8001,24,2017,5.020478132630282,5.276606242
19,8001,25,2017,8.319220325161119,10.577523926
20,8001,26,2017,7.4955211690799155,12.816674211000002
21,8001,27,2017,5.155396444533047,8.193598052999999
22,8001,28,2017,7.883934821048023,11.163674461
23,8001,29,2017,9.022290301294138,2.931492022
24,8001,30,2017,6.6426580703225335,11.151731184
25,8001,31,2017,8.168194737748287,6.262174793
26,8001,32,2017,3.9744334821681884,18.125074939
27,8001,33,2017,8.18153186916529,9.363848422
28,8001,34,2017,5.688856004089623,9.658700201
29,8001,35,2017,11.757364366343857,10.875569159000001
30,8001,36,2017,7.273769919873637,14.924831043000006
31,8001,37,2017,7.389007070503049,9.518401737000001
32,8001,38,2017,8.005620595844597,6.891153224000001
33,8001,39,2017,10.091120922453722,6.722024968
34,8001,40,2017,7.346957480397315,7.836269078
35,8001,41,2017,5.988588259332965,9.9477006
36,8001,42,2017,5.884854119067151,6.705098286
37,8001,43,2017,6.47686519040935,5.924523175
38,8001,44,2017,7.560101378367514,9.949145821
39,8001,45,2017,5.876517603762317,8.047470778
40,8001,46,2017,5.49417071019601,6.8857500289999996
41,8001,47,2017,7.543808174024542,14.704867675
42,8001,48,2017,6.5848878109177145,5.559538565
43,8001,49,2017,5.953446384851866,7.380926899000001
44,8001,50,2017,9.923170874769884,11.973443452000005
45,8001,51,2017,5.2511339681957105,9.484542820999998
46,8001,52,2017,6.182321869139963,4.179881805
47,8002,6,2017,2.6277857830931928,1.77999288
48,8002,7,2017,1.7504627411146791,2.8176868980000003
49,8002,8,2017,2.631199787747659,1.090869423
50,8002,9,2017,2.6554989772580124,1.726817475
51,8002,10,2017,3.184076756805202,0.850557115
52,8002,11,2017,2.310986481757008,0.0
53,8002,12,2017,2.640230061612178,0.850557115
54,8002,13,2017,2.192218409893066,3.55998576
55,8002,14,2017,1.7598545529800718,0.0
56,8002,15,2017,2.20061745352209,0.0
57,8002,16,2017,3.588525822084903,1.9414265380000002
58,8002,17,2017,1.7617260060021693,1.930501931
59,8002,18,2017,1.7386091517578168,1.930501931
60,8002,19,2017,2.728070085162909,1.090869423
61,8002,20,2017,2.742501783955109,4.999425744
62,8002,21,2017,2.7532435112561218,1.090869423
63,8002,22,2017,2.3297559225589386,5.688549201
64,8002,23,2017,4.321198923056432,0.0
65,8002,24,2017,2.318814703333508,1.77999288
66,8002,25,2017,4.670995089156955,0.850557115
67,8002,26,2017,1.7598272079730157,3.427931705
68,8002,27,2017,2.661794560960917,4.35736747
69,8002,28,2017,2.1912466365689034,2.57737459
70,8002,29,2017,3.514364494316954,1.090869423
71,8002,30,2017,3.987926641569952,3.453634951
72,8002,31,2017,3.077695866567146,1.930501931
73,8002,32,2017,2.3190852319901274,0.850557115
74,8002,33,2017,3.5295478919680585,3.657319406
75,8002,34,2017,2.754838127113296,1.726817475
76,8002,35,2017,2.201394739095583,8.848696440000003
77,8002,36,2017,3.6350398642613815,3.657319406
78,8002,37,2017,2.644417269837025,2.630549995
79,8002,38,2017,6.282366726680429,2.57737459
80,8002,39,2017,3.6262111981499325,1.090869423
81,8002,40,2017,3.1054103348687767,0.0
82,8002,41,2017,3.079604725279014,2.57737459
83,8002,42,2017,2.3171801786700166,1.9414265380000002
84,8002,43,2017,1.7666394525160736,4.35736747
85,8002,44,2017,3.085252465177413,0.0
86,8002,45,2017,2.7529598267030715,3.9617317260000005
87,8002,46,2017,3.99002786826767,10.681864724
88,8002,47,2017,1.7583132695148005,3.453634951
89,8002,48,2017,3.7872645788561163,3.506810355
90,8002,49,2017,7.212394592888085,1.77999288
91,8002,50,2017,3.5059976318045436,5.791505792000001
92,8002,51,2017,3.539443378955542,0.0
93,8002,52,2017,2.657056349064035,3.453634951
94,8003,6,2017,1.157161005648034,0.0
95,8003,7,2017,2.2936285245040824,2.191780822
96,8003,8,2017,1.8204960168932822,1.312335958
97,8003,9,2017,1.1473621901293867,0.0
98,8003,10,2017,2.2639810770746966,0.0
99,8003,11,2017,1.8237861636437063,0.0
100,8003,12,2017,1.1573323168906486,2.670486315
101,8003,13,2017,1.1588112305296385,1.699235344
102,8003,14,2017,1.1601588141570436,1.699235344
103,8003,15,2017,2.5300676886344253,1.699235344
104,8003,16,2017,2.0355995565365093,2.670486315
105,8003,17,2017,2.0326768753297784,12.765501985
106,8003,18,2017,2.0193165492611933,2.795125755
107,8003,19,2017,2.516821104549076,3.937007874
108,8003,20,2017,7.689624640811164,9.947704665
109,8003,21,2017,2.5984902638256107,4.16782866
110,8003,22,2017,3.183589006032935,5.51299795
111,8003,23,2017,6.248281087542944,3.1965776889999997
112,8003,24,2017,3.292584236889829,7.874015748
113,8003,25,2017,3.9836408175434435,7.9883161110000005
114,8003,26,2017,2.7961600854642357,6.116342883
115,8003,27,2017,5.182215084324232,4.350728312
116,8003,28,2017,5.244144363686948,1.312335958
117,8003,29,2017,4.287368378650268,8.333550585000001
118,8003,30,2017,3.3826129206909816,0.0
119,8003,31,2017,1.8300265842613208,6.5425091339999994
120,8003,32,2017,5.420144172818226,9.200726945
121,8003,33,2017,1.15963714200914,5.854082937
122,8003,34,2017,4.510090024702073,1.254075746
123,8003,35,2017,5.872600014427027,0.971250971
124,8003,36,2017,4.160010711758907,1.254075746
125,8003,37,2017,1.8006495748619824,2.191780822
126,8003,38,2017,1.6572152417348005,0.0
127,8003,39,2017,1.8054164656412,0.0
128,8003,40,2017,2.2836731613369774,1.254075746
