,Week,Year,addrcode,predicted,actual
0,7,2017,800101,0.6686365690850522,3.434223179
1,8,2017,800101,0.6076093758727679,0.45789642399999997
2,9,2017,800101,0.727867669879598,0.6868446359999999
3,10,2017,800101,1.203142657068646,0.6868446359999999
4,11,2017,800101,0.41020501491713857,0.22894821199999998
5,12,2017,800101,0.4670307194171912,1.373689271
6,13,2017,800101,0.4672041757260581,1.14474106
7,14,2017,800101,0.3442679354460967,0.45789642399999997
8,15,2017,800101,0.6440505227354738,1.373689271
9,16,2017,800101,0.5791978703625553,1.373689271
10,17,2017,800101,0.4037965731282793,0.22894821199999998
11,18,2017,800101,0.6645920268033023,1.14474106
12,19,2017,800101,0.6713924421727984,1.373689271
13,20,2017,800101,0.3454870073799252,0.6868446359999999
14,21,2017,800101,0.5765632406882841,1.602637483
15,22,2017,800101,0.6380172237175732,1.831585695
16,23,2017,800101,0.458293197571251,1.373689271
17,24,2017,800101,0.6996895266081619,1.602637483
18,25,2017,800101,0.7534718354137417,1.14474106
19,26,2017,800101,0.6338568668982962,0.45789642399999997
20,27,2017,800101,0.7024581936527234,0.45789642399999997
21,28,2017,800101,0.5765544486590524,0.22894821199999998
22,29,2017,800101,0.39402476121746677,0.22894821199999998
23,30,2017,800101,0.4011499203070832,1.602637483
24,31,2017,800101,0.33830412776133834,1.373689271
25,32,2017,800101,0.3313272888395329,0.22894821199999998
26,33,2017,800101,0.6931383871915127,1.373689271
27,34,2017,800101,0.6300664687328568,0.6868446359999999
28,35,2017,800101,0.3270697807573528,0.45789642399999997
29,36,2017,800101,0.639050886736574,1.14474106
30,37,2017,800101,0.45887806064867,1.373689271
31,38,2017,800101,0.3960867633468792,0.6868446359999999
32,39,2017,800101,0.5698438274244002,0.6868446359999999
33,40,2017,800101,0.6313650600281273,0.9157928479999999
34,41,2017,800101,0.4590956665563384,1.14474106
35,42,2017,800101,0.46234616181709076,0.9157928479999999
36,43,2017,800101,0.5214938902234914,0.6868446359999999
37,44,2017,800101,0.5829434643831335,1.14474106
38,45,2017,800101,0.5219167126731628,0.9157928479999999
39,46,2017,800101,0.4560386785949715,1.14474106
40,47,2017,800101,0.5695217982399408,2.060533907
41,48,2017,800101,0.5200969180897186,1.14474106
42,49,2017,800101,0.5855625064080265,1.14474106
43,50,2017,800101,0.8241872787198639,1.602637483
44,51,2017,800101,0.5827459980957697,1.14474106
45,52,2017,800101,0.5806273909992896,0.6868446359999999
46,6,2017,800102,0.5251436407800434,0.5753739929999999
47,7,2017,800102,0.39767411430241295,0.5753739929999999
48,8,2017,800102,0.6949230041445331,0.0
49,9,2017,800102,0.3835858402953749,0.5753739929999999
50,10,2017,800102,0.37308844984601786,2.876869965
51,11,2017,800102,0.2173804064888516,1.726121979
52,12,2017,800102,0.3712566396707424,1.726121979
53,13,2017,800102,0.9764098458605079,0.5753739929999999
54,14,2017,800102,0.6644568455501567,1.1507479859999998
55,15,2017,800102,0.6626965592986063,2.3014959719999997
56,16,2017,800102,0.3606533048987961,1.1507479859999998
57,17,2017,800102,0.5250141424629615,0.5753739929999999
58,18,2017,800102,0.8509971115085211,0.5753739929999999
59,19,2017,800102,0.5490863147545226,1.726121979
60,20,2017,800102,0.3681650270457819,2.3014959719999997
61,21,2017,800102,0.3547410268357958,0.5753739929999999
62,22,2017,800102,0.6594858674886297,1.726121979
63,23,2017,800102,0.8143901196789194,1.1507479859999998
64,24,2017,800102,0.3608558019978929,0.5753739929999999
65,25,2017,800102,0.661861019961661,0.5753739929999999
66,26,2017,800102,0.5102396800614539,0.0
67,27,2017,800102,0.3621816279277894,1.1507479859999998
68,28,2017,800102,0.35758074780883,1.1507479859999998
69,29,2017,800102,0.20296512705789405,0.0
70,30,2017,800102,0.5100903872699412,0.0
71,31,2017,800102,0.5065534303959447,0.5753739929999999
72,32,2017,800102,0.1979680773058523,1.1507479859999998
73,33,2017,800102,0.19912457588705035,0.5753739929999999
74,34,2017,800102,0.348344091084112,0.0
75,35,2017,800102,0.5004619503609479,0.5753739929999999
76,36,2017,800102,0.35812821028812825,0.0
77,37,2017,800102,0.20701155905895363,0.0
78,38,2017,800102,0.3603333659243122,0.0
79,39,2017,800102,0.20216649294375966,0.0
80,40,2017,800102,0.20054708258956566,0.5753739929999999
81,41,2017,800102,0.2070455716187649,1.726121979
82,42,2017,800102,0.2099525332537553,0.5753739929999999
83,43,2017,800102,0.35594164758253477,0.5753739929999999
84,44,2017,800102,0.6606178777494089,1.1507479859999998
85,45,2017,800102,0.36054656925540884,2.3014959719999997
86,46,2017,800102,0.35707367855115213,1.1507479859999998
87,47,2017,800102,0.49583666909279756,0.0
88,48,2017,800102,0.8065801229034129,0.5753739929999999
89,49,2017,800102,0.5126827101144688,0.0
90,50,2017,800102,0.21284432868810166,1.1507479859999998
