,Week,Year,addrcode,predicted,actual
0,7,2017,800101,0.6382410879532406,3.434223179
1,8,2017,800101,0.5766066818070475,0.45789642399999997
2,9,2017,800101,0.6974177027330134,0.6868446359999999
3,10,2017,800101,1.173886175907234,0.6868446359999999
4,11,2017,800101,0.37598786643761517,0.22894821199999998
5,12,2017,800101,0.43262164037277306,1.373689271
6,13,2017,800101,0.43282205668096363,1.14474106
7,14,2017,800101,0.30890638380185587,0.45789642399999997
8,15,2017,800101,0.6098946421500976,1.373689271
9,16,2017,800101,0.5440224549389049,1.373689271
10,17,2017,800101,0.3686414251413078,0.22894821199999998
11,18,2017,800101,0.6333787470163227,1.14474106
12,19,2017,800101,0.6414188440298129,1.373689271
13,20,2017,800101,0.31033383116069235,0.6868446359999999
14,21,2017,800101,0.540977063405457,1.602637483
15,22,2017,800101,0.602922965339281,1.831585695
16,23,2017,800101,0.42230628940149295,1.373689271
17,24,2017,800101,0.6649425930255629,1.602637483
18,25,2017,800101,0.7181120438625489,1.14474106
19,26,2017,800101,0.5980230364101226,0.45789642399999997
20,27,2017,800101,0.668147888060192,0.45789642399999997
21,28,2017,800101,0.5408932782332293,0.22894821199999998
22,29,2017,800101,0.3572896115461154,0.22894821199999998
23,30,2017,800101,0.36555507777195706,1.602637483
24,31,2017,800101,0.30203614393850386,1.373689271
25,32,2017,800101,0.29397392633750974,0.22894821199999998
26,33,2017,800101,0.65749198675349,1.373689271
27,34,2017,800101,0.5936263155518672,0.6868446359999999
28,35,2017,800101,0.2889452228453929,0.45789642399999997
29,36,2017,800101,0.6040966188292617,1.14474106
30,37,2017,800101,0.4230701490616068,1.373689271
31,38,2017,800101,0.35967223353966304,0.6868446359999999
32,39,2017,800101,0.5330386935206571,0.6868446359999999
33,40,2017,800101,0.5950779661126478,0.9157928479999999
34,41,2017,800101,0.4233862773180207,1.14474106
35,42,2017,800101,0.42706893431220705,0.9157928479999999
36,43,2017,800101,0.486314039341717,0.6868446359999999
37,44,2017,800101,0.5482979278522825,1.14474106
38,45,2017,800101,0.4867525040908488,0.9157928479999999
39,46,2017,800101,0.41976510527691435,1.14474106
40,47,2017,800101,0.5323864129623598,2.060533907
41,48,2017,800101,0.4847252297074932,1.14474106
42,49,2017,800101,0.5511759666013473,1.14474106
43,50,2017,800101,0.7903162836637488,1.602637483
44,51,2017,800101,0.547752979045438,1.14474106
45,52,2017,800101,0.5452731104087521,0.6868446359999999
46,6,2017,800102,0.49811603808586213,0.5753739929999999
47,7,2017,800102,0.3736183559828872,0.5753739929999999
48,8,2017,800102,0.6711864844257843,0.0
