district,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60
8101,9852,4281,6721,13049,14353,13991,16200,7568
8102,5919,2705,3983,8480,9225,9064,10175,5062
8103,2419,1154,1690,3036,3755,3377,3526,1873
8104,8254,3866,6045,12103,12902,11708,14228,7241
8105,5033,2336,3623,7378,7771,7789,9695,5526
8106,3748,1682,2685,5594,6476,6204,7797,4226
8107,2800,1174,1722,3495,4206,3911,4522,2223
8108,6111,2770,4340,8301,9062,8994,10918,6566
