province,district,subdist,area
กระบี่,เกาะลันตา,คลองยาง,5.81
กระบี่,เกาะลันตา,เกาะกลาง,900.98
กระบี่,คลองท่อม,ทรายขาว,1682.42
กระบี่,เกาะลันตา,เกาะกลาง,9.08
กระบี่,เกาะลันตา,ศาลาด่าน,305.97
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,404.26
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,14.56
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,2.31
กระบี่,เกาะลันตา,เกาะลันตาใหญ่,31.58
กระบี่,ปลายพระยา,เขาต่อ,965.9
กระบี่,ปลายพระยา,ปลายพระยา,2161.03
กระบี่,ปลายพระยา,เขาเขน,1012.55
