addrcode,SMAPE without ST,SMAPE with ST,% improve SMAPE,RMSE without ST,RMSE with ST,% improvve RMSE,MAE without ST,MAE with ST,% improve MAE
810103,52.613626610886506,57.84043152773532,-0.09934317882142177,0.34790699201542724,0.5482246574024242,-0.5757793605312602,0.2772835672472377,0.4172342704628007,-0.5047205090620357
810105,110.5188751847207,100.53430950760132,0.0903426284463285,0.5060728271091329,0.5915848846542923,-0.16897184153046602,0.36387264899600963,0.4985404060620403,-0.3700958492967343
810106,90.93986437065985,86.72860781361344,0.046308146445895725,0.5188507598861546,0.6376545425374419,-0.22897486490596075,0.4247773543318051,0.4881211550785697,-0.149122358103123
810111,97.77597740333215,95.11719298564586,0.027192614058140642,0.472755509032412,0.5765846335655261,-0.21962541429844165,0.37153047982074544,0.4376632666036805,-0.1780009726653989
810115,66.23581988354722,76.21395484817893,-0.15064560206508812,0.5632397608113177,0.7961384621047803,-0.4134983314352385,0.4547445954639593,0.6117424193300465,-0.34524395766794774
810116,74.770405967346,72.63682717712506,0.028535070294425337,0.6900615740622215,0.8842017069754227,-0.28133740554534337,0.5772884090718118,0.6111858002700693,-0.05871829516334678
810117,84.72222734682128,88.68388347149491,-0.0467605284792157,0.5388330288086149,0.6864271367113566,-0.2739143668105853,0.4090344895236482,0.5428581538861922,-0.3271696343220149
810118,134.6112184708216,148.24104166618585,-0.10125324880198347,0.6565948721434136,0.8430244184282236,-0.28393390535662,0.43435009315746875,0.5826260482189872,-0.3413742909173561
810201,194.95637382825112,199.39691697830665,-0.022777111939758767,0.3891698297599834,0.5977483601324388,-0.5359576062232115,0.23139304454133244,0.3806500034656847,-0.6450364971868952
810202,190.76697935871098,197.93062747441328,-0.03755182442886014,0.11164110845131295,0.15264500088299673,-0.3672831002888664,0.10890000828723623,0.08741791470555843,0.1972643888604335
810203,185.57778331592743,176.77918343114496,0.04741192467960321,0.2110383941687276,0.15883326202149106,0.24737267525594392,0.17184461521016864,0.1255894442001318,0.2691685797280645
810204,190.2893542140194,193.8772958733411,-0.018855188584466602,0.19636129581924583,0.2830834665964026,-0.44164594868525475,0.14650405888765194,0.18474280295181866,-0.2610080864277656
