addrcode,Week,Year,DF_0,DF_wm1,DF_wm2,DF_wm3,RF_wm1,RF_wm2,RF_wm3,RF_wm4,RF_wm5,RF_wm6,LST_wm1,LST_wm2,LST_wm3,LST_wm4,LST_wm5,LST_wm6,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall
8001,1,2015,5.990012026,1.4586646699999999,5.706584022,2.90882065,545.15,477.59999999999997,2257.8999999999996,1888.7099999999996,3252.5499999999997,1351.37,474.98339286000004,486.67339283,470.64499999,452.88982144000005,463.76767857,483.63250000000005,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,1,2016,6.4415710399999995,1.1699475529999999,5.825736073999999,4.860895806,0.0,1378.13,2612.9099999999994,1268.8200000000002,2419.5899999999997,9491.6,456.33,451.59857143000005,433.0875,427.37642857000003,438.98071429,447.92732143,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,2,2015,4.237492246,5.990012026,1.4586646699999999,5.706584022,0.0,545.15,477.59999999999997,2257.8999999999996,1888.7099999999996,3252.5499999999997,422.6075000000001,474.98339286000004,486.67339283,470.64499999,452.88982144000005,463.76767857,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,2,2016,2.192913697,6.4415710399999995,1.1699475529999999,5.825736073999999,9085.030000000002,0.0,1378.13,2612.9099999999994,1268.8200000000002,2419.5899999999997,465.05499999999995,456.33,451.59857143000005,433.0875,427.37642857000003,438.98071429,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,3,2015,6.065855946000001,4.237492246,5.990012026,1.4586646699999999,1287.0900000000001,0.0,545.15,477.59999999999997,2257.8999999999996,1888.7099999999996,427.74035715,422.6075000000001,474.98339286000004,486.67339283,470.64499999,452.88982144000005,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,3,2016,10.111111655,2.192913697,6.4415710399999995,1.1699475529999999,2662.7599999999993,9085.030000000002,0.0,1378.13,2612.9099999999994,1268.8200000000002,457.21500000000003,465.05499999999995,456.33,451.59857143000005,433.0875,427.37642857000003,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,4,2015,3.963472557,6.065855946000001,4.237492246,5.990012026,134.49999999999997,1287.0900000000001,0.0,545.15,477.59999999999997,2257.8999999999996,440.60642859000006,427.74035715,422.6075000000001,474.98339286000004,486.67339283,470.64499999,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,4,2016,6.589419024000001,10.111111655,2.192913697,6.4415710399999995,5391.37,2662.7599999999993,9085.030000000002,0.0,1378.13,2612.9099999999994,451.9175,457.21500000000003,465.05499999999995,456.33,451.59857143000005,433.0875,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,5,2015,4.012236898,3.963472557,6.065855946000001,4.237492246,645.6200000000001,134.49999999999997,1287.0900000000001,0.0,545.15,477.59999999999997,455.315,440.60642859000006,427.74035715,422.6075000000001,474.98339286000004,486.67339283,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,5,2016,7.208316892,6.589419024000001,10.111111655,2.192913697,2434.28,5391.37,2662.7599999999993,9085.030000000002,0.0,1378.13,461.08089284999994,451.9175,457.21500000000003,465.05499999999995,456.33,451.59857143000005,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,6,2015,5.399180544,4.012236898,3.963472557,6.065855946000001,778.7499999999999,645.6200000000001,134.49999999999997,1287.0900000000001,0.0,545.15,467.92,455.315,440.60642859000006,427.74035715,422.6075000000001,474.98339286000004,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,6,2016,5.6964562800000005,7.208316892,6.589419024000001,10.111111655,1166.6000000000001,2434.28,5391.37,2662.7599999999993,9085.030000000002,0.0,490.41375001000006,461.08089284999994,451.9175,457.21500000000003,465.05499999999995,456.33,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
8001,7,2015,4.715598562,5.399180544,4.012236898,3.963472557,3.6499999999999995,778.7499999999999,645.6200000000001,134.49999999999997,1287.0900000000001,0.0,478.36125,467.92,455.315,440.60642859000006,427.74035715,422.6075000000001,22194,10025,17169,40738,39564,40158,57796,40340,229.922,17.062,752.26,17.016000000000002,26.227000000000004,788.1760000000002,119.88000000000001,2.9210000000000007
