,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,1001,15,2014,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.098603771,0.098603771,0.0,0.049301885,0.098603771,0.098603771,0.098603771,0.0,0.010977774,4.410540847,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
1,1001,16,2014,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.098603771,0.098603771,0.098603771,0.0,0.049301885,0.098603771,0.098603771,0.098603771,0.07040312,4.347273658,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
2,1001,17,2014,0.0,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,0.0,0.049301885,0.098603771,0.098603771,0.0,4.421014514,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
3,1001,18,2014,0.0,0.0,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,0.0,0.049301885,0.098603771,0.87990115,4.620772444,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
4,1001,19,2014,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.0,0.246509427,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,0.0,0.049301885,2.640455352,4.728712164,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
5,1001,20,2014,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.295811312,0.246509427,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,0.0,0.0,4.595013457,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
6,1001,21,2014,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.147905656,0.295811312,0.246509427,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,1.24515023,4.398338102,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
7,1001,22,2014,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.147905656,0.147905656,0.295811312,0.246509427,0.197207541,0.246509427,0.098603771,0.098603771,0.0,4.55581161,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
8,1001,23,2014,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.098603771,0.147905656,0.147905656,0.295811312,0.246509427,0.197207541,0.246509427,0.098603771,0.7617772970000001,4.655137837,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
9,1001,24,2014,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.049301885,0.098603771,0.147905656,0.147905656,0.295811312,0.246509427,0.197207541,0.246509427,0.21892889,4.49830919,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
10,1001,25,2014,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.049301885,0.049301885,0.098603771,0.147905656,0.147905656,0.295811312,0.246509427,0.197207541,0.628891094,4.5821304210000005,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
11,1001,26,2014,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.049301885,0.049301885,0.098603771,0.147905656,0.147905656,0.295811312,0.246509427,0.315097196,4.640019048,33.527,17.465999999999998,102.18799999999999,14.655999999999999,4.417,309.777,20.277,5.019,507.32800000000003
