,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s,DF_AVG,DF_SD,AVG_1SD,AVG_2SD,OB1,OB2,DF_AVGs,DF_SDs,AVG_1SDs,AVG_2SDs,OB1s,OB2s
0,8101,15,2014,0.116258792,0.348776376,0.58129396,0.232517584,0.930070337,0.116258792,0.0,0.0,0.58129396,0.348776376,0.3875293070000001,0.58129396,0.426282238,0.348776376,0.038752931,0.0,0.0,4.8659375,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,0,0,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,0,0
1,8101,16,2014,1.278846713,0.116258792,0.348776376,0.58129396,0.232517584,0.930070337,0.116258792,0.0,0.658799822,0.58129396,0.348776376,0.3875293070000001,0.58129396,0.426282238,0.348776376,0.038752931,0.0,4.825201613,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,0,0,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,0,0
2,8101,17,2014,0.58129396,1.278846713,0.116258792,0.348776376,0.58129396,0.232517584,0.930070337,0.116258792,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.3875293070000001,0.58129396,0.426282238,0.348776376,0.0,4.647731855,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,1,0,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,0,0
3,8101,18,2014,0.58129396,0.58129396,1.278846713,0.116258792,0.348776376,0.58129396,0.232517584,0.930070337,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.3875293070000001,0.58129396,0.426282238,0.000403289,4.523655914,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,0,0,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,0,0
4,8101,19,2014,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,0.348776376,0.58129396,0.232517584,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.3875293070000001,0.58129396,0.0027078,4.420255376,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,0,0,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,1,0
5,8101,20,2014,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,0.348776376,0.58129396,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.3875293070000001,0.107486202,4.277116935,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,1,1,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,1,0
6,8101,21,2014,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,0.348776376,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.245583982,4.257513441,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,1,0,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,1,1
7,8101,22,2014,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.5574994529999999,4.323071237,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,1,1,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,1,1
8,8101,23,2014,2.092658257,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,2.1701641190000003,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.455179195,4.282956989,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,1,1,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,1,1
9,8101,24,2014,2.673952218,2.092658257,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,2.363928772,2.1701641190000003,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.303215944,4.328195565,0.14777957600174466,0.025825556971178682,1.720269044913513,0.031564569631440616,0.11908451270043502,1.2812345764034756,0.3902528608978112,0.010043272155458374,3.726053969675057,0.39637379249823945,0.5931158841887598,0.9894896766869993,1.5826055608757592,1,1,0.39651860097623237,0.5268911093484404,0.9234097103246728,1.4503008196731133,1,1
