,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,DF_AVG,DF_SD,AVG_1SD,AVG_2SD,OB1,OB2,DF_AVGs,DF_SDs,AVG_1SDs,AVG_2SDs,OB1s,OB2s
0,810103,15,2014,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.0,0.0,0.442086649,0.147362216,0.147362216,0.294724433,0.147362216,0.147362216,0.147362216,0.0,0.0,4.809643891,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
1,810103,16,2014,0.0,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.0,0.294724433,0.442086649,0.147362216,0.147362216,0.294724433,0.147362216,0.147362216,0.147362216,0.0,4.744657344,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2,810103,17,2014,1.178897731,0.0,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.442086649,0.294724433,0.442086649,0.147362216,0.147362216,0.294724433,0.147362216,0.147362216,0.0,4.566781926,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
3,810103,18,2014,0.0,1.178897731,0.0,0.0,0.589448865,0.0,0.0,0.589448865,1.031535514,0.442086649,0.294724433,0.442086649,0.147362216,0.147362216,0.294724433,0.147362216,0.0,4.408343649,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
4,810103,19,2014,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,0.0,0.0,1.326259947,1.031535514,0.442086649,0.294724433,0.442086649,0.147362216,0.147362216,0.294724433,0.002942648,4.199957034,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
5,810103,20,2014,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,0.0,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.294724433,0.442086649,0.147362216,0.147362216,0.087690904,3.9580925000000002,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
6,810103,21,2014,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.294724433,0.442086649,0.147362216,0.22408263,3.991800595,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
7,810103,22,2014,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,1.326259947,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.294724433,0.442086649,0.8286496190000001,4.229266197,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
8,810103,23,2014,0.589448865,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,1.178897731,1.326259947,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.294724433,0.43168643100000004,4.183384313,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
9,810103,24,2014,1.768346596,0.589448865,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,1.326259947,1.178897731,1.326259947,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.27955154,4.154356476999999,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.1770000000000005,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
