,addrcode,Week,Year,rainfall,predicted,actual
95,8003,22,2017,142.19,0.9967896013288191,0.24475011
96,8003,23,2017,104.31,1.0988411775543114,1.713250771
97,8003,24,2017,50.49,1.0487077734675014,0.0
98,8003,25,2017,53.57,0.9566854903965,1.468500661
99,8003,26,2017,69.9,0.7779275069840552,1.958000881
100,8003,27,2017,64.87,0.955944034154287,1.223750551
101,8003,28,2017,163.32,0.686974998372351,0.24475011
102,8003,29,2017,212.01,0.7600800307862643,0.24475011
103,8003,30,2017,36.07,1.1385935202099922,0.24475011
104,8003,31,2017,228.98,1.0767496129812943,0.48950022
105,8003,32,2017,175.54,0.7296445104317236,0.0
106,8003,33,2017,316.15,0.6890638768190087,0.0
107,8003,34,2017,265.84,0.5650101985790501,0.24475011
108,8003,35,2017,137.67,0.469586762606215,0.48950022
109,8003,36,2017,255.97,0.34358263062549793,0.48950022
110,8003,37,2017,261.8,0.2749784700591109,0.73425033
111,8003,38,2017,122.92,0.3340076167018377,1.223750551
112,8003,39,2017,228.57,0.4010359469828078,0.48950022
113,8003,40,2017,237.59,0.4239834368110076,0.73425033
114,8003,41,2017,612.05,0.5372325160025557,0.24475011
115,8003,42,2017,207.45,0.7371201057848916,1.468500661
116,8003,43,2017,344.93,0.6685522161550876,0.73425033
117,8003,44,2017,758.35,0.6568669738063803,0.48950022
118,8003,45,2017,467.28,0.5921443733461202,0.0
119,8003,46,2017,681.94,0.7853150683811699,0.24475011
120,8004,7,2017,0.52,0.40613772422688943,0.151952591
121,8004,8,2017,144.5,0.36166731356619247,0.151952591
122,8004,9,2017,1.85,0.4747382890087738,0.151952591
123,8004,10,2017,81.1,0.4922782001957974,0.303905182
124,8004,11,2017,93.3,0.4305225619556757,0.303905182
125,8004,12,2017,744.25,0.38756483485757554,0.607810363
126,8004,13,2017,505.83,0.3796727996059904,0.4558577720000001
127,8004,14,2017,147.8,0.347377982910456,1.215620726
128,8004,15,2017,203.25,0.35353177373525846,0.4558577720000001
129,8004,16,2017,17.67,0.44136047942757606,0.607810363
130,8004,17,2017,831.97,0.4709666904384941,0.4558577720000001
131,8004,18,2017,615.72,0.6248253634497295,0.303905182
132,8004,19,2017,340.58,0.6014583002985491,0.4558577720000001
133,8004,20,2017,452.95,0.5774077813081777,0.151952591
134,8004,21,2017,628.14,0.5756290867180588,0.759762954
135,8004,22,2017,368.65,0.5123874331759639,0.4558577720000001
136,8004,23,2017,299.28,0.4181746448330128,0.911715545
137,8004,24,2017,166.84,0.3813505638814881,0.4558577720000001
138,8004,25,2017,156.26,0.4768384954126834,0.303905182
139,8004,26,2017,263.59,0.4894685604059359,0.911715545
140,8004,27,2017,171.17,0.5598571406958468,0.911715545
141,8004,28,2017,311.26,0.5596567809990658,0.607810363
142,8004,29,2017,303.42,0.4896195946240909,0.911715545
143,8004,30,2017,91.54,0.6083309944170553,0.911715545
144,8004,31,2017,537.41,0.6993249112373616,1.215620726
145,8004,32,2017,506.37,0.5989030282643306,1.367573317
146,8004,33,2017,811.53,0.6825986901785047,0.607810363
147,8004,34,2017,497.8,0.7560819950794205,0.303905182
148,8004,35,2017,265.51,0.8118596255199353,0.759762954
149,8004,36,2017,653.63,0.9241518225553932,0.0
150,8004,37,2017,528.54,0.7785411100150657,0.4558577720000001
151,8004,38,2017,249.62,0.6030317646296176,0.607810363
152,8004,39,2017,191.86,0.6361184373207092,0.303905182
153,8004,40,2017,543.52,0.4591344936736955,0.0
154,8004,41,2017,1089.41,0.3938334915029496,0.4558577720000001
155,8004,42,2017,468.07,0.4795188117782272,0.151952591
156,8004,43,2017,570.91,0.42788443689538347,0.303905182
