,addrcode,Week,Year,actual,predicted
0,8101,7,2017,0.4069057720000001,0.602048064426784
1,8101,8,2017,0.377841074,0.6315333634986684
2,8101,9,2017,0.46503516799999994,0.9072237162284473
3,8101,10,2017,0.523164564,1.0305500841396518
4,8101,11,2017,0.46503516799999994,0.4835881566309363
5,8101,12,2017,0.494099866,0.8647462391384297
6,8101,13,2017,0.43597047,0.7943772701569864
7,8101,14,2017,0.58129396,0.4136330235103413
8,8101,15,2017,0.755682148,0.6019359679146308
9,8101,16,2017,0.9300703370000001,0.4867867461250907
10,8101,17,2017,1.075393827,0.7106880108259364
11,8101,18,2017,0.959135035,0.829976175923087
12,8101,19,2017,0.842876243,0.6243260945938061
13,8101,20,2017,0.697552752,1.0913201607403078
14,8101,21,2017,0.610358658,1.5572661714347296
15,8101,22,2017,0.668488054,1.6310835539558017
16,8101,23,2017,0.755682148,1.7563052706351183
17,8101,24,2017,0.8138115440000001,1.5132124689693833
18,8101,25,2017,0.9300703370000001,1.471630805325236
19,8101,26,2017,0.871940941,1.1003489188964186
20,8101,27,2017,0.697552752,1.057066030804157
21,8101,28,2017,0.668488054,1.0484494109773113
22,8101,29,2017,0.58129396,0.726721235081186
23,8101,30,2017,0.494099866,1.1309447419225382
24,8101,31,2017,0.639423356,1.6126902486175922
25,8101,32,2017,0.697552752,1.4652336263369772
26,8101,33,2017,0.7847468459999999,1.491303387746086
27,8101,34,2017,0.842876243,1.0260592845182102
28,8101,35,2017,0.7847468459999999,1.0428324600963794
29,8101,36,2017,0.610358658,1.1178492305070347
30,8101,37,2017,0.46503516799999994,0.9058019699693352
31,8101,38,2017,0.377841074,1.2915422127531222
32,8101,39,2017,0.29064698,0.8436450629957506
33,8101,40,2017,0.494099866,0.8912024724193057
34,8101,41,2017,0.552229262,1.484906208757745
35,8101,42,2017,0.58129396,1.185737722862203
36,8101,43,2017,0.58129396,0.9409864546251128
37,8101,44,2017,0.46503516799999994,0.499994939962537
38,8101,45,2017,0.552229262,0.534765588647464
39,8101,46,2017,0.46503516799999994,0.8621241952009178
40,8101,47,2017,0.494099866,0.5760257464118617
41,8101,48,2017,0.46503516799999994,1.3737358044597154
42,8101,49,2017,0.377841074,1.5585274448879611
43,8101,50,2017,0.319711678,1.3056272190179132
44,8101,51,2017,0.23251758399999997,0.8644335243263588
45,8102,7,2017,0.0,0.24769763329224337
46,8102,8,2017,0.0,0.05471386719536636
47,8102,9,2017,0.09155329300000001,0.03322631063304557
48,8102,10,2017,0.09155329300000001,0.041852107585278436
49,8102,11,2017,0.09155329300000001,-0.032264447682781514
50,8102,12,2017,0.09155329300000001,-0.04737769961874899
51,8102,13,2017,0.0,-0.04737769961874899
52,8102,14,2017,0.0,-0.02765911975950901
53,8102,15,2017,0.0,-0.032480659062147754
54,8102,16,2017,0.0,0.002783595491793585
55,8102,17,2017,0.0,-0.0011344954896400777
56,8102,18,2017,0.0,-0.007075694272751183
57,8102,19,2017,0.045776647000000004,-0.004950926174016851
58,8102,20,2017,0.045776647000000004,-0.04233994893674287
59,8102,21,2017,0.045776647000000004,-0.03730219836478735
60,8102,22,2017,0.045776647000000004,0.06849056507693285
61,8102,23,2017,0.0,0.019576336868568855
62,8102,24,2017,0.0,0.03882389105528544
63,8102,25,2017,0.0,0.037475847380765426
64,8102,26,2017,0.045776647000000004,0.012859096855806475
65,8102,27,2017,0.045776647000000004,0.02418166479184214
66,8102,28,2017,0.045776647000000004,0.06322443020088046
67,8102,29,2017,0.045776647000000004,0.053937142771153496
68,8102,30,2017,0.0,0.07553910757001599
69,8102,31,2017,0.0,0.018672888547362265
70,8102,32,2017,0.0,0.032438096698759855
71,8102,33,2017,0.045776647000000004,-0.007075694272751183
72,8102,34,2017,0.045776647000000004,0.053937142881204644
73,8102,35,2017,0.045776647000000004,0.03882389083518438
74,8102,36,2017,0.045776647000000004,-0.009988676745971856
75,8102,37,2017,0.0,-0.02744290838014163
76,8102,38,2017,0.045776647000000004,-0.032264447682781514
77,8102,39,2017,0.045776647000000004,0.03446120439038665
78,8102,40,2017,0.045776647000000004,0.03882389083518438
79,8102,41,2017,0.045776647000000004,-0.011553615214520724
80,8102,42,2017,0.0,0.02191731645672121
81,8102,43,2017,0.09155329300000001,0.009946114492633953
82,8102,44,2017,0.13732994,-0.04233994893674287
83,8102,45,2017,0.13732994,-0.03751840963410358
84,8102,46,2017,0.18310658600000002,0.036814357013321364
85,8102,47,2017,0.09155329300000001,0.02418166479184214
86,8102,48,2017,0.045776647000000004,0.017896847537812233
87,8102,49,2017,0.045776647000000004,0.017108633383425942
88,8102,50,2017,0.120019203,0.09806843492082074
89,8102,51,2017,0.120019203,0.05337731314096636
90,8103,7,2017,0.240038406,0.3244088069904035
91,8103,8,2017,0.240038406,0.3828110893867542
92,8103,9,2017,0.120019203,0.3560885937917649
93,8103,10,2017,0.120019203,0.5764569462875448
94,8103,11,2017,0.120019203,0.3964331190850565
95,8103,12,2017,0.120019203,0.88460446361371
96,8103,13,2017,0.120019203,0.7492118401132226
97,8103,14,2017,0.120019203,0.0994556778737147
98,8103,15,2017,0.360057609,0.33234923257975496
99,8103,16,2017,0.360057609,0.35763620929436474
100,8103,17,2017,0.600096015,0.3224517248586737
101,8103,18,2017,0.720115218,0.28561189741981635
102,8103,19,2017,0.600096015,0.339574082959591
103,8103,20,2017,0.600096015,0.4368853716588004
104,8103,21,2017,0.360057609,0.423335906511114
105,8103,22,2017,0.360057609,0.4413254686254319
106,8103,23,2017,0.120019203,0.49738005504121435
