,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s,WeekYear
0,1001,15,2014,0.0,0.0,0.0,0.0,0.19720754100000001,0.19720754100000001,0.0,0.0,0.09860377099999999,0.09860377099999999,0.0,0.049301885,0.09860377099999999,0.09860377099999999,0.09860377099999999,0.0,0.010977774,4.410540847,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,152014
1,1001,16,2014,0.39441508200000003,0.0,0.0,0.0,0.0,0.19720754100000001,0.19720754100000001,0.0,0.09860377099999999,0.09860377099999999,0.09860377099999999,0.0,0.049301885,0.09860377099999999,0.09860377099999999,0.09860377099999999,0.07040312,4.347273658,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,162014
2,1001,17,2014,0.0,0.39441508200000003,0.0,0.0,0.0,0.0,0.19720754100000001,0.19720754100000001,0.246509427,0.09860377099999999,0.09860377099999999,0.09860377099999999,0.0,0.049301885,0.09860377099999999,0.09860377099999999,0.0,4.4210145139999995,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,172014
3,1001,18,2014,0.0,0.0,0.39441508200000003,0.0,0.0,0.0,0.0,0.19720754100000001,0.19720754100000001,0.246509427,0.09860377099999999,0.09860377099999999,0.09860377099999999,0.0,0.049301885,0.09860377099999999,0.87990115,4.620772444,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,182014
4,1001,19,2014,0.591622624,0.0,0.0,0.39441508200000003,0.0,0.0,0.0,0.0,0.246509427,0.19720754100000001,0.246509427,0.09860377099999999,0.09860377099999999,0.09860377099999999,0.0,0.049301885,2.640455352,4.728712164,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,192014
5,1001,20,2014,0.19720754100000001,0.591622624,0.0,0.0,0.39441508200000003,0.0,0.0,0.0,0.295811312,0.246509427,0.19720754100000001,0.246509427,0.09860377099999999,0.09860377099999999,0.09860377099999999,0.0,0.0,4.595013457,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,202014
6,1001,21,2014,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.0,0.39441508200000003,0.0,0.0,0.147905656,0.295811312,0.246509427,0.19720754100000001,0.246509427,0.09860377099999999,0.09860377099999999,0.09860377099999999,1.24515023,4.398338102,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,212014
7,1001,22,2014,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.0,0.39441508200000003,0.0,0.147905656,0.147905656,0.295811312,0.246509427,0.19720754100000001,0.246509427,0.09860377099999999,0.09860377099999999,0.0,4.55581161,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,222014
8,1001,23,2014,0.0,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.0,0.39441508200000003,0.09860377099999999,0.147905656,0.147905656,0.295811312,0.246509427,0.19720754100000001,0.246509427,0.09860377099999999,0.7617772970000001,4.655137837,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,232014
9,1001,24,2014,0.19720754100000001,0.0,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.0,0.049301885,0.09860377099999999,0.147905656,0.147905656,0.295811312,0.246509427,0.19720754100000001,0.246509427,0.21892889,4.49830919,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,242014
10,1001,25,2014,0.0,0.19720754100000001,0.0,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.049301885,0.049301885,0.09860377099999999,0.147905656,0.147905656,0.295811312,0.246509427,0.19720754100000001,0.628891094,4.5821304210000005,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,252014
11,1001,26,2014,0.0,0.0,0.19720754100000001,0.0,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.591622624,0.0,0.049301885,0.049301885,0.09860377099999999,0.147905656,0.147905656,0.295811312,0.246509427,0.315097196,4.640019048,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,262014
12,1001,27,2014,0.0,0.0,0.0,0.19720754100000001,0.0,0.19720754100000001,0.19720754100000001,0.19720754100000001,0.0,0.0,0.049301885,0.049301885,0.09860377099999999,0.147905656,0.147905656,0.295811312,0.17677223399999997,4.569258014,0.032933659,0.017157056,0.100378638,0.014396151000000001,0.004338565999999999,0.304291236,0.019917962,0.004930189000000001,0.49834345700000005,272014
