,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s
0,810103,15,2014,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.0,0.0,0.442086649,0.147362216,0.147362216,0.294724433,0.147362216,0.147362216,0.147362216,0.0,0.0,4.809643891,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
1,810103,16,2014,0.0,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.0,0.294724433,0.442086649,0.147362216,0.147362216,0.294724433,0.147362216,0.147362216,0.147362216,0.0,4.744657344,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
2,810103,17,2014,1.178897731,0.0,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.442086649,0.294724433,0.442086649,0.147362216,0.147362216,0.294724433,0.147362216,0.147362216,0.0,4.566781926,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
3,810103,18,2014,0.0,1.178897731,0.0,0.0,0.589448865,0.0,0.0,0.589448865,1.031535514,0.442086649,0.294724433,0.442086649,0.147362216,0.147362216,0.294724433,0.147362216,0.0,4.408343649,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
4,810103,19,2014,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,0.0,0.0,1.326259947,1.031535514,0.442086649,0.294724433,0.442086649,0.147362216,0.147362216,0.294724433,0.002942648,4.199957034,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
5,810103,20,2014,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,0.0,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.294724433,0.442086649,0.147362216,0.147362216,0.087690904,3.9580925000000002,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
6,810103,21,2014,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.294724433,0.442086649,0.147362216,0.22408263,3.991800595,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
7,810103,22,2014,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,1.326259947,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.294724433,0.442086649,0.8286496190000001,4.229266197,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
8,810103,23,2014,0.589448865,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,1.178897731,1.326259947,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.294724433,0.43168643100000004,4.183384313,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
9,810103,24,2014,1.768346596,0.589448865,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,1.326259947,1.178897731,1.326259947,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.442086649,0.27955154,4.154356476999999,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
10,810103,25,2014,1.768346596,1.768346596,0.589448865,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.326259947,1.326259947,1.178897731,1.326259947,1.4736221630000002,1.4736221630000002,1.326259947,1.031535514,0.402995615,4.198345797,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
11,810103,26,2014,1.178897731,1.768346596,1.768346596,0.589448865,0.589448865,2.357795461,2.357795461,0.589448865,1.178897731,1.326259947,1.326259947,1.178897731,1.326259947,1.4736221630000002,1.4736221630000002,1.326259947,1.104817114,4.2228724,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
12,810103,27,2014,0.589448865,1.178897731,1.768346596,1.768346596,0.589448865,0.589448865,2.357795461,2.357795461,0.884173298,1.178897731,1.326259947,1.326259947,1.178897731,1.326259947,1.4736221630000002,1.4736221630000002,0.40564399799999995,4.227527084,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
13,810103,28,2014,1.178897731,0.589448865,1.178897731,1.768346596,1.768346596,0.589448865,0.589448865,2.357795461,0.589448865,0.884173298,1.178897731,1.326259947,1.326259947,1.178897731,1.326259947,1.4736221630000002,0.657976047,4.2546879319999995,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
14,810103,29,2014,0.589448865,1.178897731,0.589448865,1.178897731,1.768346596,1.768346596,0.589448865,0.589448865,0.589448865,0.589448865,0.884173298,1.178897731,1.326259947,1.326259947,1.178897731,1.326259947,0.570285143,4.266401367,0.18915883430868358,0.047289708577170894,3.2984571732576695,0.04137849500502453,0.13004669858721996,2.015723828101909,0.40787373647809894,0.011822427144292724,6.141750901460069
