,addrcode,land_area,image_area,image/area
0,8101,7989.02,453.65,0.06
1,8102,7755.6,399.72,0.05
2,8103,1839.75,166.34,0.09
3,8104,10190.93,635.93,0.06
4,8105,5969.54,518.05,0.09
5,8106,4832.35,384.75,0.08
6,8107,2568.56,177.77,0.07
7,8108,4135.14,490.77,0.12
